#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
9.900000000000000355e+00	-2.300000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	6.879860961986548895e-02	6.514154948682188010e-04	9.975261194625427708e-01	2.586151163869551250e-03	nan	nan	nan	nan	3.388731000000000382e-01	1.999999999999999833e-01	9.982199999999999962e-01	2.660920349000794188e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.271369058755437154e-01	1.159030809848656364e-03	nan	nan
1.090000000000000036e+01	-1.513446329283083713e+01	7.170537395749418397e-02	nan	nan	nan	7.898747603937314454e-02	6.641208916902070552e-04	9.977304283855604750e-01	2.580009034687289361e-03	nan	nan	nan	nan	3.711017999999999262e-01	1.999999999999999833e-01	9.979299999999999837e-01	2.782403555939759639e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.414905965328815962e-01	1.132300834706527785e-03	nan	nan
1.190000000000000036e+01	-8.066855801561224837e+00	1.282397240139727390e-01	nan	nan	nan	7.293690170511538118e-02	5.346714303477163562e-04	9.980147185107438590e-01	2.584360783880563714e-03	nan	nan	nan	nan	3.261135000000001671e-01	1.999999999999999833e-01	9.977200000000000513e-01	2.903886762878725089e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.281768131487042717e-01	8.784931024989410227e-04	nan	nan
1.290000000000000036e+01	-2.651327329758750295e-01	1.815958943815675353e-01	nan	nan	nan	6.798312753659747909e-02	4.183147784423445269e-04	9.983090533243665909e-01	2.598991016177645743e-03	nan	nan	nan	nan	2.870506999999999920e-01	1.999999999999999833e-01	9.975200000000000733e-01	3.025369969817690539e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.179149561500490717e-01	6.562031337024415390e-04	nan	nan
1.390000000000000036e+01	8.215555660169780339e+00	2.283840174563856185e-01	nan	nan	nan	8.797269510268314330e-02	4.502136777015235689e-04	9.986034348003034467e-01	2.623720315962525633e-03	nan	nan	nan	nan	3.512193999999997374e-01	1.999999999999999833e-01	9.973199999999999843e-01	3.146853176756655990e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.506958510484214531e-01	6.595622641815475536e-04	nan	nan
1.490000000000000036e+01	1.485143842033071593e+01	2.565658825816143351e-01	nan	nan	nan	8.548776159449318623e-02	3.690304426583963294e-04	9.988978629125361275e-01	2.658284576242035766e-03	nan	nan	nan	nan	3.235966000000001230e-01	1.999999999999999833e-01	9.971200000000000063e-01	3.268336383695621440e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.446647613263663534e-01	4.895299139473582731e-04	nan	nan
1.590000000000000036e+01	2.176397185854641236e+01	2.777829564025678932e-01	nan	nan	nan	8.867696163697179335e-02	3.363263744291171788e-04	9.991021324927842340e-01	2.702079929657858533e-03	nan	nan	nan	nan	3.171654000000000417e-01	1.999999999999999833e-01	9.968299999999999939e-01	3.389819590634586457e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.482695964575985736e-01	3.931317355083149660e-04	nan	nan
1.689999999999999858e+01	2.850844290245306922e+01	2.903285096525794473e-01	nan	nan	nan	9.075848971509296870e-02	3.410174211359127006e-04	9.993865813452200708e-01	2.755124661766339498e-03	nan	nan	nan	nan	3.059994999999999798e-01	1.999999999999999833e-01	9.966200000000000614e-01	3.511302797573551907e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.499888159068962779e-01	3.844415742027931294e-04	nan	nan
1.789999999999999858e+01	3.517560667698901966e+01	2.947899579079425458e-01	nan	nan	nan	1.021273413888737630e-01	4.344629573319736112e-04	9.995908049711901278e-01	2.816485078735693828e-03	nan	nan	nan	nan	3.245792000000000677e-01	1.999999999999999833e-01	9.963299999999999379e-01	3.632786004512517358e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.668471947835638569e-01	5.364352264812357121e-04	nan	nan
1.889999999999999858e+01	4.116911469669058476e+01	2.922528177781840708e-01	nan	nan	nan	9.498240998924468992e-02	4.924849394000521685e-04	9.998752872198611863e-01	2.886076925295231500e-03	nan	nan	nan	nan	2.836571999999999427e-01	1.999999999999999833e-01	9.961200000000000054e-01	3.754269211451482808e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.534500407383476150e-01	6.667345263654446018e-04	nan	nan
