#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
3.599999999999999867e-01	-5.600000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	2.291425931991089848e-01	3.084893244077692529e-03	1.004127328562811616e+00	1.328169414575067035e-02	nan	nan	nan	nan	2.144000000000000072e-01	9.226991009338700311e-02	9.999014777056945968e-01	1.367918089210460805e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.774175649785086795e-01	2.038078065673488808e-03	nan	nan
1.359999999999999876e+00	-5.390539755267484878e+01	8.941780984517347722e-03	nan	nan	nan	2.291425931991090126e-01	3.084893244077692963e-03	1.003865032304726457e+00	1.310978434586984424e-02	nan	nan	nan	nan	2.144000000000000350e-01	9.226991009338700311e-02	9.997869168983627430e-01	1.373134212548231085e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.621925425028559076e-01	1.952957206673932482e-03	nan	nan
2.359999999999999876e+00	-5.174179708741242223e+01	1.807293257204127535e-02	nan	nan	nan	2.291425931991089016e-01	3.084893244077691662e-03	1.003602791386100535e+00	1.294273006718881305e-02	nan	nan	nan	nan	2.143999999999999517e-01	9.226991009338700311e-02	9.996723560910307782e-01	1.378350335886001365e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.479299772109875399e-01	1.882536113782164872e-03	nan	nan
3.359999999999999432e+00	-4.950930528986307166e+01	2.742135957174689220e-02	nan	nan	nan	2.285908181952761853e-01	3.026514560374216761e-03	1.003340605796343654e+00	1.278071053688992036e-02	nan	nan	nan	nan	2.143999999999999240e-01	9.227258121964640458e-02	9.995577952836989244e-01	1.383566459223771646e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.335245895584320941e-01	1.657455144890670811e-03	nan	nan
4.359999999999999432e+00	-4.720263105710834850e+01	3.621101303065815680e-02	nan	nan	nan	2.287067215333433989e-01	2.973670887078047175e-03	1.003078475524866731e+00	1.262390831028323106e-02	nan	nan	nan	nan	2.150974999999998305e-01	9.227561816055206145e-02	9.994432344763670706e-01	1.388782582561541926e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.212863164742680078e-01	1.433362926101263693e-03	nan	nan
5.359999999999999432e+00	-4.482894845481315116e+01	4.424505759744099681e-02	nan	nan	nan	2.306146822039873978e-01	2.946652578926800287e-03	1.002816400561083343e+00	1.247250873644256512e-02	nan	nan	nan	nan	2.175000000000000266e-01	9.227871999694435556e-02	9.993286736690351058e-01	1.393998705899312206e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.131169409612892585e-01	1.233858187726008570e-03	nan	nan
6.359999999999999432e+00	-4.240832634797560274e+01	5.139647904185144778e-02	nan	nan	nan	2.299559705880504790e-01	2.890017512562491949e-03	1.002554380894408848e+00	1.232669933724935864e-02	nan	nan	nan	nan	2.175000000000000266e-01	9.228188915686308391e-02	9.992141128617032519e-01	1.399214829237082486e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.012229790621463787e-01	1.036652283646847866e-03	nan	nan
7.359999999999999432e+00	-3.991594666838325622e+01	5.768368710046618136e-02	nan	nan	nan	2.292824519740234157e-01	2.837290474466753771e-03	1.002289084225460591e+00	1.218662857980714817e-02	nan	nan	nan	nan	2.175000000000000266e-01	9.228513895582637905e-02	9.990962303807834344e-01	1.404430952574852766e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.904749213943761177e-01	8.611786735391178038e-04	nan	nan
8.359999999999999432e+00	-3.735496273520509902e+01	6.303777477988628530e-02	nan	nan	nan	2.285815635959243253e-01	2.788995814146521743e-03	1.001990642714398971e+00	1.205212815658554537e-02	nan	nan	nan	nan	2.174865999999999189e-01	9.228846270746432490e-02	9.989452477139347808e-01	1.409647075912623046e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.811731664674161690e-01	7.155125516153547013e-04	nan	nan
9.359999999999997655e+00	-3.473148320418863477e+01	6.740181660552298226e-02	nan	nan	nan	2.276884323776698915e-01	2.743840800148694692e-03	1.001692267184667529e+00	1.192379514633653756e-02	nan	nan	nan	nan	2.173000000000002707e-01	9.229184920016045290e-02	9.987942650470861272e-01	1.414863199250393326e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.737438434796739317e-01	6.130006993474806888e-04	nan	nan
1.035999999999999766e+01	-3.205585384615110200e+01	7.074063581592873740e-02	nan	nan	nan	2.269838941606891203e-01	2.707071165995993556e-03	1.001393957623331943e+00	1.180181703987834806e-02	nan	nan	nan	nan	2.172999999999998266e-01	9.229528281185808702e-02	9.986432823802374736e-01	1.420079322588163606e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.683863953128087010e-01	5.699074005705360817e-04	nan	nan
1.135999999999999766e+01	-2.934131277535268723e+01	7.305653354033944669e-02	nan	nan	nan	2.262738042566730390e-01	2.676782013480543017e-03	1.001095714017459892e+00	1.168637900393236853e-02	nan	nan	nan	nan	2.173000000000002707e-01	9.229875428094454215e-02	9.984922997133888201e-01	1.425295445925933886e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.632575408168982611e-01	5.918289296695062804e-04	nan	nan
1.235999999999999766e+01	-2.658844494017661120e+01	7.440712281870477673e-02	nan	nan	nan	2.242447775937973786e-01	2.637820487626675071e-03	1.000797536354121942e+00	1.157766272769328482e-02	nan	nan	nan	nan	2.160364999999999647e-01	9.230227315819553024e-02	9.983413170465402775e-01	1.430511569263704166e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.561811573909816619e-01	6.658296059321838203e-04	nan	nan
