depth_top	depth_bot	duration	dur_unc
5.325	5.825	1.0	0.01
5.825	6.15	1.0	0.01
6.15	6.75	1.0	0.01
6.75	7.05	1.0	0.01
7.05	7.725	1.0	0.01
7.725	8.075	1.0	0.01
8.075	8.55	1.0	0.01
8.55	8.95	1.0	0.01
8.95	9.425	1.0	0.01
9.425	9.85	1.0	0.01
9.85	10.2	1.0	0.01
10.2	10.6	1.0	0.01
10.6	10.975	1.0	0.01
10.975	11.225	1.0	0.01
11.225	11.7	1.0	0.01
11.7	12.1	1.0	0.01
12.1	12.475	1.0	0.01
12.475	12.85	1.0	0.01
12.85	13.25	1.0	0.01
13.25	13.625	1.0	0.01
13.625	14.025	1.0	0.01
14.025	14.625	1.0	0.01
14.625	14.85	1.0	0.01
14.85	15.375	1.0	0.01
15.375	15.775	1.0	0.01
15.775	16.15	1.0	0.01
16.15	16.5	1.0	0.01
16.5	16.975	1.0	0.01
16.975	17.225	1.0	0.01
17.225	17.6	1.0	0.01
17.6	17.825	1.0	0.01
17.825	18.225	1.0	0.01
18.225	18.625	1.0	0.01
18.625	19.075	1.0	0.01
19.075	19.575	1.0	0.01
19.575	20.0	1.0	0.01
20.0	20.275	1.0	0.01
20.275	20.625	1.0	0.01
20.625	21.05	1.0	0.01
21.05	21.275	1.0	0.01
21.275	21.725	1.0	0.01
21.725	22.15	1.0	0.01
22.15	22.425	1.0	0.01
22.425	22.825	1.0	0.01
22.825	23.25	1.0	0.01
23.25	23.5	1.0	0.01
23.5	24.0	1.0	0.01
24.0	24.5	1.0	0.01
24.5	24.75	1.0	0.01
24.75	25.025	1.0	0.01
25.025	25.425	1.0	0.01
25.425	25.725	1.0	0.01
25.725	26.075	1.0	0.01
26.075	26.425	1.0	0.01
26.425	26.725	1.0	0.01
26.725	26.975	1.0	0.01
26.975	27.275	1.0	0.01
27.275	27.575	1.0	0.01
27.575	27.9	1.0	0.01
27.9	28.225	1.0	0.01
28.225	28.525	1.0	0.01
28.525	28.825	1.0	0.01
28.825	29.175	1.0	0.01
29.175	29.6	1.0	0.01
29.6	29.9	1.0	0.01
29.9	30.275	1.0	0.01
30.275	30.55	1.0	0.01
30.55	30.825	1.0	0.01
30.825	31.275	1.0	0.01
31.275	31.575	1.0	0.01
31.575	31.9	1.0	0.01
31.9	32.15	1.0	0.01
32.15	32.45	1.0	0.01
32.45	32.775	1.0	0.01
32.775	33.05	1.0	0.01
33.05	33.325	1.0	0.01
33.325	33.55	1.0	0.01
33.55	33.975	1.0	0.01
33.975	34.375	1.0	0.01
34.375	34.675	1.0	0.01
34.675	34.975	1.0	0.01
34.975	35.275	1.0	0.01
35.275	35.575	1.0	0.01
35.575	35.975	1.0	0.01
35.975	36.275	1.0	0.01
36.275	36.625	1.0	0.01
36.625	36.9	1.0	0.01
36.9	37.175	1.0	0.01
37.175	37.575	1.0	0.01
37.575	37.825	1.0	0.01
37.825	38.125	1.0	0.01
38.125	38.6	1.0	0.01
38.6	38.85	1.0	0.01
38.85	39.125	1.0	0.01
39.125	39.425	1.0	0.01
39.425	39.75	1.0	0.01
39.75	40.05	1.0	0.01
40.05	40.35	1.0	0.01
40.35	40.625	1.0	0.01
40.625	40.925	1.0	0.01
40.925	41.175	1.0	0.01
41.175	41.575	1.0	0.01
41.575	41.825	1.0	0.01
41.825	42.175	1.0	0.01
42.175	42.475	1.0	0.01
42.475	42.725	1.0	0.01
42.725	42.975	1.0	0.01
42.975	43.4	1.0	0.01
43.4	43.675	1.0	0.01
43.675	43.95	1.0	0.01
43.95	44.275	1.0	0.01
44.275	44.525	1.0	0.01
44.525	44.825	1.0	0.01
44.825	45.075	1.0	0.01
45.075	45.325	1.0	0.01
45.325	45.6	1.0	0.01
45.6	45.9	1.0	0.01
45.9	46.25	1.0	0.01
46.25	46.525	1.0	0.01
46.525	46.8	1.0	0.01
46.8	47.1	1.0	0.01
47.1	47.375	1.0	0.01
47.375	47.675	1.0	0.01
47.675	48.025	1.0	0.01
48.025	48.275	1.0	0.01
48.275	48.55	1.0	0.01
48.55	48.85	1.0	0.01
48.85	49.15	1.0	0.01
49.15	49.4	1.0	0.01
49.4	49.75	1.0	0.01
49.75	50.0	1.0	0.01
50.0	50.275	1.0	0.01
50.275	50.575	1.0	0.01
50.575	50.85	1.0	0.01
50.85	51.1	1.0	0.01
51.1	51.35	1.0	0.01
51.35	51.6	1.0	0.01
51.6	51.85	1.0	0.01
51.85	52.1	1.0	0.01
52.1	52.375	1.0	0.01
52.375	52.675	1.0	0.01
52.675	52.95	1.0	0.01
52.95	53.225	1.0	0.01
53.225	53.425	1.0	0.01
53.425	53.675	1.0	0.01
53.675	53.95	1.0	0.01
53.95	54.225	1.0	0.01
54.225	54.5	1.0	0.01
54.5	54.875	1.0	0.01
54.875	55.125	1.0	0.01
55.125	55.375	1.0	0.01
55.375	55.6	1.0	0.01
55.6	56.0	1.0	0.01
56.0	56.275	1.0	0.01
56.275	56.55	1.0	0.01
56.55	56.825	1.0	0.01
56.825	57.05	1.0	0.01
57.05	57.325	1.0	0.01
57.325	57.55	1.0	0.01
57.55	57.8	1.0	0.01
57.8	58.1	1.0	0.01
58.1	58.35	1.0	0.01
58.35	58.575	1.0	0.01
58.575	58.825	1.0	0.01
58.825	59.075	1.0	0.01
59.075	59.3	1.0	0.01
59.3	59.55	1.0	0.01
59.55	59.85	1.0	0.01
59.85	60.1	1.0	0.01
60.1	60.375	1.0	0.01
60.375	60.6	1.0	0.01
60.6	60.925	1.0	0.01
60.925	61.2	1.0	0.01
61.2	61.45	1.0	0.01
61.45	61.725	1.0	0.01
61.725	62.0	1.0	0.01
62.0	62.275	1.0	0.01
62.275	62.525	1.0	0.01
62.525	62.85	1.0	0.01
62.85	63.1	1.0	0.01
63.1	63.325	1.0	0.01
63.325	63.55	1.0	0.01
63.55	63.775	1.0	0.01
63.775	64.15	1.0	0.01
64.15	64.375	1.0	0.01
64.375	64.675	1.0	0.01
64.675	64.95	1.0	0.01
64.95	65.175	1.0	0.01
65.175	65.4	1.0	0.01
65.4	65.625	1.0	0.01
65.625	65.85	1.0	0.01
65.85	66.075	1.0	0.01
66.075	66.325	1.0	0.01
66.325	66.65	1.0	0.01
66.65	67.05	1.0	0.01
67.05	67.275	1.0	0.01
67.275	67.525	1.0	0.01
67.525	67.75	1.0	0.01
67.75	68.0	1.0	0.01
68.0	68.25	1.0	0.01
68.25	68.5	1.0	0.01
68.5	68.75	1.0	0.01
68.75	69.0	1.0	0.01
69.0	69.25	1.0	0.01
69.25	69.5	1.0	0.01
69.5	69.825	1.0	0.01
69.825	70.075	1.0	0.01
70.075	70.3	1.0	0.01
70.3	70.575	1.0	0.01
70.575	70.875	1.0	0.01
70.875	71.125	1.0	0.01
71.125	71.35	1.0	0.01
71.35	71.55	1.0	0.01
71.55	71.8	1.0	0.01
71.8	72.0	1.0	0.01
72.0	72.275	1.0	0.01
72.275	72.55	1.0	0.01
72.55	72.775	1.0	0.01
72.775	73.0	1.0	0.01
73.0	73.25	1.0	0.01
73.25	73.6	1.0	0.01
73.6	73.825	1.0	0.01
73.825	74.025	1.0	0.01
74.025	74.25	1.0	0.01
74.25	74.475	1.0	0.01
74.475	74.775	1.0	0.01
74.775	75.0	1.0	0.01
75.0	75.2	1.0	0.01
75.2	75.425	1.0	0.01
75.425	75.775	1.0	0.01
75.775	76.025	1.0	0.01
76.025	76.25	1.0	0.01
76.25	76.475	1.0	0.01
76.475	76.775	1.0	0.01
76.775	77.025	1.0	0.01
77.025	77.275	1.0	0.01
77.275	77.525	1.0	0.01
77.525	77.775	1.0	0.01
77.775	78.075	1.0	0.01
78.075	78.375	1.0	0.01
78.375	78.725	1.0	0.01
78.725	78.95	1.0	0.01
78.95	79.2	1.0	0.01
79.2	79.425	1.0	0.01
79.425	79.75	1.0	0.01
79.75	79.975	1.0	0.01
79.975	80.225	1.0	0.01
80.225	80.5	1.0	0.01
80.5	80.75	1.0	0.01
80.75	80.975	1.0	0.01
80.975	81.325	1.0	0.01
81.325	81.575	1.0	0.01
81.575	81.825	1.0	0.01
81.825	82.05	1.0	0.01
82.05	82.325	1.0	0.01
82.325	82.55	1.0	0.01
82.55	82.8	1.0	0.01
82.8	83.025	1.0	0.01
83.025	83.275	1.0	0.01
83.275	83.5	1.0	0.01
83.5	83.75	1.0	0.01
83.75	84.0	1.0	0.01
84.0	84.2	1.0	0.01
84.2	84.45	1.0	0.01
84.45	84.675	1.0	0.01
84.675	84.85	1.0	0.01
84.85	85.15	1.0	0.01
85.15	85.45	1.0	0.01
85.45	85.7	1.0	0.01
85.7	85.95	1.0	0.01
85.95	86.2	1.0	0.01
86.2	86.4	1.0	0.01
86.4	86.6	1.0	0.01
86.6	86.8	1.0	0.01
86.8	87.025	1.0	0.01
87.025	87.25	1.0	0.01
87.25	87.475	1.0	0.01
87.475	87.725	1.0	0.01
87.725	87.925	1.0	0.01
87.925	88.15	1.0	0.01
88.15	88.35	1.0	0.01
88.35	88.575	1.0	0.01
88.575	88.875	1.0	0.01
88.875	89.05	1.0	0.01
89.05	89.3	1.0	0.01
89.3	89.5	1.0	0.01
89.5	89.725	1.0	0.01
89.725	89.925	1.0	0.01
89.925	90.3	1.0	0.01
90.3	90.55	1.0	0.01
90.55	90.75	1.0	0.01
90.75	91.0	1.0	0.01
91.0	91.225	1.0	0.01
91.225	91.45	1.0	0.01
91.45	91.775	1.0	0.01
91.775	92.0	1.0	0.01
92.0	92.25	1.0	0.01
92.25	92.55	1.0	0.01
92.55	92.775	1.0	0.01
92.775	92.975	1.0	0.01
92.975	93.225	1.0	0.01
93.225	93.55	1.0	0.01
93.55	93.775	1.0	0.01
93.775	93.975	1.0	0.01
93.975	94.325	1.0	0.01
94.325	94.525	1.0	0.01
94.525	94.75	1.0	0.01
94.75	94.95	1.0	0.01
94.95	95.2	1.0	0.01
95.2	95.475	1.0	0.01
95.475	95.7	1.0	0.01
95.7	95.875	1.0	0.01
95.875	96.1	1.0	0.01
96.1	96.35	1.0	0.01
96.35	96.55	1.0	0.01
96.55	96.775	1.0	0.01
96.775	97.0	1.0	0.01
97.0	97.225	1.0	0.01
97.225	97.45	1.0	0.01
97.45	97.775	1.0	0.01
97.775	98.0	1.0	0.01
98.0	98.225	1.0	0.01
98.225	98.525	1.0	0.01
98.525	98.8	1.0	0.01
98.8	99.025	1.0	0.01
99.025	99.225	1.0	0.01
99.225	99.425	1.0	0.01
99.425	99.65	1.0	0.01
99.65	99.9	1.0	0.01
99.9	100.15	1.0	0.01
100.15	100.4	1.0	0.01
100.4	100.6	1.0	0.01
100.6	100.825	1.0	0.01
100.825	101.125	1.0	0.01
101.125	101.35	1.0	0.01
101.35	101.575	1.0	0.01
101.575	101.8	1.0	0.01
101.8	102.125	1.0	0.01
102.125	102.325	1.0	0.01
102.325	102.55	1.0	0.01
102.55	102.8	1.0	0.01
102.8	103.0	1.0	0.01
103.0	103.225	1.0	0.01
103.225	103.425	1.0	0.01
103.425	103.7	1.0	0.01
103.7	103.925	1.0	0.01
103.925	104.15	1.0	0.01
104.15	104.35	1.0	0.01
104.35	104.55	1.0	0.01
104.55	104.775	1.0	0.01
104.775	104.975	1.0	0.01
104.975	105.2	1.0	0.01
105.2	105.425	1.0	0.01
105.425	105.625	1.0	0.01
105.625	105.825	1.0	0.01
105.825	106.025	1.0	0.01
106.025	106.25	1.0	0.01
106.25	106.45	1.0	0.01
106.45	106.725	1.0	0.01
106.725	106.975	1.0	0.01
106.975	107.2	1.0	0.01
107.2	107.475	1.0	0.01
107.475	107.675	1.0	0.01
107.675	107.875	1.0	0.01
107.875	108.1	1.0	0.01
108.1	108.325	1.0	0.01
108.325	108.6	1.0	0.01
108.6	108.825	1.0	0.01
108.825	109.05	1.0	0.01
109.05	109.25	1.0	0.01
109.25	109.45	1.0	0.01
109.45	109.675	1.0	0.01
109.675	109.925	1.0	0.01
109.925	110.15	1.0	0.01
110.15	110.35	1.0	0.01
110.35	110.55	1.0	0.01
110.55	110.775	1.0	0.01
110.775	110.95	1.0	0.01
110.95	111.275	1.0	0.01
111.275	111.5	1.0	0.01
111.5	111.675	1.0	0.01
111.675	111.9	1.0	0.01
111.9	112.1	1.0	0.01
112.1	112.325	1.0	0.01
112.325	112.55	1.0	0.01
112.55	112.825	1.0	0.01
112.825	113.1	1.0	0.01
113.1	113.325	1.0	0.01
113.325	113.55	1.0	0.01
113.55	113.775	1.0	0.01
113.775	114.025	1.0	0.01
114.025	114.275	1.0	0.01
114.275	114.55	1.0	0.01
114.55	114.75	1.0	0.01
114.75	115.0	1.0	0.01
115.0	115.225	1.0	0.01
115.225	115.475	1.0	0.01
115.475	115.675	1.0	0.01
115.675	115.9	1.0	0.01
115.9	116.125	1.0	0.01
116.125	116.35	1.0	0.01
116.35	116.6	1.0	0.01
116.6	116.85	1.0	0.01
116.85	117.05	1.0	0.01
117.05	117.3	1.0	0.01
