depth1	depth2	age_unc	comment
35.585	42.334	20	
38.885	46.33	20	
45.625	54.507	20	
47.855	57.16	20	
48.792	58.228	20	
52.424	62.79	20	
53.704	64.348	20	
60.087	72.111	20	
63.691	76.574	20	
64.509	77.685	20	
65.961	79.486	20	
70.978	85.924	20	
78.304	94.943	20	
82.415	100.201	20	
84.137	102.63	20	
89.217	108.832	20	
96.896	118.582	20	
103.746	127.082	20	
114.202	140.11	20	
116.078	142.558	20	
120.927	148.711	20	
124.213	152.702	20	
145.876	179.998	20	
156.338	193.245	20	
161.464	199.612	20	
166.566	206.042	20	
175.668	217.252	20	
177.617	219.577	20	
189.114	233.885	20	
203.378	251.785	20	
204.702	253.421	20	
208.345	258.023	20	
219.677	272.342	20	
221.721	274.945	20	
226.223	280.411	20	
230.975	286.346	20	
251.183	311.176	20	
253.315	313.877	20	
265.305	328.632	20	
274.888	340.496	20	
290.902	359.633	20	
293.41	362.613	20	
296.863	366.891	20	
302.978	374.423	20	
305.504	377.538	20	
306.072	378.27	20	
309.002	381.832	20	
311.509	384.922	20	
331.274	409.021	20	
337.655	416.912	20	
353.807	436.747	20	
363.208	447.966	20	
367.817	453.396	20	
390.201	480.92	20	
397.121	489.284	20	
406.797	500.776	20	
413.918	509.122	20	
418.717	514.603	20	
423.115	519.779	20	
424.815	521.91	20	
426.081	523.36	20	
441.204	541.556	20	
447.134	549.42	20	
448.185	550.62	20	
453.041	556.906	20	
459.462	563.094	20	
462.01	565.992	20	
462.944	567.182	20	
463.655	568.035	20	
466.599	571.353	20	
476.531	583.5	20	
480.39	588.116	20	
481.429	589.41	20	
482.014	590.061	20	
488.598	597.648	20	
489.104	598.253	20	
490.679	600.108	20	
496.157	606.707	20	
497.193	607.92	20	
498.756	609.763	20	
500.299	611.597	20	
555.32	675.338	20	
571.164	693.989	20	
571.774	694.702	20	
590.211	716.994	20	
609.431	738.559	20	
610.122	739.247	20	
627.667	759.111	20	
630.992	762.935	20	
634.698	766.877	20	
641.02	774.522	20	
644.858	778.824	20	
647.497	781.864	20	
670.515	807.156	20	
674.31	811.506	20	
680.452	818.757	20	
680.726	819.071	20	
688.777	828.459	20	
731.983	875.957	20	
733.155	877.297	20	
777.104	925.426	20	
777.544	925.913	20	
786.003	935.751	20	
788.046	937.995	20	
793.232	943.417	20	
824.166	977.716	20	
857.206	1013.66	20	
898.241	1058.252	20	
944.459	1105.374	20	
947.109	1108.135	20	
947.599	1108.665	20	
956.65	1118.097	20	
958.136	1119.683	20	
960.832	1122.511	20	
964.082	1126.021	20	
967.655	1129.793	20	
1011.647	1174.004	20	
1016.17	1178.63	20	
1031.229	1193.516	20	
1034.891	1197.419	20	
1038.893	1201.505	20	
1043.909	1206.516	20	
1056.372	1218.898	20	
1078.266	1239.98	20	
1092.65	1253.976	20	
1108.487	1269.645	20	
1118.329	1279.604	20	
1125.773	1287.552	20	
1126.43	1288.264	20	
1137.88	1300.059	20	
1139.082	1301.268	20	
1142.398	1304.509	20	
1145.892	1308.007	20	
1151.69	1313.799	20	
1163.639	1325.919	20	
1165.036	1327.328	20	
1169.959	1332.288	20	
1170.744	1333.075	20	
1171.713	1333.986	20	
1172.165	1334.455	20	
1175.605	1337.822	20	
1183.789	1346.383	20	
1184.441	1347.063	20	
1347.301	1518.432	20	
1347.572	1518.714	20	
1347.982	1519.167	20	
1348.622	1519.851	20	
1348.91	1520.17	20	
1352.313	1523.784	20	
1354.108	1525.729	20	
1354.471	1526.143	20	
