depth_top	depth_bot	duration	dur_unc
582.53	597.9	100	0.1
597.9	613.32	100	0.1
613.32	628.47	100	1.0
628.47	643.48	100	0.1
643.48	658.48	100	0.1
658.48	673.59	100	0.1
673.59	687.87	100	1.0
687.87	703.44	100	0.1
703.44	718.06	100	1.0
718.06	732.02	100	0.1
732.02	746.07	100	1.0
746.07	760.07	100	0.1
760.07	773.14	100	1.0
773.14	787.29	100	0.1
787.29	800.41	100	1.0
800.41	814.38	100	0.1
814.38	827.34	100	1.0
827.34	841.1	100	0.1
841.1	855.05	100	1.0
855.05	868.88	100	0.1
868.88	881.64	100	1.0
881.64	895.13	100	0.1
895.13	908.6	100	1.0
908.6	921.65	100	0.1
921.65	934.27	100	1.0
934.27	947.08	100	0.1
947.08	959.8	100	1.0
959.8	972.14	100	0.1
972.14	984.74	100	1.0
984.74	996.92	100	0.1
996.92	1010.1	100	1.0
1010.1	1022.51	100	0.1
1022.51	1034.35	100	1.0
1034.35	1046.89	100	0.1
1046.89	1059.52	100	1.0
1059.52	1071.65	100	0.1
1071.65	1084.04	100	2.0
1084.04	1095.45	100	2.0
1095.45	1107.7	100	2.0
1107.7	1119.48	100	2.0
1119.48	1131.12	100	2.0
1131.12	1142.55	100	2.0
1142.55	1154.71	100	2.0
1154.71	1165.89	100	2.0
1165.89	1176.96	100	2.0
1176.96	1189.01	100	2.0
1189.01	1200.03	100	2.0
1200.03	1210.96	100	2.0
1210.96	1221.2	100	2.0
1221.2	1230.22	100	2.0
1230.22	1240.57	100	2.0
1240.57	1250.33	100	2.0
1250.33	1260.03	100	2.0
1260.03	1269.37	100	2.0
1269.37	1279.01	100	2.0
1279.01	1288.27	100	2.0
1288.27	1297.2	100	2.0
1297.2	1306.46	100	2.0
1306.46	1315.33	100	2.0
1315.33	1324.13	100	2.0
1324.13	1332.17	100	2.0
1332.17	1340.9	100	2.0
1340.9	1348.77	100	2.0
1348.77	1357.04	100	2.0
1357.04	1365.05	100	2.0
1365.05	1373.11	100	2.0
1373.11	1380.99	100	2.0
1380.99	1388.51	100	2.0
1388.51	1395.8	100	2.0
1395.8	1403.27	100	2.0
1403.27	1410.486	100	1.0
1410.486	1417.244	100	1.0
1417.244	1423.97	100	1.0
1423.97	1430.532	100	0.1
1430.532	1437.183	100	1.0
1437.183	1443.539	100	1.0
1443.539	1449.645	100	0.1
1449.645	1455.723	100	1.0
1455.723	1461.737	100	1.0
1461.737	1467.647	100	0.1
1467.647	1473.646	100	1.0
1473.646	1478.947	100	1.0
1478.947	1484.343	100	1.0
1484.343	1490.207	100	0.1
1490.207	1494.136	100	2.0
1494.136	1497.144	100	4.0
1497.144	1500.012	100	3.0
1500.012	1502.967	100	3.0
1502.967	1505.772	100	3.0
1505.772	1508.478	100	4.0
1508.478	1511.267	100	3.0
1511.267	1514.077	100	3.0
1514.077	1516.781	100	3.0
1516.781	1519.366	100	4.0
1519.366	1522.25	100	3.0
1522.25	1525.175	100	3.0
1525.175	1528.842	100	3.0
1528.842	1532.952	100	3.0
1532.952	1536.426	100	2.0
1536.426	1539.868	100	3.0
1539.868	1544.019	100	3.0
1544.019	1548.373	100	2.0
1548.373	1552.953	100	3.0
1552.953	1556.897	100	3.0
1556.897	1561.273	100	2.0
1561.273	1565.988	100	3.0
1565.988	1570.6	100	2.0
1570.6	1574.158	100	3.0
1574.158	1578.353	100	3.0
1578.353	1582.989	100	3.0
1582.989	1588.062	100	2.0
1588.062	1592.912	100	3.0
1592.912	1598.1	100	3.0
1598.1	1603.123	100	3.0
1603.123	1606.403	100	4.0
1606.403	1609.256	100	4.0
1609.256	1611.73	100	3.0
1611.73	1614.083	100	2.0
1614.083	1616.315	100	6.0
1616.315	1618.582	100	4.0
1618.582	1620.915	100	5.0
1620.915	1623.166	100	4.0
1623.166	1625.526	100	4.0
1625.526	1627.682	100	5.0
1627.682	1629.752	100	3.0
1629.752	1631.889	100	5.0
1631.889	1634.232	100	3.0
1634.232	1636.554	100	9.0
1636.554	1638.779	100	5.0
1638.779	1640.991	100	5.0
1640.991	1643.15	100	6.0
1643.15	1645.563	100	5.0
1645.563	1647.834	100	5.0
1647.834	1650.132	100	6.0
1650.132	1652.471	100	5.0
1652.471	1654.864	100	7.0
1654.864	1657.006	100	6.0
1657.006	1659.337	100	7.0
1659.337	1661.758	100	6.0
1661.758	1664.107	100	5.0
1664.107	1666.234	100	7.0
1666.234	1668.568	100	7.0
1668.568	1670.703	100	4.0
1670.703	1672.977	100	4.0
1672.977	1675.251	100	5.0
1675.251	1677.703	100	4.0
1677.703	1679.953	100	4.0
1679.953	1682.156	100	2.0
1682.156	1684.45	100	5.0
1684.45	1686.866	100	2.0
1686.866	1689.159	100	4.0
1689.159	1691.218	100	5.0
1691.218	1693.426	100	6.0
1693.426	1695.705	100	6.0
1695.705	1698.041	100	4.0
1698.041	1700.417	100	5.0
1700.417	1702.597	100	6.0
1702.597	1704.783	100	6.0
1704.783	1706.996	100	5.0
1706.996	1709.202	100	4.0
