#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
9.900000000000000355e+00	-2.300000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	6.858678130174206133e-02	6.486085294046564599e-04	9.975229587323269920e-01	2.586142955934805747e-03	nan	nan	nan	nan	3.388731000000000382e-01	1.999999999999999833e-01	9.982199999999999962e-01	2.660920349000794188e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.267450545469907819e-01	1.153918440164781014e-03	nan	nan
1.090000000000000036e+01	-1.511014580747014691e+01	7.183119116964202522e-02	nan	nan	nan	7.877611339211346153e-02	6.614510854301751614e-04	9.977299465052347216e-01	2.580007790299134775e-03	nan	nan	nan	nan	3.711017999999999262e-01	1.999999999999999833e-01	9.979299999999999837e-01	2.782403555939759639e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.411119135841478744e-01	1.127589571985849765e-03	nan	nan
1.190000000000000036e+01	-8.023571934289130070e+00	1.284327674157463572e-01	nan	nan	nan	7.277255982488195496e-02	5.326768015294719655e-04	9.980169167610553060e-01	2.584366475617173517e-03	nan	nan	nan	nan	3.261135000000001671e-01	1.999999999999999833e-01	9.977200000000000513e-01	2.903886762878725089e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.278882860457611070e-01	8.750320290250410311e-04	nan	nan
1.290000000000000036e+01	-2.042474995072041111e-01	1.818181911485726998e-01	nan	nan	nan	6.786317435913294394e-02	4.168941346821399083e-04	9.983139332885947459e-01	2.599003700197952474e-03	nan	nan	nan	nan	2.870506999999999920e-01	1.999999999999999833e-01	9.975200000000000733e-01	3.025369969817690539e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.177074758803280108e-01	6.537427393618524662e-04	nan	nan
1.390000000000000036e+01	8.291389608680297840e+00	2.285928251763091890e-01	nan	nan	nan	8.785955952584313666e-02	4.488608285632032725e-04	9.986109980669395370e-01	2.623740130369196615e-03	nan	nan	nan	nan	3.512193999999997374e-01	1.999999999999999833e-01	9.973199999999999843e-01	3.146853176756655990e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.505031914534993298e-01	6.571769709710476894e-04	nan	nan
1.490000000000000036e+01	1.493576698262434377e+01	2.567384802639187114e-01	nan	nan	nan	8.541672810790539028e-02	3.681393057894471153e-04	9.989081110704531863e-01	2.658311738647258383e-03	nan	nan	nan	nan	3.235966000000001230e-01	1.999999999999999833e-01	9.971200000000000063e-01	3.268336383695621440e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.445460394399765425e-01	4.878792315338973968e-04	nan	nan
1.590000000000000036e+01	2.185397798220870413e+01	2.779010292490275424e-01	nan	nan	nan	8.864626363880986903e-02	3.358948176275538167e-04	9.991150659635228415e-01	2.702114730255676927e-03	nan	nan	nan	nan	3.171654000000000417e-01	1.999999999999999833e-01	9.968299999999999939e-01	3.389819590634586457e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.482201875098031751e-01	3.922674785340079552e-04	nan	nan
1.689999999999999858e+01	2.860069728408422662e+01	2.903848241354346493e-01	nan	nan	nan	9.077290440675080119e-02	3.411366711652403768e-04	9.994022024864329667e-01	2.755167466737960119e-03	nan	nan	nan	nan	3.059994999999999798e-01	1.999999999999999833e-01	9.966200000000000614e-01	3.511302797573551907e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.500149826454363899e-01	3.846905663220374200e-04	nan	nan
1.789999999999999858e+01	3.526669812190401387e+01	2.947858090541011777e-01	nan	nan	nan	1.021951890378362260e-01	4.351917419586471105e-04	9.996091138485040384e-01	2.816536313185641609e-03	nan	nan	nan	nan	3.245792000000000677e-01	1.999999999999999833e-01	9.963299999999999379e-01	3.632786004512517358e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.669610967206211494e-01	5.377755963031872685e-04	nan	nan
1.889999999999999858e+01	4.125611733177730400e+01	2.922029772828618199e-01	nan	nan	nan	9.509612274584093583e-02	4.937017474645887406e-04	9.998962866230243218e-01	2.886137081010233668e-03	nan	nan	nan	nan	2.836571999999999427e-01	1.999999999999999833e-01	9.961200000000000054e-01	3.754269211451482808e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.536369774482912176e-01	6.687718534020830208e-04	nan	nan
1.989999999999999858e+01	4.776496706709941975e+01	2.829745110913240436e-01	nan	nan	nan	1.032016054615392392e-01	6.658759233541780738e-04	1.000193540356098199e+00	2.963229498883619695e-03	nan	nan	nan	nan	2.878137999999998975e-01	1.999999999999999833e-01	9.959200000000000275e-01	3.875752418390448258e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.649209405125267869e-01	9.521976522701229009e-04	nan	nan
2.089999999999999858e+01	5.382847844953690242e+01	2.696439509085697961e-01	nan	nan	nan	1.103197465751025591e-01	8.674099416875711037e-04	1.000400410888496516e+00	3.046959148963850495e-03	nan	nan	nan	nan	2.875677999999997070e-01	1.999999999999999833e-01	9.956300000000000150e-01	3.997235625329413275e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.744058099574764820e-01	1.272166817833322470e-03	nan	nan
2.189999999999999858e+01	5.956223238952215127e+01	2.550909236953630699e-01	nan	nan	nan	1.352483017207462279e-01	1.167304043421157596e-03	1.000597186397629068e+00	3.137013553593710063e-03	nan	nan	nan	nan	3.334983000000004694e-01	1.999999999999999833e-01	9.953299999999999370e-01	4.118718832268378725e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.115690062938380134e-01	1.712535946630334722e-03	nan	nan
2.289999999999999858e+01	6.428882262841162287e+01	2.452928786748630463e-01	nan	nan	nan	1.301654110130967268e-01	1.054325341019943891e-03	1.000884431036154654e+00	3.233193642185382653e-03	nan	nan	nan	nan	3.091842999999991903e-01	1.999999999999999833e-01	9.951200000000000045e-01	4.240202039207344176e-03	7.036914285714289008e+01	1.999999999999999833e-01	2.015411232157915677e-01	1.510709603007111311e-03	nan	nan
2.389999999999999858e+01	6.925058916044237378e+01	2.401286606195369433e-01	nan	nan	nan	1.186190780506633513e-01	8.938803771905945135e-04	1.001091210049249725e+00	3.334463550514127090e-03	nan	nan	nan	nan	2.701516000000001583e-01	1.999999999999999833e-01	9.948299999999999921e-01	4.361685246146309626e-03	7.036914285714289008e+01	1.999999999999999833e-01	1.818147945363583484e-01	1.243782646572801510e-03	nan	nan
2.489999999999999858e+01	7.475069162762650876e+01	2.391901097547914634e-01	nan	nan	nan	1.174960968305272802e-01	8.178558535319139112e-04	1.001378490299248414e+00	3.440890142070814582e-03	nan	nan	nan	nan	2.553914999999999935e-01	1.999999999999999833e-01	9.946200000000000596e-01	4.483168453085275076e-03	7.036914285714289008e+01	1.999999999999999833e-01	1.783327024180565712e-01	1.095864836791860192e-03	nan	nan
2.589999999999999858e+01	8.035818810158085057e+01	2.416241892475937125e-01	nan	nan	nan	1.255732647648144795e-01	8.086392716239486963e-04	1.001585224608891211e+00	3.551500637116805463e-03	nan	nan	nan	nan	2.601491999999998583e-01	1.999999999999999833e-01	9.943299999999999361e-01	4.604651660024241394e-03	7.036914285714289008e+01	1.999999999999999833e-01	1.887521199331848032e-01	1.033622408097096797e-03	nan	nan
