depth_top	depth_bot	duration	dur_unc
0.36	0.767	1.0	0.9
0.767	1.156	1.0	0.01
1.156	1.701	1.0	0.01
1.701	2.162	1.0	0.01
2.162	2.576	1.0	0.01
2.576	3.109	1.0	0.01
3.109	3.581	1.0	0.01
3.581	4.037	1.0	0.01
4.037	4.444	1.0	0.01
4.444	4.823	1.0	0.01
4.823	5.135	1.0	0.01
5.135	5.581	1.0	0.01
5.581	6.136	1.0	0.01
6.136	6.655	1.0	0.01
6.655	7.111	1.0	0.9
7.111	7.428	1.0	0.01
7.428	7.786	1.0	0.01
7.786	8.238	1.0	0.01
8.238	8.571	1.0	0.01
8.571	8.864	1.0	0.01
8.864	9.293	1.0	0.01
9.293	9.758	1.0	0.01
9.758	10.102	1.0	0.01
10.102	10.464	1.0	0.01
10.464	10.883	1.0	0.01
10.883	11.359	1.0	0.01
11.359	11.733	1.0	0.01
11.733	11.961	1.0	0.01
11.961	12.349	1.0	0.01
12.349	12.681	1.0	0.01
12.681	12.999	1.0	0.01
12.999	13.242	1.0	0.01
13.242	13.561	1.0	0.01
13.561	14.033	1.0	0.01
14.033	14.308	1.0	0.01
14.308	14.68	1.0	0.01
14.68	14.969	1.0	0.01
14.969	15.389	1.0	0.01
15.389	15.692	1.0	0.01
15.692	15.966	1.0	0.01
15.966	16.302	1.0	0.01
16.302	16.661	1.0	0.01
16.661	17.01	1.0	0.9
17.01	17.324	1.0	0.01
17.324	17.558	1.0	0.01
17.558	17.997	1.0	0.01
17.997	18.272	1.0	0.01
18.272	18.574	1.0	0.01
18.574	18.952	1.0	0.01
18.952	19.282	1.0	0.01
19.282	19.527	1.0	0.01
19.527	19.821	1.0	0.01
19.821	20.203	1.0	0.01
20.203	20.524	1.0	0.01
20.524	20.949	1.0	0.01
20.949	21.236	1.0	0.01
21.236	21.578	1.0	0.01
21.578	21.853	1.0	0.01
21.853	22.213	1.0	0.01
22.213	22.458	1.0	0.01
22.458	22.842	1.0	0.01
22.842	23.147	1.0	0.01
23.147	23.396	1.0	0.01
23.396	23.826	1.0	0.01
23.826	24.061	1.0	0.01
24.061	24.426	1.0	0.01
24.426	24.839	1.0	0.01
24.839	25.127	1.0	0.01
25.127	25.451	1.0	0.01
25.451	25.727	1.0	0.01
25.727	26.058	1.0	0.01
26.058	26.406	1.0	0.01
26.406	26.627	1.0	0.01
26.627	27.076	1.0	0.01
27.076	27.355	1.0	0.01
27.355	27.679	1.0	0.01
27.679	28.0	1.0	0.01
28.0	28.264	1.0	0.01
28.264	28.572	1.0	0.01
28.572	28.851	1.0	0.01
28.851	29.069	1.0	0.01
29.069	29.306	1.0	0.01
29.306	29.695	1.0	0.01
29.695	29.931	1.0	0.01
29.931	30.202	1.0	0.01
30.202	30.663	1.0	0.01
30.663	30.95	1.0	0.01
30.95	31.308	1.0	0.01
31.308	31.601	1.0	0.01
31.601	31.861	1.0	0.01
31.861	32.102	1.0	0.01
32.102	32.424	1.0	0.01
