#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
314.57	1808.9	5	
322.43	1836.4	5	
339.14	1896.608	5	
344.97	1919.17	5	
349.66	1937.7540000000001	5	
352.45	1948.55	5	
369.5049909	2012.5	5	
371.46	2019.0710000000001	5	
384.93	2068.34	5	
388.27	2082.951	5	
388.99	2086.525	5	
389.63	2089.552	5	
390.31	2092.7200000000003	5	
394.31	2111.2490000000003	5	
402.25	2145.37	5	
406.4	2164.1528	5	
419.62	2219.809	5	
424.34	2240.15	5	
425.66	2245.205	5	
429.97	2263.204	5	
441.82	2308.71	5	
457.02	2361.136	5	
459.74	2370.02	5	
466.98	2392.36	5	
470.87	2401.72	5	
482.85	2430.265	5	
485.93	2437.65	5	
488.79	2444.685	5	
491.69	2451.02	5	
496.84	2462.05	5	
503.93	2478.16	5	
505.79	2482.73	5	
511.4	2497.12	5	
515.14	2506.97	5	
528.65	2538.375	5	
542.01	2567.25	5	
550.82	2586.48	5	
557.82	2600.42	5	
559.708053097345	2604.2	5	
562.96	2611.0	5	
565.86	2617.32	5	
572.46	2633.7	5	
572.75	2634.3540000000003	5	
579.71	2653.0	5	
582.17	2660.23	5	
583.68	2664.18	5	
585.87	2670.087	5	
590.34	2681.92	5	
592.29	2687.3808	5	
593.97	2691.55	5	
594.9	2694.11	5	
602.98	2717.85	5	
611.23	2742.86	5	
618.05	2762.9	5	
619.782267428027	2768.1	5	
626.30515108256	2784.36	5	
635.89	2806.62	5	
636.3952726	2807.69	5	
643.53	2822.2	5	
646.95	2829.06	5	
659.48	2851.69	5	
666.29	2863.15	5	
671.04	2872.32	5	
681.01	2890.77	5	
682.43	2893.14	5	
694.54	2915.12	5	
701.01	2928.33	5	
706.27	2939.56	5	
711.59	2951.03	5	
714.22	2955.915	5	
716.768	2960.7	5	
718.91	2964.32	5	
721.68	2969.13	5	
729.35	2981.39	5	
733.04	2987.25	5	
735.39	2991.1330000000003	5	
744.19	3006.318	5	
746.51	3010.469	5	
750.0	3016.45	5	
767.61	3044.28	5	
772.69	3052.1	5	
776.242308626974	3057.95	5	
788.98	3079.07	5	
792.08	3083.92	5	
801.0	3098.606	5	
802.14	3100.16	5	
803.87	3102.68	5	
808.42	3109.92	5	
814.12	3118.82	5	
817.37	3123.9	5	
818.28	3125.35	5	
831.48	3144.96	5	
834.28	3149.45	5	
837.4	3154.24	5	
843.07	3162.931	5	
847.01	3169.04	5	
847.98	3170.992	5	
849.55	3173.17	5	
856.33	3184.42	5	
861.08	3192.0	5	
875.39	3212.62	5	
887.43	3228.32	5	
890.19	3231.9	5	
900.03	3244.07	5	
904.64	3249.64	5	
912.5	3260.32	5	
921.001	3271.39	5	
923.92	3274.77	5	
936.57	3289.86	5	
942.07	3297.95	5	
946.02	3303.76	5	
947.92	3306.6	5	
955.68	3315.48	5	
958.14	3317.96	5	
960.65	3320.22	5	
962.83	3322.22	5	
968.54	3326.84	5	
983.03	3338.45	5	
983.54	3338.85	5	
984.95	3340.35	5	
988.59	3343.02	5	
995.79	3347.82	5	
997.31	3348.86	5	
999.56	3350.32	5	
1002.18	3352.04	5	
1010.42	3357.86	5	
1012.31	3359.36	5	
1016.07	3361.9	5	
1017.73	3362.95	5	
1029.47	3369.575	5	
1036.03	3372.26	5	
1052.1	3378.275	5	
1080.68	3389.45	5	
1087.63	3392.42	5	
1095.7	3397.1	5	
1102.12	3401.54	5	
