#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.568955178470868361e+01	3.100774329584610634e+00	nan	nan	nan	2.976018622957807280e-02	1.097325090224063803e-03	9.997920147693014625e-01	2.193947826020386117e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000111e-01	9.997854999999999936e-01	2.274595929473371882e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.711583346095761404e-02	2.838612572903666687e-03	nan	nan
1.000000000000000000e+00	-3.272204621393271395e+01	3.131874386674128985e+00	nan	nan	nan	2.946741467223731176e-02	6.786398706366245136e-04	9.996691805697737188e-01	2.207990736310785733e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000389e-01	9.996665000000000134e-01	2.435686867293632586e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.473174403877237693e-02	1.713242559481199453e-03	nan	nan
2.000000000000000000e+00	-1.934085174480350844e+01	3.184080579296857838e+00	nan	nan	nan	2.917129470770889882e-02	4.819764051037467257e-04	9.995463472976033881e-01	2.239026892040126959e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.995475000000000332e-01	2.596777805113893722e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.242717174986515460e-02	1.185607775621186398e-03	nan	nan
3.000000000000000000e+00	-5.533878811308255763e+00	3.211514915213207200e+00	nan	nan	nan	2.882304411992815327e-02	6.379077526452532534e-04	9.994230149552792986e-01	2.286350941674921127e-03	nan	nan	nan	nan	2.677527900000002681e-02	2.000000000000000944e-01	9.994279999999999831e-01	2.757868742934154425e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.008041572511009010e-02	1.542746844560042565e-03	nan	nan
4.000000000000000000e+00	8.735442933621065720e+00	3.216213895386461630e+00	nan	nan	nan	2.812093328049125943e-02	3.915313523855513240e-04	9.992976835617819464e-01	2.348962980765422013e-03	nan	nan	nan	nan	2.677512720689079195e-02	2.000000000000001221e-01	9.993065000000000975e-01	2.918959680754415129e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.697704868658845012e-02	9.193116075194827670e-04	nan	nan
5.000000000000000000e+00	2.366593060977095320e+01	3.201153438339052748e+00	nan	nan	nan	2.718609240624560164e-02	4.305134222145537816e-04	9.991693531527708894e-01	2.425664488389755406e-03	nan	nan	nan	nan	2.654759231145342735e-02	2.000000000000001776e-01	9.991820000000000146e-01	3.080050618574676265e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.344703135647865311e-02	9.930787346684908593e-04	nan	nan
6.000000000000000000e+00	3.942710932247503308e+01	3.150395905417736842e+00	nan	nan	nan	2.612838900278531551e-02	6.872619241379577734e-04	9.990380237627523030e-01	2.515153817705660568e-03	nan	nan	nan	nan	2.618884883834321498e-02	2.000000000000002054e-01	9.990544999999999565e-01	3.241141556394936969e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.976884665680362585e-02	1.565058573286748182e-03	nan	nan
7.000000000000000000e+00	5.615823357759177270e+01	3.089943023580076442e+00	nan	nan	nan	2.590423213828191296e-02	4.619435325931607410e-04	9.989031954363959409e-01	2.616104696225874434e-03	nan	nan	nan	nan	2.607126267520479268e-02	2.000000000000002054e-01	9.989235000000000753e-01	3.402232494215197672e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.809791889090707567e-02	1.025017405063307144e-03	nan	nan
8.000000000000000000e+00	7.337055407185495426e+01	3.072779513627108550e+00	nan	nan	nan	2.583895127140356518e-02	3.129513310115649522e-04	9.987463686609381330e-01	2.727180840310484012e-03	nan	nan	nan	nan	2.608738613997421685e-02	2.000000000000001776e-01	9.987705000000000055e-01	3.563323432035458808e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.683485169074840165e-02	6.708108161333357000e-04	nan	nan
9.000000000000000000e+00	9.096539192664924656e+01	3.062085143667325760e+00	nan	nan	nan	2.615884924045542431e-02	4.101093653819076995e-04	9.985600438994233219e-01	2.847149702082090589e-03	nan	nan	nan	nan	2.649439814204726518e-02	2.000000000000001776e-01	9.985880000000000312e-01	3.724414369855719512e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.644533606918190199e-02	8.701401771012316159e-04	nan	nan
1.000000000000000000e+01	1.086816475048666604e+02	3.052816357545442560e+00	nan	nan	nan	2.713526965635458879e-02	3.429813093574666334e-04	9.983607209660055881e-01	2.974950548846475289e-03	nan	nan	nan	nan	2.712463088687977475e-02	2.000000000000002054e-01	9.983925000000000161e-01	3.885505307675980215e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.745664872229150344e-02	7.056989802052423232e-04	nan	nan
1.100000000000000000e+01	1.260860736633319306e+02	3.050714875326682840e+00	nan	nan	nan	2.777518358667143902e-02	4.940436008520006405e-04	9.981553997605715489e-01	3.109615700137178303e-03	nan	nan	nan	nan	2.740069640551207053e-02	2.000000000000002331e-01	9.981910000000000505e-01	4.046596245496240918e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.772850340291391102e-02	1.010893455056471792e-03	nan	nan
1.200000000000000000e+01	1.434085390149891168e+02	3.060375465066406342e+00	nan	nan	nan	2.822161759815325702e-02	7.110648718389979894e-04	9.979440803521337777e-01	3.250273110994492381e-03	nan	nan	nan	nan	2.751328547451376005e-02	2.000000000000002331e-01	9.979835000000000234e-01	4.207687183316501621e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.759346228306376492e-02	1.438871316389566876e-03	nan	nan
1.300000000000000000e+01	1.607716208711404420e+02	3.116910373191825734e+00	nan	nan	nan	2.779379538279503833e-02	3.342765317763259319e-04	9.977267628097052921e-01	3.396159389886199004e-03	nan	nan	nan	nan	2.731100695836441439e-02	1.999999999999999556e-01	9.977700000000000458e-01	4.368778121136763191e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.570932792024604202e-02	6.425913515003825937e-04	nan	nan
1.400000000000000000e+01	1.787219361474548123e+02	3.160051324667751071e+00	nan	nan	nan	2.747953241470971891e-02	2.972357477931312055e-04	9.974859480277437074e-01	3.546548229222347762e-03	nan	nan	nan	nan	2.722129699999997765e-02	1.999999999999996503e-01	9.975330000000000030e-01	4.529869058957023895e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.411298314182860780e-02	5.528249771227925543e-04	nan	nan
1.500000000000000000e+01	1.972017896306572879e+02	3.148052568703914922e+00	nan	nan	nan	2.721892077115479688e-02	4.945698935937615278e-04	9.972186364295803074e-01	3.700844841892192254e-03	nan	nan	nan	nan	2.721770129864276022e-02	1.999999999999994282e-01	9.972695000000000309e-01	4.690959996777284598e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.267409410497319450e-02	9.369628673496739136e-04	nan	nan
1.600000000000000000e+01	2.161864540466626181e+02	3.112989673808244984e+00	nan	nan	nan	2.654284893252718130e-02	3.405618457114734749e-04	9.969433273055554601e-01	3.858613142102453389e-03	nan	nan	nan	nan	2.689211486182707667e-02	1.999999999999994282e-01	9.969980000000000508e-01	4.852050934597545301e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.049375327554717768e-02	6.178397929347836069e-04	nan	nan
1.700000000000000000e+01	2.359908840034325976e+02	3.079220906503896238e+00	nan	nan	nan	2.576352986842359027e-02	4.524525590482511572e-04	9.966620206303408169e-01	4.019429683710611274e-03	nan	nan	nan	nan	2.645817695985408502e-02	1.999999999999994005e-01	9.967205000000000092e-01	5.013141872417806004e-03	1.041500000000000057e+02	1.499999999999999944e-01	4.819367238874814469e-02	8.238601112834188301e-04	nan	nan
1.800000000000000000e+01	2.567404959428097868e+02	3.045039374537986454e+00	nan	nan	nan	2.560138295858076576e-02	4.087237080706410705e-04	9.963732165667045226e-01	4.182915850810656894e-03	nan	nan	nan	nan	2.619188840582375999e-02	1.999999999999997058e-01	9.964355000000000295e-01	5.174232810238066707e-03	1.041500000000000057e+02	1.499999999999999944e-01	4.710557286392968307e-02	7.256588968021660674e-04	nan	nan
1.900000000000000000e+01	2.779694066470405573e+02	3.037933192596845799e+00	nan	nan	nan	2.677141324936506070e-02	3.205121928284972123e-04	9.960759152672493677e-01	4.348744150014278650e-03	nan	nan	nan	nan	2.695088697954295398e-02	2.000000000000002054e-01	9.961420000000000829e-01	5.335323748058328278e-03	1.041500000000000057e+02	1.499999999999999944e-01	4.846556228568215524e-02	5.403519348215854879e-04	nan	nan
2.000000000000000000e+01	2.986026140800929625e+02	3.025539049105690381e+00	nan	nan	nan	2.775166720253212371e-02	4.966255858751620744e-04	9.957721166893902520e-01	4.516642715043438921e-03	nan	nan	nan	nan	2.750374622795093149e-02	2.000000000000007050e-01	9.958420000000000050e-01	5.496414685878588981e-03	1.041500000000000057e+02	1.499999999999999944e-01	4.944626124838957804e-02	8.559875067968561110e-04	nan	nan
2.100000000000000000e+01	3.188265900643756936e+02	3.014932514451358792e+00	nan	nan	nan	2.811133975152679473e-02	4.206284118731665796e-04	9.954643207228618396e-01	4.686379876190601042e-03	nan	nan	nan	nan	2.779227484903079581e-02	2.000000000000008715e-01	9.955380000000000340e-01	5.657505623698849684e-03	1.041500000000000057e+02	1.499999999999999944e-01	4.931036969094759748e-02	7.004293651508561921e-04	nan	nan
2.200000000000000000e+01	3.391063001186197425e+02	3.010558806443928148e+00	nan	nan	nan	2.803190067233895036e-02	6.543117828515915800e-04	9.951715259346289866e-01	4.857837410651586786e-03	nan	nan	nan	nan	2.764528406924560144e-02	2.000000000000010381e-01	9.952490000000000503e-01	5.818596561519110387e-03	1.041500000000000057e+02	1.499999999999999944e-01	4.842383853891508994e-02	1.105348723054602441e-03	nan	nan
