#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	1.115076028464210651e+02	3.898987496207147352e+00	nan	nan	nan	5.905476236226649828e-02	4.027846806338684915e-03	9.940817264409674836e-01	4.544188341764317587e-03	nan	nan	nan	nan	6.439430000000000154e-02	2.002707351859528140e-01	9.940799999999999637e-01	4.704290167166577316e-03	8.963249999999999318e+01	2.000000000000000111e-01	1.009517506313526852e-01	6.872626383281849570e-03	nan	nan
1.900000000000000000e+01	1.214133250725934232e+02	3.328974570105948771e+00	nan	nan	nan	6.192558959675826397e-02	4.009342280412878622e-03	9.940114411029966623e-01	4.597615029500006813e-03	nan	nan	nan	nan	6.738280000000000658e-02	2.003717524740034062e-01	9.939700000000000202e-01	4.998003652392027547e-03	8.965070000000000050e+01	2.000000000000000111e-01	1.033323057799962336e-01	6.674462120079381264e-03	nan	nan
2.000000000000000000e+01	1.310908406612718693e+02	2.809971763932719746e+00	nan	nan	nan	5.255218157872059564e-02	3.308902849352778931e-03	9.939111461119163327e-01	4.678913513939197445e-03	nan	nan	nan	nan	5.705279999999998686e-02	2.004815150904427912e-01	9.938300000000002132e-01	5.291717137617477779e-03	8.966030000000000655e+01	2.000000000000000111e-01	8.657146199599516367e-02	5.435720356909791440e-03	nan	nan
2.100000000000000000e+01	1.426419913169724794e+02	2.246974099998121144e+00	nan	nan	nan	6.472433472417282729e-02	3.996909187234480403e-03	9.938008403031315385e-01	4.786728971036296153e-03	nan	nan	nan	nan	6.996760000000001867e-02	2.006063686572185367e-01	9.936800000000000077e-01	5.585430622842928010e-03	8.966280000000000427e+01	2.000000000000000111e-01	1.056031637343894936e-01	6.500496049629955232e-03	nan	nan
2.200000000000000000e+01	1.521114045867792015e+02	1.866448412106778365e+00	nan	nan	nan	7.189842311259889152e-02	3.953400291458188456e-03	9.936805224772181644e-01	4.919293846834507829e-03	nan	nan	nan	nan	7.677929999999999477e-02	2.007819318870953107e-01	9.935199999999999587e-01	5.879144108068378241e-03	8.970000000000000284e+01	2.000000000000000111e-01	1.158362020140723397e-01	6.341573704727813954e-03	nan	nan
2.300000000000000000e+01	1.607442843136068689e+02	1.630367200043001841e+00	nan	nan	nan	6.442507663213849212e-02	3.164322936365642804e-03	9.935601934499723731e-01	5.074693227320199902e-03	nan	nan	nan	nan	6.794200000000000239e-02	2.009620227240601076e-01	9.933600000000000207e-01	6.172857593293827605e-03	8.971769999999999357e+01	2.000000000000000111e-01	1.031425954628621966e-01	5.036158153011899806e-03	nan	nan
2.400000000000000000e+01	1.704395997699651844e+02	1.491604344562754259e+00	nan	nan	nan	6.086807295634761444e-02	2.702169936221081488e-03	9.934298508057367583e-01	5.250828813844417124e-03	nan	nan	nan	nan	6.330510000000000304e-02	2.011617343374522138e-01	9.931900000000000173e-01	6.466571078519277836e-03	8.971939999999999316e+01	2.000000000000000111e-01	9.648122513639274811e-02	4.250015014401402162e-03	nan	nan
2.500000000000000000e+01	1.808043106096785948e+02	1.474854187591045029e+00	nan	nan	nan	6.986218934133832381e-02	2.946430528991214430e-03	9.932494820864175011e-01	5.445440137756817414e-03	nan	nan	nan	nan	7.167479999999998297e-02	2.013578255937173433e-01	9.929700000000000193e-01	6.760284563744728067e-03	8.972740000000000293e+01	2.000000000000000111e-01	1.101938076344301243e-01	4.604876480501778058e-03	nan	nan
2.600000000000000000e+01	1.898792307115187725e+02	1.548795336461513683e+00	nan	nan	nan	6.483512903941186789e-02	2.768856116437744524e-03	9.930690973676047362e-01	5.656824065816748286e-03	nan	nan	nan	nan	6.562740000000000240e-02	2.015514223947420525e-01	9.927500000000000213e-01	7.053998048970178299e-03	8.973749999999999716e+01	2.000000000000000111e-01	1.015798257503122692e-01	4.297017489194108163e-03	nan	nan
2.700000000000000000e+01	1.997237051690556768e+02	1.703145732166211790e+00	nan	nan	nan	5.910790958932984895e-02	2.292227773150954263e-03	9.928886966483080334e-01	5.883148254519457963e-03	nan	nan	nan	nan	5.905320000000002789e-02	2.017539699552063637e-01	9.925300000000000233e-01	7.347711534195628530e-03	8.974370000000000402e+01	2.000000000000000111e-01	9.136400198919239490e-02	3.499637050467013268e-03	nan	nan
