#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.510000000000000009e+00	-3.740124700107327271e+01	9.552740539714208445e-01	nan	nan	nan	2.189318280971647990e-01	3.252966278312618541e-03	9.855966145250075749e-01	9.507328928859536815e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.719296400774733946e-02	9.995727743217105443e-01	9.962793155681159973e-03	6.961061743923654888e+01	2.000000000000000111e-01	5.408356902246619358e-01	8.060331727732983689e-03	nan	nan
2.509999999999999787e+00	-3.555225659959921103e+01	9.453681004779052044e-01	nan	nan	nan	2.189174764395047101e-01	3.214541246974650813e-03	9.860386605756976675e-01	9.375249545908478574e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.719134697692970393e-02	9.999797202797202633e-01	9.960403741606163250e-03	6.961061743923654888e+01	2.000000000000000111e-01	5.218702409295911115e-01	7.631988394759456167e-03	nan	nan
3.509999999999999787e+00	-3.363607146089742628e+01	9.358354473783190297e-01	nan	nan	nan	2.189025398288908519e-01	3.176328536837183178e-03	9.860998305200013858e-01	9.242333625098310065e-03	nan	nan	nan	nan	2.480396294020646430e-01	3.718966392567700507e-02	1.000000385732401353e+00	9.958014327531166526e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.992969803785228811e-01	7.162867471552148736e-03	nan	nan
4.509999999999999787e+00	-3.163325542295165960e+01	9.266419113766956039e-01	nan	nan	nan	2.188868772435283716e-01	3.138277737143771885e-03	9.838001567768686062e-01	9.090566396771080845e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718789894852864847e-02	9.976270234852765428e-01	9.955624913456169803e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.745931395826669674e-01	6.676600062735658231e-03	nan	nan
5.509999999999998899e+00	-2.952618745968664626e+01	9.177882087059415772e-01	nan	nan	nan	2.188704481911790956e-01	3.100667324640480824e-03	9.834120909236510055e-01	8.959919923713926745e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718604746443228415e-02	9.971922503725781928e-01	9.953235499381173079e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.536398748208785858e-01	6.256617885630297304e-03	nan	nan
6.509999999999998899e+00	-2.732179570423337012e+01	9.093888551052488056e-01	nan	nan	nan	2.188533222435014025e-01	3.064062554466626467e-03	9.836214071108949630e-01	8.837975065529050586e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718411729525456649e-02	9.973632393807065899e-01	9.950846085306176356e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.365941869761876815e-01	5.903002436074914101e-03	nan	nan
7.509999999999998899e+00	-2.503133918916634570e+01	9.015584650599770544e-01	nan	nan	nan	2.191666062241847124e-01	3.033660511615125354e-03	9.852276749453480198e-01	8.731732567870010425e-03	nan	nan	nan	nan	2.484148090476128168e-01	3.718211976114684653e-02	9.989506219120267705e-01	9.948456671231177897e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.234696431649636605e-01	5.613805630227702848e-03	nan	nan
8.509999999999998010e+00	-2.266989483030720010e+01	8.944013475947359959e-01	nan	nan	nan	2.168654431060687282e-01	2.969311422027856324e-03	9.837047193461283534e-01	8.601262369578498157e-03	nan	nan	nan	nan	2.458271855301297215e-01	3.718004920370644728e-02	9.973651931877153265e-01	9.946067257156181174e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.063861721507774916e-01	5.283879035593313893e-03	nan	nan
9.509999999999998010e+00	-2.020918118272526343e+01	8.878886932920454500e-01	nan	nan	nan	2.113394591071167672e-01	2.863970751618433262e-03	9.832728026107364627e-01	8.484223865919309285e-03	nan	nan	nan	nan	2.395842928340536915e-01	3.717787979810060345e-02	9.968860380257346110e-01	9.943677843081184450e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.858203802261158111e-01	4.922148972029127649e-03	nan	nan
1.050999999999999801e+01	-1.761730151215437346e+01	8.820246989255366987e-01	nan	nan	nan	2.142936061279148152e-01	2.876941759506545376e-03	9.854107225013217786e-01	8.392979058060178257e-03	nan	nan	nan	nan	2.429552438600923736e-01	3.717564691666673526e-02	9.990122285728469942e-01	9.941288429006187727e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.833185219766279683e-01	4.802436757613937068e-03	nan	nan
1.150999999999999801e+01	-1.500850506046354482e+01	8.771059379502217368e-01	nan	nan	nan	2.147333742505161680e-01	2.859527249616878111e-03	9.825903607262727046e-01	8.263535757790594835e-03	nan	nan	nan	nan	2.434761748260969583e-01	3.717338311815795299e-02	9.961117292135047707e-01	9.938899014931191003e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.753538062478914417e-01	4.624092449544149087e-03	nan	nan
1.250999999999999801e+01	-1.234435197781282767e+01	8.730527952753741605e-01	nan	nan	nan	2.123462324431016346e-01	2.808544483028175675e-03	9.857381588488743906e-01	8.188372133941574163e-03	nan	nan	nan	nan	2.407921275259905514e-01	3.717106565285145658e-02	9.992615052290507727e-01	9.936509600856194280e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.657539928214588731e-01	4.436896242914421286e-03	nan	nan
1.350999999999999801e+01	-9.610273827945178482e+00	8.698657721033272727e-01	nan	nan	nan	2.133844151792851918e-01	2.807330755224518148e-03	9.851639898002063633e-01	8.086301114945952662e-03	nan	nan	nan	nan	2.419925504116062775e-01	3.716870427150647388e-02	9.986381461675579718e-01	9.934120186781195821e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.614358264963630218e-01	4.324982753867882834e-03	nan	nan
1.450999999999999801e+01	-6.843530946660656866e+00	8.675995887700450604e-01	nan	nan	nan	2.198892852973237111e-01	2.882488547711170579e-03	9.823894274505535762e-01	7.970919266502948103e-03	nan	nan	nan	nan	2.493933819379172689e-01	3.716634394433815380e-02	9.957844410066631902e-01	9.931730772706199098e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.660430074446936466e-01	4.329701759644897369e-03	nan	nan
1.550999999999999623e+01	-4.111611528281684969e+00	8.662687291092220354e-01	nan	nan	nan	2.163500241879266761e-01	2.830760116555961804e-03	9.829224741050258674e-01	7.887163691227530929e-03	nan	nan	nan	nan	2.454029074113646125e-01	3.716396421418675933e-02	9.962835402482980163e-01	9.929341358631202374e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.555870452205808774e-01	4.166921386265739526e-03	nan	nan
1.650999999999999801e+01	-1.299360594393832002e+00	8.658053748702910779e-01	nan	nan	nan	2.186783409826608959e-01	2.860978290452043191e-03	9.822954497296206844e-01	7.798837548705561326e-03	nan	nan	nan	nan	2.480681882936726090e-01	3.716154756169178647e-02	9.956068050219213372e-01	9.926951944556205651e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.548299283010402094e-01	4.129405759671914838e-03	nan	nan
