#Includes Miyaki data from Sigl. Original email in Oct. 2025
#Includes WD-GISP2 Tiepoints from Sigl et al. 2015, Cole-Dai 2020, Sigl et al. 2019, Mayewski 1999, Meese 1999
#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
32.8605	32.986515	5.0	
40.51221	42.56268	5.0	
46.520927	48.951874	5.0	
53.504562	56.86232	5.0	
54.63793	58.174263	5.0	
58.76677	62.889473	5.0	
60.387596	64.45509	5.0	
67.195496	72.36	5.0	
72.32765	77.860825	5.0	
87.714836	95.15871	5.0	
92.52818	100.42176	5.0	
100.36193	108.84022	5.0	
110.11141	118.08589	5.0	
114.122025	122.36831	5.0	
139.13867	148.31145	5.0	
142.9016	151.86334	5.0	
161.3911	172.38208	5.0	
168.86447	179.79022	5.0	
182.4468	193.19373	5.0	
184.4517	195.50122	5.0	
186.08789	197.11057	5.0	
188.44862	199.6028	5.0	
195.27843	205.98135	5.0	
204.47789	215.1133	5.0	
208.98703	219.69016	5.0	
219.5321	229.98416	5.0	
223.3735	234.13678	5.0	
273.30545	280.4359	5.0	
325.79785	328.7393	5.0	
339.32147	340.49	5.0	
384.58832	382.0195	5.0	
415.2302	409.02805	5.0	
423.63483	416.60376	5.0	
430.09735	422.4207	5.0	
445.66556	436.74564	5.0	
464.6175	453.72	5.0	
494.98633	481.0223	5.0	
516.13995	499.92883	5.0	
523.8711	505.50766	5.0	
532.62585	513.1111	5.0	
541.5256	519.90234	5.0	
583.7495	556.72314	5.0	
617.11816	583.4454	5.0	
634.4791	597.8391	5.0	
641.0939	603.07166	5.0	
647.3098	607.84094	5.0	
651.82104	611.6742	5.0	
706.1496	658.6019	5.0	
711.0414	662.6424	5.0	
747.6102	693.4771	5.0	
765.3596	709.3632	5.0	
797.70056	736.4555	5.0	
845.07446	774.51465	5.0	
850.7544	778.85516	5.0	
895.47485	816.31683	5.0	
898.281	819.03253	5.0	
907.58826	826.52374	5.0	
918.50946	834.6909	5.0	
953.14465	861.6908	5.0	
1014.35	908.1485	5.0	
1036.5322	926.32556	5.0	
1047.6678	936.32135	5.0	
1057.2742	943.8485	5.0	
1063.4779	949.09143	5.0	
1099.0516	978.1277	5.0	
1134.6841	1006.865	5.0	
1143.7947	1013.7684	5.0	
1169.2605	1034.6224	5.0	
1199.9718	1059.6779	5.0	
1209.9526	1067.5985	5.0	
1235.8513	1086.9241	5.0	
1249.2334	1097.0004	5.0	
1260.5596	1105.5415	5.0	
1267.1173	1111.3383	5.0	
1280.9817	1122.6997	5.0	
1285.8025	1126.7162	5.0	
1294.44	1134.4493	5.0	
1340.209	1172.0593	5.0	
1342.311	1174.0977	5.0	
1346.7474	1177.3604	5.0	
1348.7812	1178.68	5.0	
1367.8608	1193.5428	5.0	
1372.5912	1197.4214	5.0	
1383.9052	1206.6372	5.0	
1387.3987	1209.3448	5.0	
1399.3167	1218.7396	5.0	
1400.7417	1219.8457	5.0	
1405.4438	1223.4629	5.0	
1412.2874	1228.7557	5.0	
1421.5566	1236.2808	5.0	
1426.5817	1240.0011	5.0	
1431.0598	1243.4819	5.0	
1434.3589	1245.8032	5.0	
1441.3757	1251.6637	5.0	
1444.9421	1254.1646	5.0	
1470.1508	1274.9316	5.0	
1475.1259	1279.6156	5.0	
1483.6672	1287.9242	5.0	
1485.402	1289.3114	5.0	
1489.2604	1292.7815	5.0	
1492.1675	1295.9474	5.0	
1505.6804	1308.0812	5.0	
1512.7621	1313.7845	5.0	
1514.4993	1315.6045	5.0	
1518.0548	1318.7502	5.0	
1521.0889	1321.7092	5.0	
1524.5852	1324.7045	5.0	
1525.9868	1326.074	5.0	
1527.4376	1327.3353	5.0	
1529.1527	1328.9056	5.0	
1535.4938	1334.7234	5.0	
1539.0977	1337.9358	5.0	
1548.2094	1347.2037	5.0	
1554.0112	1352.8196	5.0	
1575.0378	1371.8152	5.0	
1577.8958	1374.3789	5.0	
1598.4486	1391.094	5.0	
1599.1343	1391.6699	5.0	
1601.5929	1393.7585	5.0	
1607.8668	1399.1564	5.0	
1610.6289	1401.5958	5.0	
1614.9518	1405.7012	5.0	
1620.3909	1410.0735	5.0	
1624.0304	1413.7714	5.0	
1631.0186	1420.3848	5.0	
1633.3071	1422.425	5.0	
1638.6599	1427.0214	5.0	
1642.8187	1431.1085	5.0	
1651.1687	1438.1018	5.0	
1652.2106	1438.9336	5.0	
1652.9751	1439.7404	5.0	
1661.9109	1447.5363	5.0	
1664.009	1449.5311	5.0	
1675.0134	1459.1161	5.0	
1677.2319	1461.1528	5.0	
1679.8356	1463.7163	5.0	
1688.2185	1470.8768	5.0	
1696.102	1477.8827	5.0	
1702.9175	1484.5295	5.0	
1710.247	1491.1395	5.0	
1732.9995	1511.5239	5.0	
1741.2334	1518.5491	5.0	
1744.1572	1520.8927	5.0	
1767.887	1540.848	5.0	
1772.3011	1544.9175	5.0	
1779.4103	1551.2079	5.0	
1792.0568	1562.2083	5.0	
1797.9344	1566.7462	5.0	
1799.2473	1567.7023	5.0	
1802.5488	1570.6288	5.0	
1808.8594	1575.7316	5.0	
1812.3367	1578.1976	5.0	
1824.3344	1587.8826	5.0	
1833.0627	1594.6971	5.0	
1836.348	1597.2842	5.0	
1839.4126	1599.4907	5.0	
1840.8528	1600.5831	5.0	
1844.0886	1602.9432	5.0	
1850.3136	1607.6483	5.0	
1860.8394	1614.5515	5.0	
1885.8536	1632.1841	5.0	
1896.5767	1639.3816	5.0	
1899.2363	1641.1504	5.0	
1910.1329	1647.937	5.0	
1911.303	1648.7588	5.0	
1914.6776	1651.0708	5.0	
1919.1423	1653.9592	5.0	
1937.6426	1663.7638	5.0	
1945.5554	1668.1849	5.0	
1948.533	1669.7628	5.0	
1965.488	1678.25	5.0	
1970.13	1679.75	5.0	
2012.5	1692.25	5.0	
2019.071	1694.24	5.0	
2068.34	1708.64	5.0	
2082.951	1713.915	5.0	
2086.525	1715.71	5.0	
2089.552	1717.28	5.0	
2092.7200000000003	1718.666	5.0	
2111.2490000000003	1725.74	5.0	
2145.37	1744.25	5.0	
2164.1528	1753.92	5.0	
2219.809	1787.32	5.0	
2240.15	1798.17	5.0	
2245.205	1799.765	5.0	
2263.204	1805.39	5.0	
2288.38	1812.8	5.0	
2308.71	1818.88	5.0	
2316.33	1821.266	5.0	
2317.14	1821.52	5.0	
2361.136	1835.425	5.0	
2370.02	1838.6	5.0	
2417.87	1858.715	5.0	
2424.095	1861.91	5.0	
