#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
312.765	1575.712	5	
320.949	1597.2	5	
338.556	1640.88	5	
344.807	1653.88	5	
349.927	1663.79	5	
352.845	1669.73	5	
357.038	1678.25	5	
358.28	1679.75	5	
370.087	1692.25	5	
371.943	1694.24	5	
384.13100000000003	1708.64	5	
387.279	1713.915	5	
388.03000000000003	1715.71	5	
388.708	1717.28	5	
389.357	1718.666	5	
393.008	1725.74	5	
400.284	1744.25	5	
404.13920631263164	1753.92	5	
417.1	1787.32	5	
421.883	1798.17	5	
423.062	1799.765	5	
427.105	1805.39	5	
433.2355505766063	1812.8	5	
438.08	1818.88	5	
440.2	1821.52	5	
451.532	1835.425	5	
454.0	1838.6	5	
469.16	1858.715	5	
471.28	1861.91	5	
473.69709690197794	1865.295	5	
475.01722197170966	1867.435	5	
478.86775318871827	1874.615	5	
484.2734298780487	1883.93	5	
486.1	1887.525	5	
499.209065483871	1915.734	5	
502.75	1922.77	5	
526.45	1963.65	5	
547.36	1997.75	5	
553.32	2006.76	5	
564.41	2022.74	5	
569.95	2030.73	5	
571.93	2033.89	5	
583.32	2050.57	5	
586.28	2057.05	5	
588.0	2059.5	5	
593.45	2066.17	5	
606.98	2086.38	5	
613.2	2092.92	5	
626.54	2109.92	5	
629.2	2112.92	5	
632.28	2117.06	5	
636.42	2125.72	5	
645.9	2137.48	5	
661.85	2160.05	5	
666.38	2169.35	5	
671.93	2179.13	5	
677.14	2185.45	5	
679.52	2188.78	5	
689.12	2202.73	5	
691.11	2206.65	5	
699.02	2224.844	5	
701.27	2229.705	5	
702.592	2232.367	5	
704.155	2234.17	5	
710.0	2239.51	5	
718.95	2247.62	5	
723.82	2252.11	5	
726.31	2256.34	5	
737.48	2269.62	5	
748.96	2283.78	5	
750.33	2285.24	5	
754.28	2291.12	5	
759.56	2299.22	5	
766.15	2307.46	5	
773.55	2315.01	5	
775.02	2317.11	5	
775.9	2318.21	5	
777.48	2320.35	5	
777.65	2320.62	5	
780.58	2324.65	5	
785.82	2332.678	5	
789.4	2339.05	5	
790.56	2341.167	5	
791.88	2343.475	5	
798.503	2355.18	5	
826.0	2382.3	5	
828.55	2386.05	5	
837.56	2396.69	5	
841.62	2401.8	5	
848.95	2411.08	5	
856.76	2421.67	5	
859.49	2425.618	5	
876.66	2449.2	5	
880.53	2454.18	5	
893.62	2462.903	5	
895.59	2464.255	5	
900.9	2469.69	5	
906.82	2473.9	5	
913.91	2480.283	5	
915.695	2482.037	5	
919.18	2485.052	5	
923.37	2489.829	5	
927.11	2493.25	5	
944.59	2507.702	5	
975.658	2522.96	5	
982.19	2526.51	5	
992.95	2532.45	5	
1013.72	2545.84	5	
1019.41	2549.7	5	
1031.04	2557.1	5	
1041.9	2564.501	5	
1044.361	2566.1	5	
1055.94	2576.369	5	
1057.974	2578.57	5	
1078.96	2591.095	5	
1079.72	2591.64	5	
1081.27	2593.03	5	
1082.29	2593.868	5	
1092.32	2602.63	5	
1097.96	2607.9	5	
1120.9	2621.88	5	
1134.95	2632.4	5	
1140.57	2636.28	5	
1147.1	2640.711	5	
1152.77	2644.83	5	
1156.9	2647.67	5	
1163.2	2651.9	5	
1173.03	2658.324	5	
1176.06	2660.27	5	
1178.96	2662.279	5	
1205.68	2678.7	5	
1254.6	2698.934	5	
1271.19	2708.23	5	
1285.88	2717.206	5	
1318.1	2728.1	5	
1358.88	2738.6	5	
1369.77	2741.53	5	
1411.22	2756.88	5	
