#Includes tiepoints from Rasmussen et al. 2014 and Seierstad et al. 2014 part of GICC05 timescale
#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
1347.301	1518.432	5.0	
1347.572	1518.714	5.0	
1347.982	1519.167	5.0	
1348.622	1519.851	5.0	
1348.91	1520.17	5.0	
1352.313	1523.784	5.0	
1354.108	1525.729	5.0	
1354.471	1526.143	5.0	
1355.647	1527.483	5.0	
1356.152	1527.988	5.0	
1356.942	1528.863	5.0	
1357.815	1529.859	5.0	
1360.44	1532.725	5.0	
1360.809	1533.135	5.0	
1361.85	1534.289	5.0	
1362.292	1534.843	5.0	
1363.283	1535.884	5.0	
1365.587	1538.445	5.0	
1366.183	1539.09	5.0	
1368.942	1542.035	5.0	
1369.947	1543.164	5.0	
1371.582	1544.94	5.0	
1373.277	1546.83	5.0	
1374.067	1547.675	5.0	
1374.411	1548.001	5.0	
1375.911	1549.696	5.0	
1377.255	1551.173	5.0	
1378.674	1552.782	5.0	
1380.094	1554.336	5.0	
1380.564	1554.799	5.0	
1381.106	1555.442	5.0	
1381.892	1556.242	5.0	
1382.516	1556.932	5.0	
1383.761	1558.357	5.0	
1384.466	1559.117	5.0	
1386.425	1561.38	5.0	
1386.683	1561.642	5.0	
1386.748	1561.744	5.0	
1388.287	1563.495	5.0	
1388.887	1564.149	5.0	
1389.313	1564.623	5.0	
1389.81	1565.151	5.0	
1390.366	1565.774	5.0	
1391.359	1566.833	5.0	
1392.143	1567.674	5.0	
1393.092	1568.786	5.0	
1393.478	1569.214	5.0	
1394.674	1570.585	5.0	
1397.144	1573.154	5.0	
1397.728	1573.857	5.0	
1398.341	1574.543	5.0	
1398.991	1575.216	5.0	
1399.381	1575.712	5.0	
1401.406	1577.804	5.0	
1401.735	1578.133	5.0	
1402.992	1579.444	5.0	
1403.983	1580.503	5.0	
1406.929	1583.701	5.0	
1409.82	1586.947	5.0	
1410.627	1587.851	5.0	
1412.266	1589.592	5.0	
1413.64	1591.116	5.0	
1414.993	1592.599	5.0	
1416.066	1593.818	5.0	
1416.837	1594.695	5.0	
1418.076	1596.068	5.0	
1419.082	1597.213	5.0	
1421.185	1599.487	5.0	
1423.593	1602.168	5.0	
1424.195	1602.868	5.0	
1425.268	1604.034	5.0	
1426.16	1605.008	5.0	
1427.027	1605.986	5.0	
1427.862	1606.924	5.0	
1428.496	1607.655	5.0	
1431.246	1610.722	5.0	
1434.5	1614.36	5.0	
1441.926	1622.55	5.0	
1444.479	1625.233	5.0	
1445.091	1625.897	5.0	
1446.405	1627.373	5.0	
1447.28	1628.329	5.0	
1448.17	1629.351	5.0	
1450.593	1632.094	5.0	
1450.749	1632.259	5.0	
1455.97	1637.925	5.0	
1456.768	1638.825	5.0	
1457.7	1639.775	5.0	
1458.709	1640.948	5.0	
1460.777	1643.131	5.0	
1461.967	1644.461	5.0	
1464.205	1646.889	5.0	
1465.562	1648.322	5.0	
1465.768	1648.529	5.0	
1466.13	1648.904	5.0	
1468.415	1651.42	5.0	
1469.15	1652.256	5.0	
1470.627	1653.867	5.0	
1471.126	1654.409	5.0	
1472.231	1655.627	5.0	
1472.639	1656.079	5.0	
1474.171	1657.798	5.0	
1475.59	1659.382	5.0	
1476.458	1660.263	5.0	
1477.841	1661.737	5.0	
1477.998	1661.903	5.0	
1479.487	1663.536	5.0	
1479.72	1663.8	5.0	
1479.873	1663.938	5.0	
1480.91	1665.057	5.0	
1481.502	1665.689	5.0	
1481.764	1665.978	5.0	
1482.282	1666.62	5.0	
1483.132	1667.661	5.0	
1483.722	1668.252	5.0	
1484.243	1668.84	5.0	
1485.087	1669.736	5.0	
1485.262	1669.912	5.0	
1485.496	1670.202	5.0	
1485.813	1670.55	5.0	
1486.093	1670.865	5.0	
1486.196	1671.012	5.0	
1486.374	1671.23	5.0	
1486.619	1671.493	5.0	
1487.396	1672.462	5.0	
1487.852	1672.948	5.0	
1488.447	1673.637	5.0	
1488.766	1673.965	5.0	
1489.03	1674.276	5.0	
1489.416	1674.706	5.0	
1490.08	1675.467	5.0	
1490.432	1675.835	5.0	
1490.74	1676.233	5.0	
1491.298	1676.815	5.0	
1491.813	1677.391	5.0	
1492.61	1678.279	5.0	
1493.636	1679.344	5.0	
1493.801	1679.536	5.0	
1494.431	1680.143	5.0	
1495.381	1681.158	5.0	
1495.785	1681.543	5.0	
1496.112	1681.856	5.0	
1500.734	1686.644	5.0	
1501.85	1687.767	5.0	
1503.499	1689.478	5.0	
1504.02	1690.03	5.0	
1506.108	1692.27	5.0	
1507.008	1693.224	5.0	
1508.05	1694.24	5.0	
1517.98	1704.435	5.0	
1522.206	1708.642	5.0	
1524.77	1711.24	5.0	
1525.454	1711.944	5.0	
1525.862	1712.406	5.0	
1526.497	1713.027	5.0	
1527.317	1713.915	5.0	
1529.023	1715.71	5.0	
1530.485	1717.289	5.0	
1531.776	1718.666	5.0	
1532.38	1719.32	5.0	
1533.16	1720.178	5.0	
1535.687	1722.867	5.0	
1538.39	1725.747	5.0	
1538.676	1725.996	5.0	
1539.366	1726.768	5.0	
1540.037	1727.499	5.0	
1540.676	1728.194	5.0	
1541.622	1729.228	5.0	
1541.958	1729.564	5.0	
1543.069	1730.724	5.0	
1544.236	1732.024	5.0	
1545.612	1733.542	5.0	
1549.426	1737.675	5.0	
1555.457	1744.221	5.0	
1556.83	1745.64	5.0	
1557.272	1746.141	5.0	
1558.465	1747.379	5.0	
1560.159	1749.271	5.0	
1561.495	1750.688	5.0	
1562.416	1751.716	5.0	
1563.139	1752.485	5.0	
1564.5	1753.926	5.0	
1566.528	1756.126	5.0	
1567.573	1757.26	5.0	
1568.246	1758.008	5.0	
1568.989	1758.817	5.0	
1569.543	1759.379	5.0	
1571.39	1761.363	5.0	
1573.661	1763.83	5.0	
1574.903	1765.098	5.0	
1575.999	1766.302	5.0	
1576.651	1766.964	5.0	
1577.573	1767.997	5.0	
1578.605	1769.173	5.0	
1579.77	1770.461	5.0	
1580.71	1771.5	5.0	
1581.848	1772.715	5.0	
1582.623	1773.586	5.0	
1583.582	1774.64	5.0	
1584.505	1775.621	5.0	
1585.306	1776.507	5.0	
1588.09	1779.545	5.0	
1588.937	1780.428	5.0	
1590.265	1781.957	5.0	
1590.85	1782.647	5.0	
1592.197	1784.15	5.0	
1594.59	1786.813	5.0	
1595.1	1787.39	5.0	
1595.798	1788.091	5.0	
1596.278	1788.625	5.0	
1597.519	1790.05	5.0	
1599.069	1791.766	5.0	
1601.074	1793.947	5.0	
1601.546	1794.47	5.0	
1602.033	1794.932	5.0	
1604.968	1798.199	5.0	
1605.737	1798.97	5.0	
1606.57	1799.765	5.0	
1607.468	1800.742	5.0	
1609.45	1802.804	5.0	
1610.802	1804.23	5.0	
1611.996	1805.413	5.0	
1619.573	1812.911	5.0	
1625.582	1818.886	5.0	
1627.957	1821.266	5.0	
1642.655	1835.425	5.0	
1645.83	1838.599	5.0	
1687.765	1883.032	5.0	
1688.679	1883.922	5.0	
1699.819	1894.734	5.0	
1705.789	1900.613	5.0	
1714.184	1908.756	5.0	
1716.152	1910.686	5.0	
1721.322	1915.734	5.0	
1728.587	1922.772	5.0	
1770.805	1963.659	5.0	
1798.346	1990.984	5.0	
1814.923	2006.77	5.0	
1820.387	2012.055	5.0	
1831.583	2022.792	5.0	
1840.224	2030.742	5.0	
1843.683	2033.89	5.0	
1862.579	2050.57	5.0	
1864.021	2051.97	5.0	
1866.205	2054.066	5.0	
1866.87	2054.615	5.0	
1870.388	2057.845	5.0	
1872.251	2059.489	5.0	
1880.006	2066.164	5.0	
1888.696	2074.094	5.0	
1889.859	2075.171	5.0	
1892.663	2077.396	5.0	
1902.839	2086.381	5.0	
1918.953	2099.524	5.0	
1929.871	2108.904	5.0	
1931.048	2109.918	5.0	
1939.513	2117.065	5.0	
1939.939	2117.397	5.0	
1944.445	2121.227	5.0	
1946.539	2123.048	5.0	
1947.337	2123.751	5.0	
1947.944	2124.273	5.0	
1948.724	2124.953	5.0	
1949.234	2125.402	5.0	
1949.567	2125.719	5.0	
1950.071	2126.148	5.0	
1950.451	2126.505	5.0	
1951.089	2127.054	5.0	
1971.809	2144.618	5.0	
1972.687	2145.497	5.0	
1980.269	2152.11	5.0	
1983.491	2154.736	5.0	
1987.977	2158.396	5.0	
1989.891	2160.073	5.0	
1990.181	2160.312	5.0	
1990.753	2160.814	5.0	
1992.606	2162.493	5.0	
1994.006	2163.74	5.0	
1995.096	2164.69	5.0	
1995.812	2165.332	5.0	
1998.139	2167.454	5.0	
1998.849	2168.047	5.0	
1999.886	2169.024	5.0	
2000.193	2169.306	5.0	
2000.714	2169.777	5.0	
2002.885	2171.774	5.0	
2003.453	2172.325	5.0	
2005.777	2174.438	5.0	
2006.221	2174.842	5.0	
2008.688	2177.143	5.0	
2009.218	2177.626	5.0	
2011.027	2179.152	5.0	
2021.323	2187.93	5.0	
2026.2	2192.112	5.0	
2029.203	2194.751	5.0	
2031.584	2196.923	5.0	
2032.331	2197.575	5.0	
2035.427	2200.359	5.0	
2038.021	2202.74	5.0	
2038.371	2203.041	5.0	
2040.443	2204.927	5.0	
2042.696	2207.089	5.0	
2044.165	2208.458	5.0	
2044.994	2209.189	5.0	
2046.471	2210.555	5.0	
2047.001	2211.06	5.0	
2047.323	2211.342	5.0	
2049.481	2213.29	5.0	
2052.446	2216.026	5.0	
2052.908	2216.48	5.0	
2054.219	2217.679	5.0	
2055.353	2218.736	5.0	
2058.248	2221.395	5.0	
2062.032	2224.844	5.0	
2063.098	2225.839	5.0	
2065.609	2228.114	5.0	
2065.773	2228.263	5.0	
2066.838	2229.236	5.0	
2067.363	2229.705	5.0	
2067.612	2229.946	5.0	
2067.834	2230.152	5.0	
2068.672	2230.925	5.0	
2069.25	2231.38	5.0	
2070.246	2232.367	5.0	
2072.47	2234.14	5.0	
2094.879	2252.107	5.0	
2097.934	2254.502	5.0	
2100.037	2256.31	5.0	
2111.575	2265.605	5.0	
2115.397	2268.95	5.0	
2116.143	2269.598	5.0	
2118.626	2271.775	5.0	
2121.864	2274.583	5.0	
2125.613	2277.728	5.0	
2126.362	2278.304	5.0	
2128.844	2280.32	5.0	
2135.131	2285.268	5.0	
2136.945	2286.773	5.0	
2142.364	2291.158	5.0	
2143.688	2292.248	5.0	
2145.732	2293.999	5.0	
2146.355	2294.542	5.0	
2146.731	2294.884	5.0	
2151.786	2299.21	5.0	
2154.835	2301.729	5.0	
2155.211	2302.051	5.0	
2155.833	2302.572	5.0	
2156.555	2303.184	5.0	
2157.268	2303.784	5.0	
2159.484	2305.5	5.0	
2161.737	2307.304	5.0	
2172.078	2315.648	5.0	
2172.48	2316.054	5.0	
2173.9	2317.169	5.0	
2174.5	2317.671	5.0	
2175.85	2318.816	5.0	
2177.644	2320.353	5.0	
2177.985	2320.65	5.0	
2179.632	2322.025	5.0	
2180.49	2322.765	5.0	
2180.88	2323.094	5.0	
2182.785	2324.694	5.0	
2187.18	2328.502	5.0	
