#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.472309182523715521e+01	8.750382532493201637e+00	nan	nan	nan	2.919724707299167082e-02	2.465485853942933625e-03	9.947507740463316095e-01	2.380697069577068694e-03	nan	nan	nan	nan	2.910000000000000780e-02	2.000000000000000111e-01	9.947500000000000231e-01	2.442233997612171508e-03	3.274000000000000199e+01	2.000000000000000111e-01	7.987103621720746671e-02	6.742621791169442318e-03	nan	nan
5.500000000000000444e-01	-4.783699110526793419e+01	8.421279297683671672e+00	nan	nan	nan	2.920027625900158824e-02	2.355306425067966222e-03	9.946510091767429840e-01	2.377075651192686774e-03	nan	nan	nan	nan	2.910000000000000780e-02	2.000000000000000111e-01	9.946500000000000341e-01	2.532439736517378380e-03	3.274000000000000199e+01	2.000000000000000111e-01	7.987131155676449601e-02	6.440344396452070581e-03	nan	nan
1.100000000000000089e+00	-4.095091412368343242e+01	8.117223070812533692e+00	nan	nan	nan	2.920408146930724216e-02	2.233085716886718062e-03	9.945512442599152569e-01	2.378555241983915190e-03	nan	nan	nan	nan	2.909999999999999393e-02	2.000000000000000111e-01	9.945500000000000451e-01	2.622645475422585686e-03	3.274000000000000199e+01	2.000000000000000111e-01	8.407739231670535718e-02	6.426465758530374058e-03	nan	nan
1.650000000000000133e+00	-3.440932208752414567e+01	7.848188600238229284e+00	nan	nan	nan	2.920769236526350038e-02	2.136384916779327219e-03	9.944514792958484284e-01	2.385123287949219434e-03	nan	nan	nan	nan	2.909999999999999393e-02	2.000000000000000111e-01	9.944500000000000561e-01	2.712851214327792557e-03	3.274000000000000199e+01	2.000000000000000111e-01	8.875047095071803005e-02	6.488694530670106528e-03	nan	nan
2.200000000000000178e+00	-2.821217187402941562e+01	7.608517188643856954e+00	nan	nan	nan	2.921159695362560843e-02	2.056069630148576327e-03	9.943517142845422763e-01	2.396734910592123163e-03	nan	nan	nan	nan	2.910000000000001821e-02	2.000000000000000111e-01	9.943499999999999561e-01	2.803056953232999429e-03	3.274000000000000199e+01	2.000000000000000111e-01	7.261650376956683972e-02	5.108517036472675493e-03	nan	nan
2.750000000000000000e+00	-2.063813606330918304e+01	7.332951385569138836e+00	nan	nan	nan	2.921579536195222787e-02	2.001186430836216380e-03	9.942519492259971337e-01	2.413314285872641702e-03	nan	nan	nan	nan	2.909999999999999393e-02	2.000000000000000111e-01	9.942499999999999671e-01	2.893262692138206735e-03	3.274000000000000199e+01	2.000000000000000111e-01	7.607776869296065114e-02	5.208105424096796943e-03	nan	nan
3.300000000000000266e+00	-1.340869164808554359e+01	7.085988665222646254e+00	nan	nan	nan	2.932030203205719665e-02	1.988414548243359111e-03	9.941855175267787503e-01	2.434838572320499953e-03	nan	nan	nan	nan	2.919999999999999332e-02	2.000000000000000111e-01	9.941833333333333078e-01	2.983468431043413607e-03	3.274000000000000199e+01	2.000000000000000111e-01	7.634480210409735901e-02	5.174317892828681105e-03	nan	nan
3.850000000000000533e+00	-6.204533868619868997e+00	6.855181726086621019e+00	nan	nan	nan	2.932469757761859905e-02	2.005758752651172570e-03	9.941524192105343216e-01	2.461180342627145284e-03	nan	nan	nan	nan	2.919999999999999332e-02	2.000000000000000111e-01	9.941499999999999782e-01	3.073674169948620912e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.680940462413678671e-02	4.566784965255477058e-03	nan	nan
4.400000000000000355e+00	2.027840047810705926e+00	6.612065333058761318e+00	nan	nan	nan	2.933195249741182148e-02	1.892285685536913105e-03	9.941193208785805702e-01	2.492107523098309376e-03	nan	nan	nan	nan	2.919999999999999332e-02	2.000000000000000111e-01	9.941166666666666485e-01	3.163879908853827784e-03	3.274000000000000199e+01	2.000000000000000111e-01	5.939891241914453668e-02	3.829168246824739014e-03	nan	nan
4.950000000000000178e+00	1.128726884204453285e+01	6.363465965362573584e+00	nan	nan	nan	2.944057705663629884e-02	1.765141960115372641e-03	9.941028892460240796e-01	2.527493208329075359e-03	nan	nan	nan	nan	2.929999999999999272e-02	2.000000000000000389e-01	9.940999999999999837e-01	3.254085647759034656e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.438738235614153982e-02	3.856982532411653512e-03	nan	nan
5.500000000000000000e+00	1.982931512306621613e+01	6.148500028422208885e+00	nan	nan	nan	2.944873755147860844e-02	1.682383556610310762e-03	9.941031243246883919e-01	2.567156050578650334e-03	nan	nan	nan	nan	2.929999999999999619e-02	2.000000000000000389e-01	9.940999999999999837e-01	3.344291386664241961e-03	3.274000000000000199e+01	2.000000000000000111e-01	5.963443735466789075e-02	3.403391591173726260e-03	nan	nan
6.050000000000000711e+00	2.905217400121657789e+01	5.924219349382584099e+00	nan	nan	nan	2.945705730821521900e-02	1.658040126274820843e-03	9.941033594034083265e-01	2.610861257758601266e-03	nan	nan	nan	nan	2.929999999999999272e-02	2.000000000000000389e-01	9.940999999999999837e-01	3.434497125569449267e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.194560418219282466e-02	3.482895129908636540e-03	nan	nan
6.600000000000000533e+00	3.793093153794757910e+01	5.712374437672248284e+00	nan	nan	nan	2.916325846633916266e-02	1.676065857281254902e-03	9.940869277552537575e-01	2.658364900228889997e-03	nan	nan	nan	nan	2.899999999999999453e-02	2.000000000000000666e-01	9.940833333333333188e-01	3.524702864474656139e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.643722674678821660e-02	3.814105853684936036e-03	nan	nan
7.150000000000000355e+00	4.620942278346887377e+01	5.519221376295321058e+00	nan	nan	nan	2.917125787807703374e-02	1.751308899754289768e-03	9.940538293684006987e-01	2.709462105326937865e-03	nan	nan	nan	nan	2.899999999999999800e-02	2.000000000000000666e-01	9.940499999999999892e-01	3.614908603379863011e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.134153666110800374e-02	3.678848651052178502e-03	nan	nan
7.700000000000001066e+00	5.517561486043903329e+01	5.321013349082355681e+00	nan	nan	nan	2.918226449692958024e-02	1.611348572153029676e-03	9.940207309658380952e-01	2.763994050269701682e-03	nan	nan	nan	nan	2.899999999999999106e-02	2.000000000000000389e-01	9.940166666666666595e-01	3.705114342285070316e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.381717076741875994e-02	3.519285609385265808e-03	nan	nan
8.250000000000000000e+00	6.379398501671672506e+01	5.149088454603816700e+00	nan	nan	nan	2.899241333845659768e-02	1.504762165737706745e-03	9.939876325475663910e-01	2.821760750358644123e-03	nan	nan	nan	nan	2.879999999999999921e-02	2.000000000000000389e-01	9.939833333333333298e-01	3.795320081190277188e-03	3.274000000000000199e+01	2.000000000000000111e-01	5.660697261615892095e-02	2.933601809370437082e-03	nan	nan
8.800000000000000711e+00	7.351010256515806418e+01	4.967092942405622047e+00	nan	nan	nan	2.900407732260613589e-02	1.469642256639995450e-03	9.939545341135853640e-01	2.882566899112674105e-03	nan	nan	nan	nan	2.879999999999999921e-02	2.000000000000000111e-01	9.939500000000000002e-01	3.885525820095484494e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.098389591156288397e-02	3.084997925571889444e-03	nan	nan
9.350000000000001421e+00	8.252887697730113814e+01	4.804308732987417230e+00	nan	nan	nan	2.901531412188125200e-02	1.499817621733875181e-03	9.939214356638947923e-01	2.946223490788359156e-03	nan	nan	nan	nan	2.879999999999999227e-02	1.999999999999999833e-01	9.939166666666666705e-01	3.975731559000690932e-03	3.274000000000000199e+01	2.000000000000000111e-01	6.100549083986971793e-02	3.148240184350406534e-03	nan	nan
