#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
5.424999999999999822e+00	-3.000000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	7.505438479721271428e-02	1.179670303526517139e-03	9.845589677659123407e-01	9.695539277864814037e-03	nan	nan	nan	nan	2.148288909429507954e-01	1.999999999999999833e-01	9.974962742175856878e-01	9.956862253125815798e-03	6.440000000000000568e+01	6.881064009834725326e-01	1.609087772942030259e-01	2.018486749406855039e-03	nan	nan
6.424999999999999822e+00	-2.378529862189173372e+01	7.795903116146539469e-02	nan	nan	nan	7.746894110494735586e-02	1.116790184344340240e-03	9.854499495149741106e-01	9.568706065543435002e-03	nan	nan	nan	nan	2.148288909429507954e-01	1.999999999999999833e-01	9.979098848749503592e-01	9.954438755627357041e-03	6.440000000000000568e+01	6.881571208055229372e-01	1.599648981835281036e-01	1.747784859464602625e-03	nan	nan
7.424999999999999822e+00	-1.753392715630496568e+01	1.462294120155293031e-01	nan	nan	nan	8.005647355158244938e-02	1.053559081980173220e-03	9.870894297745789192e-01	9.452260224246871595e-03	nan	nan	nan	nan	2.148288909429507398e-01	1.999999999999999833e-01	9.990804420987899892e-01	9.952015258128898284e-03	6.440000000000000568e+01	6.882098070338001916e-01	1.595638282414831022e-01	1.479983425134391703e-03	nan	nan
8.425000000000000711e+00	-1.126684262329535358e+01	2.042189405539182878e-01	nan	nan	nan	8.283220493009255114e-02	9.932798807999476415e-04	9.857188295264222022e-01	9.310564473945225419e-03	nan	nan	nan	nan	2.148288909429508786e-01	1.999999999999999833e-01	9.972044589643188628e-01	9.949591760630439527e-03	6.440000000000000568e+01	6.882644166329536795e-01	1.590841819454012485e-01	1.211005687939170931e-03	nan	nan
9.425000000000000711e+00	-4.980862535449745110e+00	2.516535253579851306e-01	nan	nan	nan	8.581205186555602993e-02	9.413444800413861904e-04	9.857394396065547459e-01	9.185947452473948796e-03	nan	nan	nan	nan	2.148288909429506566e-01	1.999999999999999833e-01	9.967368053494422009e-01	9.947168263131980770e-03	6.440000000000000568e+01	6.883211178003294517e-01	1.592256469257355700e-01	9.531411780614376791e-04	nan	nan
1.042500000000000071e+01	1.299532735711629527e+00	2.881402848361652169e-01	nan	nan	nan	9.094030569558647636e-02	9.262876358723657515e-04	9.883041523925204519e-01	9.088638781894451540e-03	nan	nan	nan	nan	2.195890234774051653e-01	1.999999999999999833e-01	9.988405963401693066e-01	9.944744765633522013e-03	6.440000000000000568e+01	6.883798353384920077e-01	1.636351175918150103e-01	7.425292911718243006e-04	nan	nan
1.142500000000000071e+01	7.410690381556840123e+00	3.130907127050447381e-01	nan	nan	nan	9.571879829948577723e-02	9.308312115699928814e-04	9.864694325360310323e-01	8.954861756041553739e-03	nan	nan	nan	nan	2.228351650628948022e-01	1.999999999999999833e-01	9.964979295171114693e-01	9.942321268135064991e-03	6.440000000000000568e+01	6.884391015718944740e-01	1.675839615323299336e-01	5.982549225289865739e-04	nan	nan
1.242500000000000071e+01	1.337784852041657757e+01	3.274514606929656013e-01	nan	nan	nan	1.010049759994778168e-01	9.742677671887313949e-04	9.896465421458889855e-01	8.870676146321324063e-03	nan	nan	nan	nan	2.266700178167777580e-01	1.999999999999999556e-01	9.992176180817153863e-01	9.939897770636606233e-03	6.440000000000000568e+01	6.884991541854019736e-01	1.747447218380318024e-01	6.183631793172886942e-04	nan	nan
1.342500000000000071e+01	1.910048202534661499e+01	3.321822265806401164e-01	nan	nan	nan	1.043632274092805012e-01	1.039888508597086635e-03	9.896174233073387061e-01	8.761811243318276543e-03	nan	nan	nan	nan	2.257143873218341312e-01	1.999999999999999556e-01	9.986987522281640661e-01	9.937474273138147476e-03	6.440000000000000568e+01	6.885589276288776039e-01	1.782349586468242597e-01	7.980527432297374610e-04	nan	nan
1.442500000000000071e+01	2.471105364155529571e+01	3.287771991979884789e-01	nan	nan	nan	1.070452975445463500e-01	1.141685992733460896e-03	9.872271000518230144e-01	8.636880804629069527e-03	nan	nan	nan	nan	2.229302753856132746e-01	1.999999999999999556e-01	9.957984499651165722e-01	9.935050775639688719e-03	6.440000000000000568e+01	6.886197651930521246e-01	1.800875256542256164e-01	1.077410451337874626e-03	nan	nan
1.542500000000000071e+01	3.026390910096137787e+01	3.186483974212344639e-01	nan	nan	nan	1.149780473462677782e-01	1.343187849873430989e-03	9.883486963710791384e-01	8.547554797488357212e-03	nan	nan	nan	nan	2.305457138618445256e-01	1.999999999999999556e-01	9.964414251834712299e-01	9.932627278141229962e-03	6.440000000000000568e+01	6.886823262612523644e-01	1.912770840360230595e-01	1.478621788673425671e-03	nan	nan
1.642500000000000071e+01	3.549192690058274025e+01	3.047802983635519158e-01	nan	nan	nan	1.219310465113293551e-01	1.575164743130887980e-03	9.878571202653008143e-01	8.449125528343245928e-03	nan	nan	nan	nan	2.355291461341511017e-01	1.999999999999999556e-01	9.954579469162120331e-01	9.930203780642771205e-03	6.440000000000000568e+01	6.887435326809748792e-01	2.003086282225892689e-01	1.914641748117933400e-03	nan	nan
1.742500000000000071e+01	4.048422308309550033e+01	2.904382688006191260e-01	nan	nan	nan	1.277392302605102892e-01	1.741963916984275423e-03	9.903354379228417326e-01	8.380998183077744551e-03	nan	nan	nan	nan	2.373624286767723746e-01	1.999999999999999556e-01	9.974664719307058114e-01	9.927780283144314183e-03	6.440000000000000568e+01	6.888042321407881197e-01	2.079038628787829857e-01	2.197968288547968302e-03	nan	nan
1.842500000000000071e+01	4.529413852263229501e+01	2.804472317868881848e-01	nan	nan	nan	1.333070456959289940e-01	1.710442175965857506e-03	9.885622016826157710e-01	8.282072110822064764e-03	nan	nan	nan	nan	2.373335464778327797e-01	1.999999999999999556e-01	9.951927201980899085e-01	9.925356785645855426e-03	6.440000000000000568e+01	6.888650564794239761e-01	2.140848892097929612e-01	2.054458925121564316e-03	nan	nan
1.942500000000000071e+01	4.996518281581474241e+01	2.772691637984365243e-01	nan	nan	nan	1.377654647800731214e-01	1.662791288770186851e-03	9.901695311993291559e-01	8.216896768996171871e-03	nan	nan	nan	nan	2.348214931703322961e-01	1.999999999999999556e-01	9.963225296442688173e-01	9.922933288147396669e-03	6.440000000000000568e+01	6.889267370515722577e-01	2.191074281924813572e-01	1.893867797742787877e-03	nan	nan
2.042500000000000071e+01	5.452915405243352609e+01	2.784198763882378969e-01	nan	nan	nan	1.442907864904476034e-01	1.640488097862694786e-03	9.875774412815877534e-01	8.122507754732536181e-03	nan	nan	nan	nan	2.352953541572340157e-01	1.999999999999999278e-01	9.932275483108705671e-01	9.920509790648937912e-03	6.440000000000000568e+01	6.889897164699076981e-01	2.263589729919543714e-01	1.750039272353982791e-03	nan	nan
2.142500000000000071e+01	5.894691574653496957e+01	2.816927487352844373e-01	nan	nan	nan	1.529507689736853415e-01	1.644994067606665158e-03	9.894201117426072445e-01	8.070366892530770470e-03	nan	nan	nan	nan	2.385769884513981864e-01	1.999999999999999278e-01	9.945933077094682995e-01	9.918086293150479155e-03	6.440000000000000568e+01	6.890534684327420667e-01	2.377940287017611398e-01	1.639697555478584210e-03	nan	nan
2.242500000000000071e+01	6.315223581053956536e+01	2.853073346571818880e-01	nan	nan	nan	1.609713102605473400e-01	1.649304807466370551e-03	9.899671711167833399e-01	8.013361384624589218e-03	nan	nan	nan	nan	2.401773115522938262e-01	1.999999999999999278e-01	9.946557434813247944e-01	9.915662795652020398e-03	6.440000000000000568e+01	6.891169431816893676e-01	2.477511448528865456e-01	1.529294693100700800e-03	nan	nan
2.342500000000000071e+01	6.718854410123907428e+01	2.881509943611133551e-01	nan	nan	nan	1.619702748591906050e-01	1.595339662955518479e-03	9.919786370476900705e-01	7.974064638237354785e-03	nan	nan	nan	nan	2.308923000333953368e-01	1.999999999999999278e-01	9.961885007747933729e-01	9.913239298153563375e-03	6.440000000000000568e+01	6.891806656295829114e-01	2.472046850821573438e-01	1.382805951868759349e-03	nan	nan
2.442500000000000071e+01	7.123377487697317179e+01	2.895669681835645881e-01	nan	nan	nan	1.671966514018893568e-01	1.603458472529420420e-03	9.907514048158773123e-01	7.914822346919977297e-03	nan	nan	nan	nan	2.273163072949033747e-01	1.999999999999999001e-01	9.944686680620518082e-01	9.910815800655104618e-03	6.440000000000000568e+01	6.892475421378455591e-01	2.522763015059384939e-01	1.318377649940438625e-03	nan	nan
2.542500000000000071e+01	7.519768267976954235e+01	2.889768210958539862e-01	nan	nan	nan	1.732315103103186371e-01	1.645437850780997763e-03	9.901010736501199005e-01	7.866526445602484152e-03	nan	nan	nan	nan	2.243463222807378088e-01	1.999999999999999001e-01	9.933290631782010216e-01	9.908392303156645861e-03	6.440000000000000568e+01	6.893162866037643166e-01	2.586103784991613530e-01	1.331448146079191111e-03	nan	nan
