#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
3.599999999999999867e-01	-5.600000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	2.304727710094304216e-01	3.189410614608839244e-03	1.000928715196330199e+00	1.348594022862824489e-02	nan	nan	nan	nan	2.144000000000000072e-01	2.000000000000000389e-01	9.999014777056945968e-01	1.367918089210460805e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.786593588424188916e-01	2.190726309315935757e-03	nan	nan
1.359999999999999876e+00	-5.391083161432718640e+01	9.561697818158149814e-03	nan	nan	nan	2.304727710094303939e-01	3.189410614608838811e-03	1.000777587184611628e+00	1.330275565022108475e-02	nan	nan	nan	nan	2.143999999999999795e-01	2.000000000000000389e-01	9.997869168983627430e-01	1.373134212548231085e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.634458286066269195e-01	2.103435392928972199e-03	nan	nan
2.359999999999999876e+00	-5.175308212501459337e+01	1.934345342970343259e-02	nan	nan	nan	2.304727710094304216e-01	3.189410614608839244e-03	1.000626468853378137e+00	1.312483057252269297e-02	nan	nan	nan	nan	2.144000000000000072e-01	2.000000000000000389e-01	9.996723560910307782e-01	1.378350335886001365e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.491941110903728829e-01	2.031541638976858393e-03	nan	nan
3.359999999999999432e+00	-4.952687306458724237e+01	2.937580675167891786e-02	nan	nan	nan	2.298288408573752606e-01	3.121111115813393361e-03	1.000475360202125241e+00	1.295237463585365359e-02	nan	nan	nan	nan	2.143999999999999240e-01	2.000000000000000389e-01	9.995577952836989244e-01	1.383566459223771646e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.346277872654162877e-01	1.781653674592621577e-03	nan	nan
4.359999999999999432e+00	-4.722605376747836914e+01	3.877685996322590561e-02	nan	nan	nan	2.298442282640036638e-01	3.058009549950219900e-03	1.000324261230347789e+00	1.278560195189395142e-02	nan	nan	nan	nan	2.150974999999998305e-01	2.000000000000000389e-01	9.994432344763670706e-01	1.388782582561541926e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.222191412852353554e-01	1.531802422477998192e-03	nan	nan
5.359999999999999432e+00	-4.485761543245642002e+01	4.732557510396238898e-02	nan	nan	nan	2.316575579975931054e-01	3.021914289797862901e-03	1.000173171937541516e+00	1.262473046299422176e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.993286736690351058e-01	1.393998705899312206e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.138913007031001512e-01	1.308537355561826534e-03	nan	nan
6.359999999999999432e+00	-4.244152212897010656e+01	5.488180300329465605e-02	nan	nan	nan	2.308898392792667620e-01	2.956040812647101144e-03	1.000022092323201717e+00	1.246998118566805362e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.992141128617032519e-01	1.399214829237082486e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.018348368194938902e-01	1.088326372164568180e-03	nan	nan
7.359999999999999432e+00	-3.995293749575373710e+01	6.145920204752786803e-02	nan	nan	nan	2.301052281082917872e-01	2.894957310175175994e-03	9.998676981483539672e-01	1.232153636751251620e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.990962303807834344e-01	1.404430952574852766e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.909294176306565283e-01	8.923655026022183061e-04	nan	nan
8.359999999999999432e+00	-3.739493097360251284e+01	6.697829419967994691e-02	nan	nan	nan	2.292913928368290333e-01	2.839353150564664658e-03	9.996801893547803131e-01	1.217925875194544351e-02	nan	nan	nan	nan	2.174865999999999744e-01	2.000000000000000389e-01	9.989452477139347808e-01	1.409647075912623046e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.814751857773268640e-01	7.306418778835869782e-04	nan	nan
9.359999999999999432e+00	-3.477352848850426170e+01	7.137318582420348889e-02	nan	nan	nan	2.282834658726058119e-01	2.788072962657300608e-03	9.994926928930657484e-01	1.204378515932446811e-02	nan	nan	nan	nan	2.172999999999998266e-01	2.000000000000000389e-01	9.987942650470861272e-01	1.414863199250393326e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.738977401182829174e-01	6.203978232427640686e-04	nan	nan
1.035999999999999943e+01	-3.209900042186323788e+01	7.460313081070107932e-02	nan	nan	nan	2.274639129121632797e-01	2.746591380654323216e-03	9.993052087625601265e-01	1.191533810219017227e-02	nan	nan	nan	nan	2.173000000000002707e-01	2.000000000000000389e-01	9.986432823802374736e-01	1.420079322588163606e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.683954273124815937e-01	5.826745359722179272e-04	nan	nan
1.135999999999999943e+01	-2.938452590382917506e+01	7.667066835215095855e-02	nan	nan	nan	2.266383149952119758e-01	2.713070294373765533e-03	9.991177369626140781e-01	1.179413749372570756e-02	nan	nan	nan	nan	2.172999999999998266e-01	2.000000000000000389e-01	9.984922997133888201e-01	1.425295445925933886e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.631238375864377921e-01	6.226211574533597722e-04	nan	nan
1.235999999999999943e+01	-2.663064445488144472e+01	7.763981333764791160e-02	nan	nan	nan	2.244915506976538355e-01	2.672226389600555144e-03	9.989302774925783446e-01	1.168039916145124403e-02	nan	nan	nan	nan	2.160365000000004088e-01	2.000000000000000111e-01	9.983413170465402775e-01	1.430511569263704166e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.559078378796350917e-01	7.202093876665121479e-04	nan	nan
1.335999999999999943e+01	-2.382092830488704038e+01	7.762657887752431873e-02	nan	nan	nan	2.213348732973200172e-01	2.628265003470993746e-03	9.987428303518034456e-01	1.157433326231475587e-02	nan	nan	nan	nan	2.137999999999999345e-01	2.000000000000000111e-01	9.981903343796916239e-01	1.435727692601474620e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.472886964527233111e-01	8.511840368253262637e-04	nan	nan
