#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
314.57	611.253	5	
322.43	623.5	5	
339.14	650.25	5	
344.97	659.52	5	
349.66	667.038	5	
352.45	671.266	5	
369.5049909	700.181	5	
371.46	703.395	5	
384.93	725.831	5	
388.27	731.464	5	
388.99	732.625	5	
389.63	733.65	5	
390.31	734.77	5	
394.31	741.235	5	
402.25	754.712	5	
406.4	761.6928700000001	5	
419.62	784.903	5	
424.34	793.21	5	
425.66	795.517	5	
429.97	803.859	5	
441.82	825.99	5	
457.02	854.42	5	
459.74	859.64	5	
466.98	873.07	5	
470.87	880.07	5	
482.85	901.373	5	
485.93	906.65	5	
488.79	911.72	5	
491.69	916.58	5	
496.84	925.15	5	
503.93	936.7	5	
505.79	939.69	5	
511.4	949.176425	5	
515.14	955.6	5	
528.65	976.47578	5	
542.01	997.8	5	
550.82	1012.55	5	
557.82	1024.19	5	
559.708053097345	1027.5835	5	
562.96	1033.57	5	
565.86	1039.0	5	
572.46	1051.37	5	
572.75	1051.81	5	
579.71	1064.77	5	
582.17	1069.723	5	
583.68	1072.53	5	
585.87	1076.9370000000001	5	
590.34	1085.66	5	
592.29	1089.4315000000001	5	
593.97	1092.49	5	
594.9	1094.12	5	
602.98	1109.62	5	
611.23	1123.98	5	
618.05	1135.22	5	
619.782267428027	1138.0	5	
626.30515108256	1146.8	5	
635.89	1160.14	5	
636.3952726	1160.95	5	
643.53	1170.19	5	
646.95	1174.5	5	
659.48	1190.58	5	
666.29	1199.6	5	
671.04	1206.06	5	
681.01	1220.12	5	
682.43	1222.02	5	
694.54	1239.18	5	
701.01	1247.97	5	
706.27	1254.95325	5	
711.59	1262.29	5	
714.22	1265.776	5	
716.768	1269.4	5	
718.91	1272.27	5	
721.68	1276.3	5	
729.35	1286.83	5	
733.04	1291.82	5	
735.39	1295.108	5	
744.19	1307.595	5	
746.51	1311.084	5	
750.0	1316.039	5	
767.61	1342.33	5	
772.69	1349.534	5	
776.242308626974	1354.57	5	
788.98	1372.717	5	
792.08	1376.915	5	
801.0	1390.02	5	
802.14	1391.454	5	
803.87	1393.78	5	
808.42	1400.141	5	
814.12	1408.04	5	
817.37	1412.4	5	
818.28	1413.7	5	
831.48	1431.27	5	
834.28	1435.08	5	
837.4	1439.07	5	
843.07	1446.28	5	
847.01	1451.14	5	
847.98	1452.63	5	
849.55	1454.356	5	
856.33	1462.987	5	
861.08	1468.91	5	
875.39	1487.91	5	
887.43	1503.6	5	
890.19	1507.33	5	
900.03	1520.42	5	
904.64	1526.13	5	
912.5	1536.6	5	
921.001	1547.79	5	
923.92	1551.53	5	
936.57	1568.3	5	
942.07	1575.51	5	
946.02	1580.8	5	
947.92	1583.32	5	
955.68	1593.61	5	
958.14	1596.69	5	
960.65	1599.96	5	
962.83	1602.8	5	
965.07	1605.6319452555	5	
968.54	1609.93	5	
974.92	1618.42	5	
978.99	1623.18	5	
983.03	1628.15	5	
983.54	1628.87	5	
984.95	1630.61	5	
988.59	1635.13	5	
995.79	1644.02	5	
997.31	1645.949	5	
999.56	1648.907	5	
1002.18	1652.25	5	
1010.42	1662.732	5	
1012.31	1665.239	5	
1016.07	1670.14	5	
1017.73	1672.313	5	
1029.47	1687.65	5	
1036.03	1696.16	5	
1038.89	1699.82	5	
1052.1	1716.11	5	
1080.68	1748.47	5	
1087.63	1756.75	5	
1095.7	1766.861	5	
1102.12	1775.207	5	
1110.34	1786.1	5	
1123.38	1804.27	5	
1127.14	1809.67	5	
1127.59	1810.342	5	
1131.7	1816.54	5	
1141.34	1830.85	5	
1143.85	1834.761	5	
1149.61	1843.261	5	
1150.46	1844.477	5	
1156.6	1853.64	5	
1156.77	1853.925	5	
1157.73	1855.21	5	
1166.23	1866.616	5	
1167.29	1867.559	5	
1168.95	1869.48	5	
1170.11	1870.929	5	
1175.74	1877.854	5	
1179.97	1883.31	5	
1185.55	1890.6	5	
1190.42	1897.69	5	
1192.92	1900.849	5	
1201.23	1913.0	5	
1205.59	1919.08	5	
1207.35	1921.26	5	
1210.16	1924.74	5	
1214.33	1930.06	5	
1224.9	1942.77	5	
1230.85	1949.86	5	
1237.72	1957.88	5	
1243.32	1965.07	5	
1247.78	1969.93	5	
1254.26	1976.43	5	
1264.5	1985.05	5	
1267.65	1987.54	5	
1270.78	1990.07	5	
1284.32	2001.35	5	
1291.67	2007.73	5	
1295.32	2010.87	5	
1297.97	2013.5	5	
1307.58	2022.05	5	
1326.86	2039.68	5	
1333.24	2046.15	5	
1351.34	2062.88	5	
1357.76	2069.48	5	
1359.17	2071.18	5	
1364.32	2076.32	5	
1367.97	2080.22	5	
1376.11	2088.85	5	
1382.72	2096.08	5	
1388.33	2101.64	5	
1399.37	2111.56	5	
1409.88	2122.25	5	
1411.95	2123.95	5	
1413.65	2125.55	5	
1427.55	2137.1	5	
1437.74	2145.57	5	
1446.2	2152.69	5	
1463.72	2166.7	5	
1465.54	2168.2	5	
1466.97	2169.3	5	
1469.28	2171.17	5	
1473.27	2174.2	5	
1486.02	2184.0	5	
1491.82	2188.11	5	
1495.95	2190.74	5	
1502.15	2194.67	5	
1503.91	2195.94	5	
1512.07	2200.41	5	
1512.94	2200.92	5	
1519.8	2205.15	5	
1533.01	2213.01	5	
1534.38	2213.8	5	
1545.01	2219.9	5	
1559.28	2228.6	5	
1563.42	2231.3	5	
