#Includes GICC05 Timescale Tiepoint Data
depth1	depth2	age_unc	comment
30.62	33.047	5	
43.153	46.33	5	
50.887	54.507	5	
53.407	57.16	5	
54.51	58.228	5	
58.696	62.79	5	
60.217	64.348	5	
67.345	72.111	5	
71.679	76.574	5	
72.66	77.685	5	
74.297	79.486	5	
80.384	85.924	5	
88.99	94.943	5	
93.852	100.201	5	
95.911	102.63	5	
102.057	108.832	5	
110.961	118.582	5	
118.883	127.082	5	
131.185	140.11	5	
132.165	141.107	5	
133.506	142.558	5	
139.361	148.711	5	
143.147	152.702	5	
168.836	179.998	5	
181.382	193.245	5	
187.276	199.612	5	
193.26	206.042	5	
203.746	217.252	5	
205.949	219.577	5	
219.532	233.885	5	
236.622	251.785	5	
238.209	253.421	5	
242.398	258.023	5	
256.127	272.342	5	
258.548	274.945	5	
263.77	280.411	5	
269.401	286.346	5	
293.208	311.176	5	
295.56	313.877	5	
309.634	328.632	5	
320.826	340.496	5	
339.821	359.633	5	
342.632	362.613	5	
353.835	374.423	5	
356.668	377.538	5	
357.317	378.27	5	
360.789	381.832	5	
363.582	384.922	5	
386.867	409.021	5	
394.24	416.912	5	
413.241	436.747	5	
429.082	453.396	5	
455.319	480.92	5	
463.335	489.284	5	
474.25	500.776	5	
482.431	509.122	5	
488.019	514.603	5	
493.026	519.779	5	
495.148	521.91	5	
496.54	523.36	5	
513.319	541.556	5	
520.143	549.42	5	
521.216	550.62	5	
526.677	556.906	5	
534.105	563.094	5	
537.032	565.992	5	
538.043	567.182	5	
538.881	568.035	5	
542.039	571.353	5	
553.42	583.5	5	
557.915	588.116	5	
559.171	589.41	5	
559.781	590.061	5	
566.991	597.648	5	
567.608	598.253	5	
569.365	600.108	5	
575.685	606.707	5	
576.878	607.92	5	
578.665	609.763	5	
580.538	611.597	5	
641.734	675.338	5	
659.752	693.989	5	
660.359	694.702	5	
680.827	716.994	5	
701.851	738.559	5	
702.625	739.247	5	
721.738	759.111	5	
725.468	762.935	5	
729.514	766.877	5	
736.469	774.522	5	
740.562	778.824	5	
743.423	781.864	5	
768.638	807.156	5	
772.741	811.506	5	
779.447	818.757	5	
779.778	819.071	5	
788.494	828.459	5	
835.012	875.957	5	
836.316	877.297	5	
882.653	925.426	5	
883.104	925.913	5	
891.88	935.751	5	
894.091	937.995	5	
899.532	943.417	5	
931.785	977.716	5	
966.075	1013.66	5	
1007.837	1058.252	5	
1054.615	1105.374	5	
1057.3	1108.135	5	
1057.813	1108.665	5	
1066.996	1118.097	5	
1068.542	1119.683	5	
1071.26	1122.511	5	
1074.603	1126.021	5	
1078.332	1129.793	5	
1122.099	1174.004	5	
1126.512	1178.63	5	
1141.405	1193.516	5	
1145.09	1197.419	5	
1148.964	1201.505	5	
1153.779	1206.516	5	
1165.756	1218.898	5	
1186.592	1239.98	5	
1200.504	1253.976	5	
1215.664	1269.645	5	
1225.086	1279.604	5	
