depth	age	age_unc	comment
5.325	20	2.0	
5.825	21	2.0	
6.15	22	2.0	
6.75	23	2.0	
7.05	24	2.0	
7.725	25	2.0	
8.075	26	2.0	
8.55	27	2.0	
8.95	28	2.0	
9.425	29	2.0	
9.85	30	2.0	
10.2	31	2.0	
10.6	32	2.0	
10.975	33	2.0	
11.225	34	2.0	
11.7	35	2.0	
12.1	36	2.0	
12.475	37	2.0	
12.85	38	2.0	
13.25	39	2.0	
13.625	40	2.0	
14.025	41	2.0	
14.625	42	2.0	
14.85	43	2.0	
15.375	44	2.0	
15.775	45	2.0	
16.15	46	2.0	
16.5	47	2.0	
16.975	48	2.0	
17.225	49	2.0	
17.6	50	2.0	
17.825	51	2.0	
18.225	52	2.0	
18.625	53	2.0	
19.075	54	2.0	
19.575	55	2.0	
20.0	56	2.0	
20.275	57	2.0	
20.625	58	2.0	
21.05	59	2.0	
21.275	60	2.0	
21.725	61	2.0	
22.15	62	2.0	
22.425	63	2.0	
22.825	64	2.0	
23.25	65	2.0	
23.5	66	2.0	
24.0	67	2.0	
24.5	68	2.0	
24.75	69	2.0	
25.025	70	2.0	
25.425	71	2.0	
25.725	72	2.0	
26.075	73	2.0	
26.425	74	2.0	
26.725	75	2.0	
26.975	76	2.0	
27.275	77	2.0	
27.575	78	2.0	
27.9	79	2.0	
28.225	80	2.0	
28.525	81	2.0	
28.825	82	2.0	
29.175	83	2.0	
29.6	84	2.0	
29.9	85	2.0	
30.275	86	2.0	
30.55	87	2.0	
30.825	88	2.0	
31.275	89	2.0	
31.575	90	2.0	
31.9	91	2.0	
32.15	92	2.0	
32.45	93	2.0	
32.775	94	2.0	
33.05	95	2.0	
33.325	96	2.0	
33.55	97	2.0	
33.975	98	2.0	
34.375	99	2.0	
34.675	100	2.0	
34.975	101	2.0	
35.275	102	2.0	
35.575	103	2.0	
35.975	104	2.0	
36.275	105	2.0	
36.625	106	2.0	
36.9	107	2.0	
37.175	108	2.0	
37.575	109	2.0	
37.825	110	2.0	
38.125	111	2.0	
38.6	112	2.0	
38.85	113	2.0	
39.125	114	2.0	
39.425	115	2.0	
39.75	116	2.0	
40.05	117	2.0	
40.35	118	2.0	
40.625	119	2.0	
40.925	120	2.0	
41.175	121	2.0	
41.575	122	2.0	
41.825	123	2.0	
42.175	124	2.0	
42.475	125	2.0	
42.725	126	2.0	
42.975	127	2.0	
43.4	128	2.0	
43.675	129	2.0	
43.95	130	2.0	
44.275	131	2.0	
44.525	132	2.0	
44.825	133	2.0	
45.075	134	2.0	
45.325	135	2.0	
45.6	136	2.0	
45.9	137	2.0	
46.25	138	2.0	
46.525	139	2.0	
46.8	140	2.0	
47.1	141	2.0	
47.375	142	2.0	
47.675	143	2.0	
48.025	144	2.0	
48.275	145	2.0	
48.55	146	2.0	
48.85	147	2.0	
49.15	148	2.0	
49.4	149	2.0	
49.75	150	2.0	
50.0	151	2.0	
50.275	152	2.0	
50.575	153	2.0	
50.85	154	2.0	
51.1	155	2.0	
51.35	156	2.0	
51.6	157	2.0	
51.85	158	2.0	
52.1	159	2.0	
52.375	160	2.0	
52.675	161	2.0	
52.95	162	2.0	
53.225	163	2.0	
53.425	164	2.0	
53.675	165	2.0	
53.95	166	2.0	
54.225	167	2.0	
54.5	168	2.0	
54.875	169	2.0	
55.125	170	2.0	
55.375	171	2.0	
55.6	172	2.0	
56.0	173	2.0	
56.275	174	2.0	
56.55	175	2.0	
56.825	176	2.0	
57.05	177	2.0	
57.325	178	2.0	
57.55	179	2.0	
57.8	180	2.0	
58.1	181	2.0	
58.35	182	2.0	
58.575	183	2.0	
58.825	184	2.0	
59.075	185	2.0	
59.3	186	2.0	
59.55	187	2.0	
59.85	188	2.0	
60.1	189	2.0	
60.375	190	2.0	
60.6	191	2.0	
60.925	192	2.0	
61.2	193	2.0	
61.45	194	2.0	
61.725	195	2.0	
62.0	196	2.0	
62.275	197	2.0	
62.525	198	2.0	
62.85	199	2.0	
63.1	200	2.0	
63.325	201	2.0	
63.55	202	2.0	
63.775	203	2.0	
64.15	204	2.0	
64.375	205	2.0	
64.675	206	2.0	
64.95	207	2.0	
65.175	208	2.0	
65.4	209	2.0	
65.625	210	2.0	
65.85	211	2.0	
66.075	212	2.0	
66.325	213	2.0	
66.65	214	2.0	
67.05	215	2.0	
67.275	216	2.0	
67.525	217	2.0	
67.75	218	2.0	
68.0	219	2.0	
68.25	220	2.0	
68.5	221	2.0	
68.75	222	2.0	
69.0	223	2.0	
69.25	224	2.0	
69.5	225	2.0	
69.825	226	2.0	
70.075	227	2.0	
70.3	228	2.0	
70.575	229	2.0	
70.875	230	2.0	
71.125	231	2.0	
71.35	232	2.0	
71.55	233	2.0	
71.8	234	2.0	
72.0	235	2.0	
72.275	236	2.0	
72.55	237	2.0	
72.775	238	2.0	
73.0	239	2.0	
73.25	240	2.0	
73.6	241	2.0	
73.825	242	2.0	
74.025	243	2.0	
74.25	244	2.0	
74.475	245	2.0	
74.775	246	2.0	
75.0	247	2.0	
75.2	248	2.0	
75.425	249	2.0	
75.775	250	2.0	
76.025	251	2.0	
76.25	252	2.0	
76.475	253	2.0	
76.775	254	2.0	
77.025	255	2.0	
77.275	256	2.0	
77.525	257	2.0	
77.775	258	2.0	
78.075	259	2.0	
78.375	260	2.0	
78.725	261	2.0	
78.95	262	2.0	
79.2	263	2.0	
79.425	264	2.0	
79.75	265	2.0	
79.975	266	2.0	
80.225	267	2.0	
80.5	268	2.0	
80.75	269	2.0	
80.975	270	2.0	
81.325	271	2.0	
81.575	272	2.0	
81.825	273	2.0	
82.05	274	2.0	
82.325	275	2.0	
82.55	276	2.0	
82.8	277	2.0	
83.025	278	2.0	
83.275	279	2.0	
83.5	280	2.0	
83.75	281	2.0	
84.0	282	2.0	
84.2	283	2.0	
84.45	284	2.0	
84.675	285	2.0	
84.85	286	2.0	
85.15	287	2.0	
85.45	288	2.0	
85.7	289	2.0	
85.95	290	2.0	
86.2	291	2.0	
86.4	292	2.0	
86.6	293	2.0	
86.8	294	2.0	
87.025	295	2.0	
87.25	296	2.0	
87.475	297	2.0	
87.725	298	2.0	
87.925	299	2.0	
88.15	300	2.0	
88.35	301	2.0	
88.575	302	2.0	
88.875	303	2.0	
89.05	304	2.0	
89.3	305	2.0	
89.5	306	2.0	
89.725	307	2.0	
89.925	308	2.0	
90.3	309	2.0	
90.55	310	2.0	
90.75	311	2.0	
91.0	312	2.0	
91.225	313	2.0	
91.45	314	2.0	
91.775	315	2.0	
92.0	316	2.0	
92.25	317	2.0	
92.55	318	2.0	
92.775	319	2.0	
92.975	320	2.0	
93.225	321	2.0	
93.55	322	2.0	
93.775	323	2.0	
93.975	324	2.0	
94.325	325	2.0	
94.525	326	2.0	
94.75	327	2.0	
94.95	328	2.0	
95.2	329	2.0	
95.475	330	2.0	
95.7	331	2.0	
95.875	332	2.0	
96.1	333	2.0	
96.35	334	2.0	
96.55	335	2.0	
96.775	336	2.0	
97.0	337	2.0	
97.225	338	2.0	
97.45	339	2.0	
97.775	340	2.0	
98.0	341	2.0	
98.225	342	2.0	
98.525	343	2.0	
98.8	344	2.0	
99.025	345	2.0	
99.225	346	2.0	
99.425	347	2.0	
99.65	348	2.0	
