,depth,deporate,rel_unc,comment
0,0.767,0.2144,0.2,
1,5.135,0.2175,0.2,
2,9.293,0.2173,0.2,
3,12.999,0.2138,0.2,
4,16.302,0.2136,0.2,
5,19.527,0.2164,0.2,
6,22.842,0.2187,0.2,
7,26.058,0.2219,0.2,
8,29.069,0.2176,0.2,
9,32.102,0.2175,0.2,
10,34.737,0.2225,0.2,
11,37.914,0.2228,0.2,
12,40.707,0.2227,0.2,
13,43.804,0.2152,0.2,
14,46.306,0.2194,0.2,
15,48.727,0.2118,0.2,
16,51.447,0.2185,0.2,
17,54.019,0.2232,0.2,
18,56.693,0.2221,0.2,
19,59.346,0.2191,0.2,
20,61.766,0.2172,0.2,
21,64.201,0.2191,0.2,
22,66.764,0.2235,0.2,
23,69.254,0.228,0.2,
24,71.786,0.2187,0.2,
25,74.14,0.2121,0.2,
26,76.445,0.2154,0.2,
27,78.748,0.2167,0.2,
28,81.113,0.2198,0.2,
29,83.447,0.2183,0.2,
30,85.688,0.2184,0.2,
31,88.021,0.2152,0.2,
32,90.337,0.2137,0.2,
33,92.516,0.2187,0.2,
34,94.768,0.2295,0.2,
35,97.235,0.2338,0.2,
36,99.931,0.2386,0.2,
37,102.253,0.2337,0.2,
38,104.594,0.2317,0.2,
39,106.973,0.227,0.2,
40,109.331,0.2363,0.2,
41,111.665,0.2336,0.2,
42,114.235,0.2331,0.2,
43,116.372,0.2332,0.2,
44,118.848,0.2303,0.2,
45,121.083,0.2325,0.2,
46,123.5,0.236,0.2,
47,125.947,0.2338,0.2,
48,128.159,0.2292,0.2,
49,130.44,0.2216,0.2,
50,132.571,0.2281,0.2,
51,134.78,0.234,0.2,
52,137.398,0.2313,0.2,
53,139.577,0.2312,0.2,
54,141.78,0.2211,0.2,
55,144.021,0.2248,0.2,
56,146.081,0.2246,0.2,
57,148.409,0.2302,0.2,
58,150.706,0.2346,0.2,
59,153.065,0.2429,0.2,
60,155.464,0.2459,0.2,
61,157.915,0.2388,0.2,
62,160.188,0.233,0.2,
63,162.36,0.2293,0.2,
64,164.778,0.235,0.2,
65,166.909,0.2329,0.2,
66,169.209,0.2294,0.2,
67,171.428,0.23,0.2,
68,173.67,0.2322,0.2,
69,175.938,0.2377,0.2,
70,178.304,0.2395,0.2,
71,180.661,0.237,0.2,
72,182.853,0.2323,0.2,
73,185.038,0.2307,0.2,
74,187.32,0.2311,0.2,
75,189.672,0.2409,0.2,
