#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.510000000000000009e+00	-3.847440846800066083e+01	9.953915085491320536e-01	nan	nan	nan	1.646167442555925842e-01	7.562984121946321990e-03	9.964666934185759661e-01	9.836965335589201859e-03	nan	nan	nan	nan	2.480396294020645875e-01	1.999999999999999833e-01	9.995727743217105443e-01	9.962793155681159973e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.111440712412908760e-01	1.871317734080815004e-02	nan	nan
2.509999999999999787e+00	-3.604217103604430150e+01	9.844721664805344830e-01	nan	nan	nan	1.647079060195431044e-01	7.324236056989664317e-03	9.969562807465607301e-01	9.702986831182584815e-03	nan	nan	nan	nan	2.480396294020645875e-01	1.999999999999999833e-01	9.999797202797202633e-01	9.960403741606163250e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.969892216911847238e-01	1.746861229000567367e-02	nan	nan
3.509999999999999787e+00	-3.352321096015112545e+01	9.853742177682218717e-01	nan	nan	nan	1.648028433709016194e-01	7.082487184495705329e-03	9.970607984309450833e-01	9.568165273170595522e-03	nan	nan	nan	nan	2.480396294020646430e-01	1.999999999999999833e-01	1.000000385732401353e+00	9.958014327531166526e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.800787565882527974e-01	1.614243072251790589e-02	nan	nan
4.509999999999999787e+00	-3.089217730550432961e+01	9.981730462876026166e-01	nan	nan	nan	1.649024607709058676e-01	6.837210725307777195e-03	9.947781354867011316e-01	9.413841484563737275e-03	nan	nan	nan	nan	2.480396294020645875e-01	1.999999999999999833e-01	9.976270234852765428e-01	9.955624913456169803e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.615332213782115334e-01	1.479283086438674261e-02	nan	nan
5.509999999999998899e+00	-2.812617976816082077e+01	1.022754714188307101e+00	nan	nan	nan	1.650070254405804904e-01	6.590064597604371882e-03	9.944282970970340640e-01	9.281400120720180794e-03	nan	nan	nan	nan	2.480396294020645875e-01	1.999999999999999556e-01	9.971922503725781928e-01	9.953235499381173079e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.458314299775654410e-01	1.360836057715439015e-02	nan	nan
6.509999999999998899e+00	-2.523459758875951309e+01	1.058309656763337214e+00	nan	nan	nan	1.651161045314268327e-01	6.344859814649818526e-03	9.946825267222547673e-01	9.157988374493724812e-03	nan	nan	nan	nan	2.480396294020645875e-01	1.999999999999999556e-01	9.973632393807065899e-01	9.950846085306176356e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.330970268612390983e-01	1.258872628137511912e-02	nan	nan
7.509999999999998899e+00	-2.223246932174085089e+01	1.103374502569810511e+00	nan	nan	nan	1.654789886141078692e-01	6.115418456129089429e-03	9.963494975363672568e-01	9.050866927074152982e-03	nan	nan	nan	nan	2.484148090476128168e-01	1.999999999999999556e-01	9.989506219120267705e-01	9.948456671231177897e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.233447855606080279e-01	1.172935098078828689e-02	nan	nan
8.509999999999998010e+00	-1.913979535680827482e+01	1.156045760698392488e+00	nan	nan	nan	1.638713975638861620e-01	5.824644962845780018e-03	9.948519258518294661e-01	8.918643609076305420e-03	nan	nan	nan	nan	2.458271855301297215e-01	1.999999999999999556e-01	9.973651931877153265e-01	9.946067257156181174e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.105599268597817320e-01	1.081200809346775579e-02	nan	nan
9.509999999999998010e+00	-1.591980490243293644e+01	1.215384190925406838e+00	nan	nan	nan	1.598284772737544601e-01	5.466627914310184799e-03	9.944576737455224080e-01	8.800349300048800755e-03	nan	nan	nan	nan	2.395842928340536915e-01	1.999999999999999556e-01	9.968860380257346110e-01	9.943677843081184450e-03	6.961061743923654888e+01	2.000000000000000111e-01	2.951012245119856714e-01	9.863414225129129784e-03	nan	nan
1.050999999999999801e+01	-1.253113716086826201e+01	1.280790429774397499e+00	nan	nan	nan	1.622012160880030307e-01	5.350807500340309941e-03	9.966625661969975569e-01	8.708819145679863594e-03	nan	nan	nan	nan	2.429552438600923736e-01	1.999999999999999556e-01	9.990122285728469942e-01	9.941288429006187727e-03	6.961061743923654888e+01	2.000000000000000111e-01	2.934509777419547771e-01	9.437396567906866304e-03	nan	nan
1.150999999999999801e+01	-9.123412955296362981e+00	1.348043382984625893e+00	nan	nan	nan	1.626750336386351969e-01	5.197240634170970618e-03	9.938525334698361524e-01	8.577650533362261506e-03	nan	nan	nan	nan	2.434761748260969583e-01	1.999999999999999278e-01	9.961117292135047707e-01	9.938899014931191003e-03	6.961061743923654888e+01	2.000000000000000111e-01	2.876150652562429744e-01	8.937054989864639740e-03	nan	nan
1.250999999999999801e+01	-5.646543622637878457e+00	1.417006250080329322e+00	nan	nan	nan	1.610094272767761403e-01	5.007909798438163300e-03	9.970790820005294153e-01	8.502820787096857652e-03	nan	nan	nan	nan	2.407921275259905514e-01	1.999999999999999278e-01	9.992615052290507727e-01	9.936509600856194280e-03	6.961061743923654888e+01	2.000000000000000111e-01	2.805200176112415122e-01	8.467416031651697067e-03	nan	nan
