depth_top	depth_bot	duration	dur_unc
770.24	786.08	100	1.0
786.08	802.56	100	0.1
802.56	818.1	100	1.0
818.1	832.43	100	0.1
832.43	847.36	100	1.0
847.36	862.41	100	0.1
862.41	876.8	100	1.0
876.8	891.82	100	0.1
891.82	906.1	100	1.0
906.1	920.71	100	0.1
920.71	933.8	100	1.0
933.8	947.81	100	0.1
947.81	962.2	100	1.0
962.2	976.86	100	0.1
976.86	989.87	100	1.0
989.87	1003.62	100	0.1
1003.62	1016.79	100	1.0
1016.79	1030.43	100	0.1
1030.43	1043.02	100	1.0
1043.02	1056.01	100	0.1
1056.01	1068.93	100	1.0
1068.93	1081.95	100	0.1
1081.95	1094.32	100	1.0
1094.32	1106.53	100	0.1
1106.53	1119.26	100	1.0
1119.26	1131.69	100	0.1
1131.69	1143.37	100	1.0
1143.37	1155.7	100	0.1
1155.7	1167.65	100	1.0
1167.65	1179.33	100	0.1
1179.33	1191.22	100	1.0
1191.22	1202.3	100	2.0
1202.3	1213.99	100	2.0
1213.99	1225.07	100	2.0
1225.07	1235.88	100	2.0
1235.88	1247.78	100	2.0
1247.78	1259.46	100	2.0
1259.46	1270.43	100	2.0
1270.43	1281.48	100	2.0
1281.48	1293.37	100	2.0
1293.37	1304.518	100	2.0
1304.518	1315.14	100	2.0
1315.14	1325.71	100	3.0
1325.71	1335.084	100	2.0
1335.084	1345.592	100	2.0
1345.592	1355.398	100	2.0
1355.398	1365.53	100	2.0
1365.53	1375.5	100	2.0
1375.5	1385.444	100	2.0
1385.444	1395.168	100	2.0
1395.168	1404.678	100	2.0
1404.678	1414.248	100	2.0
1414.248	1423.68	100	2.0
1423.68	1433.052	100	2.0
1433.052	1441.832	100	2.0
1441.832	1451.552	100	2.0
1451.552	1460.75	100	2.0
1460.75	1469.758	100	2.0
1469.758	1478.602	100	2.0
1478.602	1487.468	100	2.0
1487.468	1496.132	100	2.0
1496.132	1504.564	100	2.0
1504.564	1512.668	100	2.0
1512.668	1520.614	100	2.0
1520.614	1528.59	100	1.0
1528.59	1536.25	100	1.0
1536.25	1543.91	100	0.1
1543.91	1551.57	100	1.0
1551.57	1559.15	100	1.0
1559.15	1566.51	100	1.0
1566.51	1573.81	100	0.1
1573.81	1580.84	100	1.0
1580.84	1587.98	100	1.0
1587.98	1594.72	100	0.1
1594.72	1601.68	100	1.0
1601.68	1607.95	100	1.0
1607.95	1614.14	100	0.1
1614.14	1621.06	100	1.0
