#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
5.424999999999999822e+00	-3.000000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	4.800874271941693583e-02	6.732907974955724007e-04	9.735360952785545585e-01	9.586329457682139787e-03	nan	nan	nan	nan	2.148288909429507954e-01	1.999999999999999833e-01	9.974962742175856878e-01	9.956862253125815798e-03	6.440000000000000568e+01	6.881064009834725326e-01	1.017734094532446315e-01	1.044021515052005614e-03	nan	nan
6.424999999999999822e+00	-2.017425076577191234e+01	1.007954205047303375e-01	nan	nan	nan	5.280188631339031990e-02	6.790609573296021951e-04	9.748312824052374204e-01	9.464978023969367049e-03	nan	nan	nan	nan	2.148288909429507954e-01	1.999999999999999833e-01	9.979098848749503592e-01	9.954438755627357041e-03	6.440000000000000568e+01	6.881571208055229372e-01	1.078552767458869910e-01	9.361766699327692424e-04	nan	nan
7.424999999999999822e+00	-1.090256717113374307e+01	1.811975246150056840e-01	nan	nan	nan	5.828183277732822826e-02	6.867660156383853390e-04	9.768681425189786882e-01	9.353800503307693054e-03	nan	nan	nan	nan	2.148288909429507398e-01	1.999999999999999833e-01	9.990804420987899892e-01	9.952015258128898284e-03	6.440000000000000568e+01	6.882098070338001916e-01	1.149610276781164037e-01	8.147835270412682887e-04	nan	nan
8.425000000000000711e+00	-2.203967130779741268e+00	2.425200716970929149e-01	nan	nan	nan	6.456864094717015834e-02	7.004800878800045583e-04	9.759263806655706919e-01	9.217528777778745061e-03	nan	nan	nan	nan	2.148288909429508786e-01	1.999999999999999833e-01	9.972044589643188628e-01	9.949591760630439527e-03	6.440000000000000568e+01	6.882644166329536795e-01	1.227759851008223546e-01	6.784572434678175614e-04	nan	nan
9.425000000000000711e+00	5.940948173127701182e+00	2.865127634056308104e-01	nan	nan	nan	7.180454629654557663e-02	7.273514505685173877e-04	9.763616167812915192e-01	9.098054180264238816e-03	nan	nan	nan	nan	2.148288909429506566e-01	1.999999999999999833e-01	9.967368053494422009e-01	9.947168263131980770e-03	6.440000000000000568e+01	6.883211178003294517e-01	1.319669692129722960e-01	5.431643951979205640e-04	nan	nan
1.042500000000000071e+01	1.351860192969893859e+01	3.148671483743289978e-01	nan	nan	nan	8.181357689116007526e-02	7.949207955203351113e-04	9.793180170771994542e-01	9.005534362621456235e-03	nan	nan	nan	nan	2.195890234774051653e-01	1.999999999999999833e-01	9.988405963401693066e-01	9.944744765633522013e-03	6.440000000000000568e+01	6.883798353384920077e-01	1.458742405595042368e-01	4.664031737573281870e-04	nan	nan
1.142500000000000071e+01	2.037382185176657146e+01	3.293841903496104728e-01	nan	nan	nan	9.265899318563676490e-02	8.961045663807314836e-04	9.779154703484636002e-01	8.876783308082234272e-03	nan	nan	nan	nan	2.228351650628948022e-01	1.999999999999999833e-01	9.964979295171114693e-01	9.942321268135064991e-03	6.440000000000000568e+01	6.884391015718944740e-01	1.608201548697822114e-01	5.287270370408732930e-04	nan	nan
1.242500000000000071e+01	2.659194793683165869e+01	3.329849488152821779e-01	nan	nan	nan	1.052421584265841314e-01	1.053239012723316626e-03	9.814820366372756233e-01	8.797100336737228785e-03	nan	nan	nan	nan	2.266700178167777580e-01	1.999999999999999556e-01	9.992176180817153863e-01	9.939897770636606233e-03	6.440000000000000568e+01	6.884991541854019736e-01	1.805731970724768487e-01	7.843197574092209638e-04	nan	nan
1.342500000000000071e+01	3.212986838245919330e+01	3.284581022044243959e-01	nan	nan	nan	1.171009599388958128e-01	1.252621381192326388e-03	9.818703293190003123e-01	8.692862231069237514e-03	nan	nan	nan	nan	2.257143873218341312e-01	1.999999999999999556e-01	9.986987522281640661e-01	9.937474273138147476e-03	6.440000000000000568e+01	6.885589276288776039e-01	1.984232905161905924e-01	1.166033238889548247e-03	nan	nan
1.442500000000000071e+01	3.716959934044571412e+01	3.183327633479544061e-01	nan	nan	nan	1.295656750545017000e-01	1.516044035989537334e-03	9.799150589531149258e-01	8.572586973084425632e-03	nan	nan	nan	nan	2.229302753856132746e-01	1.999999999999999556e-01	9.957984499651165722e-01	9.935050775639688719e-03	6.440000000000000568e+01	6.886197651930521246e-01	2.163601942811052559e-01	1.653519905536900017e-03	nan	nan
1.542500000000000071e+01	4.179152160910828684e+01	3.048621154810208789e-01	nan	nan	nan	1.501568269375281317e-01	1.943261299350351311e-03	9.814453387307709997e-01	8.487561178258261688e-03	nan	nan	nan	nan	2.305457138618445256e-01	1.999999999999999556e-01	9.964414251834712299e-01	9.932627278141229962e-03	6.440000000000000568e+01	6.886823262612523644e-01	2.480555902972992055e-01	2.357472332139704408e-03	nan	nan
1.642500000000000071e+01	4.582287602769439161e+01	2.912219758646779066e-01	nan	nan	nan	1.716152052409498363e-01	2.459802155166910653e-03	9.813741566370015601e-01	8.393417166738857335e-03	nan	nan	nan	nan	2.355291461341511017e-01	1.999999999999999556e-01	9.954579469162120331e-01	9.930203780642771205e-03	6.440000000000000568e+01	6.887435326809748792e-01	2.800796804031441822e-01	3.188035015957673638e-03	nan	nan
1.742500000000000071e+01	4.939328855658834527e+01	2.795257626893490333e-01	nan	nan	nan	1.882467816652775017e-01	2.842834735559403997e-03	9.842543941750183656e-01	8.329305265821190102e-03	nan	nan	nan	nan	2.373624286767723746e-01	1.999999999999999556e-01	9.974664719307058114e-01	9.927780283144314183e-03	6.440000000000000568e+01	6.888042321407881197e-01	3.045025025641129313e-01	3.773565310934288292e-03	nan	nan
