#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
9.900000000000000355e+00	-2.300000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	5.269865349491823642e-02	4.476548201911338893e-04	9.972355927245453167e-01	2.585396842161311829e-03	nan	nan	nan	nan	3.388731000000000382e-01	1.999999999999999833e-01	9.982199999999999962e-01	2.660920349000794188e-03	7.036914285714290429e+01	2.000000000000000111e-01	9.735650830700168235e-02	7.884780160323628375e-04	nan	nan
1.090000000000000036e+01	-1.272847303801586705e+01	8.318779444173757254e-02	nan	nan	nan	6.276542855082364869e-02	4.682246213250433305e-04	9.976707447332996415e-01	2.579854774917988633e-03	nan	nan	nan	nan	3.711017999999999262e-01	1.999999999999999833e-01	9.979299999999999837e-01	2.782403555939759639e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.124252493332623531e-01	7.869276806588632392e-04	nan	nan
1.190000000000000036e+01	-3.833673996603927492e+00	1.454051417026216986e-01	nan	nan	nan	6.023121328001945773e-02	3.867710272354411166e-04	9.981860397032941146e-01	2.584804390285026093e-03	nan	nan	nan	nan	3.261135000000001671e-01	1.999999999999999833e-01	9.977200000000000513e-01	2.903886762878725089e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.058664415736423614e-01	6.216666084888882848e-04	nan	nan
1.290000000000000036e+01	5.612189915846407473e+00	2.006787566655765520e-01	nan	nan	nan	5.869354324561708303e-02	3.120101532207846819e-04	9.987115685231684470e-01	2.600037498988677555e-03	nan	nan	nan	nan	2.870506999999999920e-01	1.999999999999999833e-01	9.975200000000000733e-01	3.025369969817690539e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.018434616564764528e-01	4.710574861463329198e-04	nan	nan
1.390000000000000036e+01	1.543118058775674228e+01	2.453959062019435700e-01	nan	nan	nan	7.932950071481546794e-02	3.492954878329969349e-04	9.992373338569906505e-01	2.625381747865012522e-03	nan	nan	nan	nan	3.512193999999997374e-01	1.999999999999999833e-01	9.973199999999999843e-01	3.146853176756655990e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.359764553541483179e-01	4.786982318577849820e-04	nan	nan
1.490000000000000036e+01	2.278539494343704774e+01	2.697749070034475283e-01	nan	nan	nan	8.034504778758157217e-02	3.055168428640376590e-04	9.997633357708693991e-01	2.660579882801853910e-03	nan	nan	nan	nan	3.235966000000001230e-01	1.999999999999999833e-01	9.971200000000000063e-01	3.268336383695621440e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.360799197363964097e-01	3.683852115349978422e-04	nan	nan
1.590000000000000036e+01	3.013401773757981061e+01	2.857628461321789493e-01	nan	nan	nan	8.709539747471758964e-02	3.136768482419679139e-04	1.000199270132263507e+00	2.705034297483765310e-03	nan	nan	nan	nan	3.171654000000000417e-01	1.999999999999999833e-01	9.968299999999999939e-01	3.389819590634586457e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.457851050223538114e-01	3.474434837490066865e-04	nan	nan
1.689999999999999858e+01	3.699342905979042939e+01	2.927542953079574350e-01	nan	nan	nan	9.332340220006900278e-02	3.678855888942155969e-04	1.000715638650202521e+00	2.758769821871100147e-03	nan	nan	nan	nan	3.059994999999999798e-01	1.999999999999999833e-01	9.966200000000000614e-01	3.511302797573551907e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.544327312002974073e-01	4.385242281746338415e-04	nan	nan
1.789999999999999858e+01	4.346874029872080314e+01	2.921097308574907014e-01	nan	nan	nan	1.099447579214828663e-01	5.193650986906533451e-04	1.001151842128840785e+00	2.820857852897769302e-03	nan	nan	nan	nan	3.245792000000000677e-01	1.999999999999999833e-01	9.963299999999999379e-01	3.632786004512517358e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.798991488329475252e-01	6.881780651686956454e-04	nan	nan
1.889999999999999858e+01	4.902741028958656955e+01	2.860031120244763136e-01	nan	nan	nan	1.073177706567939454e-01	6.257909094632760480e-04	1.001668596506332332e+00	2.891219883164879330e-03	nan	nan	nan	nan	2.836571999999999427e-01	1.999999999999999833e-01	9.961200000000000054e-01	3.754269211451482808e-03	7.036914285714290429e+01	2.000000000000000111e-01	1.736895497995862847e-01	8.870248224284817996e-04	nan	nan
