#PROGRAM: dep90.pas
#PROT: N: 142
#PROT: TE: -26.3
#PROT: T: 77.550
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 50 78.00
#PROT: DB: 1060 78.00
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    77.555   0.142202  78.300800   0.142599  78.308600   0.147274  78.828500   0.173152  79.973900 
    77.560   0.163869  95.834500   0.164804  95.623300   0.173459  94.995700   0.209247  94.052200 
    77.565   0.170509 100.605000   0.171783 100.325000   0.182700  99.108000   0.224030  96.663300 
    77.570   0.173611 101.986000   0.174938 101.697000   0.186273 100.576000   0.229852  97.803900 
    77.575   0.175400 102.504000   0.176685 102.293000   0.188139 101.225000   0.232546  98.436900 
    77.580   0.176308 102.080000   0.177587 101.888000   0.188852 100.899000   0.233111  98.200200 
    77.585   0.176474 100.425000   0.177719 100.237000   0.188553  99.365900   0.231570  96.872000 
    77.590   0.175987  97.596900   0.177121  97.397000   0.187433  96.556800   0.228378  94.336900 
    77.595   0.174311  93.451000   0.175351  93.264800   0.184771  92.554900   0.222610  90.791500 
    77.600   0.172353  88.517100   0.173133  88.351900   0.180806  88.020300   0.214078  87.240700 
    77.605   0.173937  86.322800   0.174521  86.227800   0.180853  86.272900   0.210769  86.340500 
    77.610   0.176884  86.842700   0.177445  86.815100   0.183539  86.967200   0.212900  87.225000 
    77.615   0.177700  88.525500   0.178368  88.444900   0.185195  88.360500   0.215981  88.096100 
    77.620   0.178119  90.395100   0.178948  90.286400   0.186752  89.866300   0.219649  88.923100 
    77.625   0.178786  91.360400   0.179681  91.242900   0.187979  90.676700   0.222012  89.388800 
    77.630   0.179475  91.558200   0.180367  91.427200   0.188775  90.849700   0.223004  89.466900 
    77.635   0.180027  90.676600   0.180836  90.564000   0.188782  90.138000   0.222083  89.004400 
    77.640   0.180505  90.138000   0.181303  90.040500   0.189013  89.662500   0.221677  88.579600 
    77.645   0.180660  90.076100   0.181484  89.936300   0.189450  89.424700   0.221912  88.171600 
    77.650   0.180351  88.601100   0.181111  88.486400   0.188505  88.063200   0.219357  87.090200 
    77.655   0.179998  86.975300   0.180675  86.891700   0.187412  86.593200   0.216461  85.896300 
    77.660   0.179974  86.060500   0.180597  85.978100   0.187028  85.680600   0.214692  85.059500 
    77.665   0.180059  84.568200   0.180594  84.499000   0.186395  84.313300   0.212142  84.043300 
    77.670   0.180162  82.875900   0.180643  82.802200   0.185704  82.781100   0.209394  82.893900 
    77.675   0.180196  81.691900   0.180609  81.573500   0.185428  81.581800   0.207931  81.867200 
    77.680   0.180182  81.241800   0.180603  81.123300   0.185488  81.090100   0.207762  81.313400 
