#PROGRAM: dep90.pas
#PROT: N: 181
#PROT: TE: -25.9
#PROT: T: 99.000
#PROT: DB: 1100 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 470 78.00
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    99.005   0.141685  63.476500   0.141758  63.450200   0.143755  64.041000   0.157713  65.866400 
    99.010   0.166324  81.255200   0.166824  81.160100   0.171991  81.035000   0.195257  81.345300 
    99.015   0.174212  87.472100   0.175021  87.318000   0.182472  86.716800   0.212513  85.662000 
    99.020   0.177881  90.816300   0.178843  90.697200   0.187424  89.969800   0.221586  88.385800 
    99.025   0.179903  92.835500   0.180892  92.683700   0.189965  92.047600   0.226705  90.242200 
    99.030   0.180989  94.419500   0.182008  94.264300   0.191531  93.639000   0.230252  91.688700 
    99.035   0.181920  95.975200   0.182978  95.836200   0.192875  95.188100   0.233232  93.136300 
    99.040   0.182723  97.463700   0.183848  97.302900   0.194086  96.672000   0.235905  94.434200 
    99.045   0.183240  98.504700   0.184379  98.364400   0.194974  97.740800   0.237822  95.289500 
    99.050   0.183742  99.274500   0.184915  99.140100   0.195705  98.384500   0.239318  95.878700 
    99.055   0.184180  99.678000   0.185388  99.511400   0.196400  98.665400   0.240324  95.993600 
    99.060   0.184559  99.758400   0.185796  99.591100   0.197052  98.557500   0.240898  95.665200 
    99.065   0.184813  99.058600   0.186034  98.866400   0.197166  97.761500   0.239661  94.846900 
    99.070   0.184580  96.111600   0.185663  95.907500   0.195520  95.061600   0.234309  92.890300 
    99.075   0.184032  90.413900   0.184771  90.321200   0.192155  90.082300   0.224342  89.400800 
    99.080   0.183320  83.720800   0.183721  83.689500   0.188413  84.065500   0.213179  84.955600 
    99.085   0.182946  79.533200   0.183163  79.533500   0.186442  80.136700   0.206408  81.754600 
    99.090   0.183206  79.087000   0.183419  79.001100   0.186622  79.486100   0.205673  81.072100 
    99.095   0.183334  79.478800   0.183579  79.495900   0.187002  80.023300   0.206880  81.465400 
    99.100   0.183479  82.546100   0.183872  82.531300   0.188580  82.834500   0.212764  83.519800 
    99.105   0.184276  90.007600   0.185141  89.844600   0.193230  89.257200   0.225905  87.826100 
    99.110   0.185129  95.498100   0.186342  95.231200   0.196869  93.962200   0.235561  90.970300 
    99.115   0.185826  96.391600   0.187046  96.172600   0.197845  94.922900   0.237771  91.849400 
    99.120   0.186244  95.341200   0.187363  95.146600   0.197568  94.145700   0.236355  91.462300 
    99.125   0.186110  92.304600   0.187039  92.171400   0.195764  91.565600   0.231093  89.802400 
    99.130   0.185897  88.495300   0.186580  88.416100   0.193568  88.273400   0.224511  87.606900 
