#PROGRAM: dep90.pas
#PROT: N: 154
#PROT: TE: -26.3
#PROT: T: 84.150
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 1620 78.00
#PROT: CC: 480 550
#PROT: S: 1610 1650
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    84.155   0.140104  56.767000   0.140186  56.740400   0.141865  56.934800   0.151560  58.071700 
    84.160   0.163838  70.273300   0.164126  70.154000   0.167449  70.027900   0.182173  70.519300 
    84.165   0.171341  73.522300   0.171701  73.436500   0.175739  73.285400   0.193607  73.502800 
    84.170   0.175165  76.979500   0.175626  76.875700   0.180528  76.703600   0.201871  76.565800 
    84.175   0.177517  81.237800   0.178146  81.119700   0.184300  80.733300   0.209893  79.869500 
    84.180   0.178685  84.055200   0.179453  83.909000   0.186398  83.433200   0.214757  82.347200 
    84.185   0.179415  85.617300   0.180148  85.500200   0.187252  85.092000   0.216838  84.111400 
    84.190   0.180043  86.864700   0.180758  86.776900   0.187854  86.488200   0.218207  85.705800 
    84.195   0.180311  88.449500   0.181060  88.366700   0.188340  88.113000   0.220022  87.360900 
    84.200   0.180555  90.844000   0.181359  90.741500   0.189204  90.405400   0.222796  89.436900 
    84.205   0.180871  93.147100   0.181742  93.038300   0.190082  92.629400   0.225615  91.441900 
    84.210   0.181193  95.158400   0.182125  95.037200   0.191005  94.556500   0.228367  93.184700 
    84.215   0.181478  96.880400   0.182461  96.777500   0.191796  96.222300   0.230814  94.642900 
    84.220   0.181532  98.138200   0.182561  98.021700   0.192190  97.507800   0.232419  95.789600 
    84.225   0.181680  99.472600   0.182759  99.332900   0.192770  98.791900   0.234172  96.876200 
    84.230   0.181881 101.010000   0.183050 100.837000   0.193681 100.078000   0.236494  97.862700 
    84.235   0.182033 101.507000   0.183208 101.353000   0.193892 100.571000   0.236888  98.329500 
    84.240   0.182021 100.420000   0.183095 100.307000   0.193062  99.809100   0.234754  98.064500 
    84.245   0.181862  99.787900   0.182891  99.666900   0.192586  99.231700   0.233514  97.658100 
    84.250   0.181611  99.891800   0.182675  99.746400   0.192601  99.157700   0.233486  97.373100 
    84.255   0.181258  99.052900   0.182270  98.899300   0.191898  98.450400   0.231718  96.795500 
    84.260   0.180691  97.653100   0.181633  97.543200   0.190641  97.120600   0.228898  95.867600 
    84.265   0.180333  96.910500   0.181252  96.793400   0.190018  96.387400   0.227107  95.247500 
    84.270   0.180425  96.184700   0.181313  96.048600   0.189715  95.686200   0.225636  94.765700 
    84.275   0.180505  95.059500   0.181311  94.955400   0.189254  94.711800   0.223780  94.052200 
    84.280   0.180455  94.285500   0.181203  94.189100   0.188776  94.028500   0.222275  93.555500 
    84.285   0.180237  94.003700   0.180978  93.938400   0.188442  93.754100   0.221372  93.340400 
    84.290   0.179998  93.899000   0.180758  93.795500   0.188225  93.604100   0.221031  93.155400 
    84.295   0.180001  93.963100   0.180760  93.856300   0.188315  93.630000   0.221273  93.120000 
    84.300   0.180262  94.365200   0.181044  94.259700   0.188693  94.012500   0.221976  93.445200 
    84.305   0.180644  94.984800   0.181454  94.886500   0.189268  94.604400   0.223120  93.932200 
    84.310   0.181033  95.735600   0.181859  95.644400   0.189896  95.319800   0.224396  94.561400 
    84.315   0.181424  96.443400   0.182283  96.338200   0.190519  95.991800   0.225646  95.135000 
    84.320   0.181816  97.048900   0.182687  96.925500   0.191041  96.601200   0.226816  95.664300 
    84.325   0.182128  97.318200   0.183000  97.211000   0.191391  96.911300   0.227578  95.975800 
    84.330   0.182407  97.858300   0.183300  97.738200   0.191952  97.401100   0.228723  96.310000 
    84.335   0.182445  98.597600   0.183393  98.457300   0.192467  98.075600   0.230093  96.657300 
    84.340   0.182360  98.736400   0.183339  98.621500   0.192532  98.183900   0.230475  96.652600 
    84.345   0.182508  98.596800   0.183497  98.476400   0.192732  97.993400   0.230608  96.423500 
    84.350   0.182862  97.990900   0.183823  97.861400   0.192798  97.362700   0.229906  95.917800 
    84.355   0.183252  96.210300   0.184083  96.118600   0.192227  95.808600   0.227246  94.876900 
    84.360   0.183338  94.408800   0.184057  94.352200   0.191608  94.186800   0.224765  93.591800 
    84.365   0.183059  93.173700   0.183776  93.117800   0.191106  92.886300   0.222933  92.330100 
    84.370   0.182690  91.741700   0.183359  91.666500   0.190297  91.479200   0.220478  91.076000 
    84.375   0.182291  89.693500   0.182857  89.636500   0.189118  89.547000   0.217292  89.515900 
    84.380   0.182708  87.891900   0.183230  87.850500   0.188839  87.907600   0.215115  88.189600 
    84.385   0.183782  87.565400   0.184293  87.518200   0.189793  87.561600   0.215542  87.895200 
