#PROGRAM: dep90.pas
#PROT: N: 49
#PROT: TE: -28
#PROT: T: 26.400
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 950 78.00
#PROT: CC: 870 880
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    26.405   0.115169  48.412600   0.115676  48.221400   0.119937  47.325500   0.133390  46.069600 
    26.410   0.131573  61.204800   0.132434  60.888200   0.139017  59.301700   0.158293  56.875200 
    26.415   0.136402  64.427400   0.137384  64.074800   0.145022  62.218200   0.167260  59.242800 
    26.420   0.138143  65.761300   0.139172  65.427800   0.147287  63.527100   0.171171  60.317000 
    26.425   0.139315  67.039600   0.140398  66.670900   0.148818  64.742000   0.173856  61.440900 
    26.430   0.140162  68.046000   0.141266  67.702300   0.149861  65.772500   0.175837  62.400500 
    26.435   0.140661  68.848300   0.141791  68.479300   0.150655  66.547300   0.177442  63.064000 
    26.440   0.140873  69.557200   0.142031  69.179400   0.151192  67.139300   0.178754  63.495100 
    26.445   0.140578  69.953100   0.141790  69.568300   0.151217  67.437000   0.179331  63.587100 
    26.450   0.139926  70.108700   0.141161  69.682000   0.150765  67.425100   0.179027  63.502200 
    26.455   0.140913  71.657000   0.142142  71.241200   0.151518  69.074200   0.179373  65.350700 
    26.460   0.143198  74.426200   0.144358  74.027600   0.153337  72.013600   0.180482  68.640400 
    26.465   0.143615  75.146700   0.144746  74.789000   0.153498  72.825200   0.179887  69.577100 
    26.470   0.142183  73.761000   0.143302  73.374700   0.151918  71.414800   0.177562  68.150600 
    26.475   0.141038  72.247700   0.142129  71.882200   0.150560  69.900800   0.175358  66.704000 
    26.480   0.140731  71.364300   0.141783  70.991100   0.149948  69.091700   0.174033  65.987700 
    26.485   0.140436  70.448500   0.141447  70.103200   0.149372  68.274000   0.172817  65.265200 
    26.490   0.140141  69.642000   0.141137  69.312900   0.148919  67.494900   0.171864  64.530100 
    26.495   0.140214  69.345700   0.141211  69.025300   0.148926  67.191500   0.171505  64.227500 
    26.500   0.140311  69.200600   0.141297  68.874200   0.148975  67.038600   0.171362  64.060800 
    26.505   0.140312  69.158500   0.141307  68.817300   0.149063  66.968500   0.171646  63.898500 
    26.510   0.140494  69.389300   0.141496  69.019700   0.149394  67.124800   0.172184  63.950300 
    26.515   0.140331  68.864700   0.141338  68.522200   0.149187  66.628500   0.171687  63.425500 
    26.520   0.140189  68.040900   0.141174  67.694700   0.148868  65.831200   0.170778  62.646100 
    26.525   0.139960  66.405000   0.140872  66.101900   0.148052  64.353000   0.168479  61.440600 
    26.530   0.139641  63.140700   0.140352  62.876100   0.146242  61.540800   0.163623  59.358500 
    26.535   0.140398  61.073700   0.140921  60.901500   0.145527  59.937100   0.159925  58.559500 
    26.540   0.141308  61.551900   0.141783  61.375400   0.145982  60.463800   0.159384  59.423000 
    26.545   0.141485  63.047200   0.141993  62.830100   0.146361  61.988000   0.160258  60.889900 
    26.550   0.141807  65.988800   0.142391  65.773200   0.147372  64.760400   0.162982  63.479200 
    26.555   0.141929  70.265900   0.142725  70.024400   0.148985  68.621800   0.168108  66.729400 
    26.560   0.141616  74.310800   0.142588  73.945800   0.150106  72.164600   0.172525  69.770400 
    26.565   0.141984  77.815800   0.143037  77.462900   0.151069  75.701000   0.176093  73.260300 
    26.570   0.143592  83.927600   0.144831  83.524300   0.154196  81.492400   0.183627  78.620100 
    26.575   0.145344  92.048700   0.146977  91.458100   0.158748  88.618800   0.194364  84.592800 
    26.580   0.146067  97.731900   0.148005  97.005500   0.161586  93.532500   0.201732  88.602000 
    26.585   0.146310 101.141000   0.148467 100.363000   0.162932  96.592900   0.205936  91.231200 
    26.590   0.146675 103.628000   0.148818 102.796000   0.163944  98.927800   0.208929  93.375300 
    26.595   0.146905 105.377000   0.149084 104.535000   0.164538 100.651000   0.211017  95.006600 
    26.600   0.147129 106.733000   0.149339 105.924000   0.164964 102.026000   0.212431  96.382600 
    26.605   0.147441 107.739000   0.149674 106.883000   0.165552 103.031000   0.213730  97.254300 
    26.610   0.147841 108.466000   0.150077 107.589000   0.166096 103.640000   0.214983  97.869100 
    26.615   0.148193 108.882000   0.150466 108.004000   0.166586 104.071000   0.215763  98.229300 
    26.620   0.148205 108.607000   0.150463 107.718000   0.166523 103.753000   0.215484  97.943600 
    26.625   0.148275 108.181000   0.150515 107.287000   0.166515 103.385000   0.215028  97.529700 
    26.630   0.147894 106.788000   0.150112 105.940000   0.165899 102.058000   0.213600  96.262000 
    26.635   0.147336 104.762000   0.149486 103.953000   0.164740 100.158000   0.210793  94.590500 
    26.640   0.146928 102.512000   0.148967 101.764000   0.163456  98.155600   0.207134  92.948800 
    26.645   0.146603  99.810400   0.148578  99.117200   0.162141  95.721500   0.203255  90.937500 
    26.650   0.146046  96.283200   0.147795  95.672700   0.160436  92.613500   0.198617  88.240100 
    26.655   0.145256  92.322300   0.146842  91.754900   0.158391  88.997000   0.193350  85.109600 
    26.660   0.144728  88.613000   0.146152  88.100000   0.156671  85.605800   0.188615  82.168400 
    26.665   0.144460  85.488100   0.145769  85.028600   0.155467  82.746400   0.185012  79.600100 
    26.670   0.144065  82.828100   0.145297  82.373100   0.154529  80.169700   0.182127  77.144700 
    26.675   0.143503  80.176700   0.144679  79.760100   0.153521  77.633000   0.179689  74.606900 
    26.680   0.143034  77.765300   0.144138  77.374900   0.152563  75.350800   0.177163  72.443800 
    26.685   0.142635  75.643300   0.143674  75.286800   0.151651  73.390500   0.175014  70.614200 
    26.690   0.142835  74.159200   0.143800  73.815800   0.151381  72.041800   0.173776  69.432400 
    26.695   0.143067  73.059100   0.143983  72.724800   0.151349  71.028000   0.173105  68.471600 
    26.700   0.143047  72.015400   0.143953  71.721100   0.151258  70.038100   0.172828  67.454000 
    26.705   0.143256  71.476500   0.144170  71.164200   0.151464  69.488200   0.173027  66.853500 
    26.710   0.143188  70.976000   0.144127  70.650400   0.151499  68.960200   0.173264  66.240800 
    26.715   0.143279  71.026100   0.144246  70.709700   0.151821  68.927600   0.174008  66.079300 
    26.720   0.143479  71.280600   0.144474  70.930400   0.152185  69.110700   0.174795  66.113600 
    26.725   0.143166  71.005300   0.144163  70.661900   0.151957  68.789500   0.174595  65.741500 
    26.730   0.142605  70.214400   0.143604  69.870600   0.151393  68.003200   0.173905  64.933400 
    26.735   0.142415  69.022400   0.143353  68.669400   0.150847  66.935500   0.172735  63.996200 
    26.740   0.142575  68.201000   0.143508  67.897300   0.150857  66.208500   0.172475  63.290100 
    26.745   0.142823  68.052800   0.143779  67.741800   0.151396  65.914500   0.173475  62.768100 
    26.750   0.142600  66.930400   0.143561  66.610700   0.151126  64.781000   0.172913  61.605600 
    26.755   0.142224  64.303800   0.143063  64.030100   0.149887  62.458800   0.169911  59.702500 
    26.760   0.142563  62.403900   0.143284  62.205400   0.149347  60.818500   0.167700  58.496500 
    26.765   0.142768  61.720600   0.143487  61.476900   0.149347  60.204400   0.167077  57.943300 
    26.770   0.142705  61.751600   0.143389  61.515500   0.149332  60.178900   0.167017  57.873300 
    26.775   0.142971  62.227400   0.143664  62.055000   0.149689  60.592800   0.167621  58.246500 
    26.780   0.143514  62.589200   0.144247  62.383400   0.150405  60.942400   0.168593  58.521500 
    26.785   0.144129  61.990000   0.144832  61.758500   0.150676  60.464900   0.168301  58.225200 
    26.790   0.144165  60.413900   0.144779  60.211600   0.150010  59.124400   0.166272  57.248000 
    26.795   0.143851  59.109400   0.144391  58.936600   0.149183  57.986700   0.164404  56.346100 
    26.800   0.143199  58.407000   0.143704  58.234100   0.148321  57.353000   0.163069  55.842200 
