#PROGRAM: dep90.pas
#PROT: N: 55
#PROT: TE: -28
#PROT: T: 29.700
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 910 78.00
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    29.705   0.114379  79.263600   0.115476  78.915500   0.123985  77.794700   0.158193  76.721300 
    29.710   0.137095 109.410000   0.139115 108.642000   0.153218 105.654000   0.201480 102.063000 
    29.715   0.144459 118.631000   0.147054 117.589000   0.164811 113.178000   0.220981 107.326000 
    29.720   0.146498 122.084000   0.149368 120.937000   0.169049 115.917000   0.229708 108.810000 
    29.725   0.147327 124.032000   0.150327 122.840000   0.170909 117.588000   0.234206 109.883000 
    29.730   0.148018 125.393000   0.151039 124.223000   0.171974 119.025000   0.236847 111.202000 
    29.735   0.148352 125.647000   0.151326 124.524000   0.172111 119.566000   0.237463 111.862000 
    29.740   0.148118 125.194000   0.151016 124.121000   0.171505 119.409000   0.236798 111.908000 
    29.745   0.147668 125.098000   0.150499 124.065000   0.170574 119.524000   0.235516 112.352000 
    29.750   0.147638 125.661000   0.150447 124.640000   0.170361 120.166000   0.235366 113.143000 
    29.755   0.147945 126.205000   0.150768 125.158000   0.170711 120.621000   0.235598 113.599000 
    29.760   0.147713 124.794000   0.150507 123.770000   0.170066 119.260000   0.233613 112.426000 
    29.765   0.147364 122.057000   0.150033 121.083000   0.168879 116.838000   0.230245 110.328000 
    29.770   0.147423 120.192000   0.150013 119.340000   0.168393 115.118000   0.227970 108.777000 
    29.775   0.147423 118.766000   0.149990 117.827000   0.168070 113.635000   0.225874 107.330000 
    29.780   0.147100 116.648000   0.149632 115.686000   0.167362 111.369000   0.222940 105.112000 
    29.785   0.146401 112.899000   0.148832 111.953000   0.165768 107.697000   0.218078 101.733000 
    29.790   0.145951 107.864000   0.148133 106.999000   0.163562 103.324000   0.211368  98.020000 
    29.795   0.145719 102.028000   0.147616 101.350000   0.161036  98.203900   0.203428  93.903700 
    29.800   0.145117  94.742000   0.146641  94.208000   0.157838  91.791800   0.194037  88.573400 
    29.805   0.144596  86.132200   0.145687  85.758700   0.154225  84.173900   0.183068  82.236000 
    29.810   0.145346  78.973000   0.146081  78.759900   0.152371  77.807300   0.174796  76.957900 
    29.815   0.146372  74.306900   0.146965  74.148000   0.152148  73.405700   0.170925  72.782800 
    29.820   0.146402  71.483400   0.146977  71.308900   0.152113  70.471400   0.169587  69.624100 
    29.825   0.145967  69.773600   0.146584  69.548300   0.151943  68.557900   0.169423  67.310100 
    29.830   0.145389  68.278000   0.146050  68.064600   0.151570  66.968200   0.168958  65.473500 
    29.835   0.145177  66.990500   0.145823  66.773300   0.151265  65.693500   0.168357  64.137500 
    29.840   0.145542  66.559500   0.146183  66.321000   0.151621  65.254700   0.168833  63.656400 
    29.845   0.146018  66.706700   0.146678  66.493900   0.152314  65.370200   0.170095  63.616200 
    29.850   0.146089  66.757400   0.146772  66.530300   0.152631  65.366800   0.171064  63.453000 
    29.855   0.145648  66.780100   0.146375  66.534700   0.152558  65.260100   0.171689  63.147000 
    29.860   0.145482  67.235500   0.146271  66.981900   0.152808  65.589900   0.172759  63.243800 
    29.865   0.145966  67.755300   0.146795  67.495300   0.153574  66.060900   0.174359  63.574200 
    29.870   0.146417  67.843600   0.147246  67.563900   0.154090  66.136800   0.175188  63.625800 
    29.875   0.146344  67.027100   0.147149  66.770600   0.153788  65.427200   0.174499  63.010400 
    29.880   0.145930  66.036700   0.146716  65.792700   0.153079  64.508600   0.173107  62.209700 
    29.885   0.145210  65.022900   0.145957  64.785200   0.152259  63.492200   0.171726  61.162700 
    29.890   0.144525  63.525600   0.145248  63.298800   0.151347  62.015500   0.169969  59.788700 
    29.895   0.144370  61.613100   0.145027  61.406300   0.150588  60.302000   0.167993  58.278900 
    29.900   0.144146  59.392700   0.144717  59.198700   0.149796  58.215800   0.165826  56.424900 
    29.905   0.144014  57.549200   0.144537  57.359100   0.149240  56.462500   0.164290  54.822600 
