#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.175531970140058036e+01	9.505972108331098624e+00	-5.175531970140058036e+01	9.505972108331098624e+00	0.000000000000000000e+00	2.825012733069010712e-02	2.825486500514964427e-03	1.000126217481063229e+00	2.328331377104077456e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000140000000000029e+00	2.364937760087070222e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.769773342188755760e-02	7.769913762329092033e-03	1.412686062216137739e-01	1.326265080879433975e-311
5.500000000000000444e-01	-4.467660613052228058e+01	9.294933881948217902e+00	-4.467660613052228058e+01	9.294933881948217902e+00	0.000000000000000000e+00	2.825947138400494024e-02	2.751472885368739293e-03	1.000045934479619092e+00	2.320034216304432597e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000059999999999949e+00	2.428025345344104330e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.771719375451625889e-02	7.565628886321765570e-03	1.413039886445749682e-01	1.326306443928822999e-311
1.100000000000000089e+00	-3.759966506472319736e+01	9.131814375443500609e+00	-3.759966506472319736e+01	9.131814375443500609e+00	0.000000000000000000e+00	2.827204074287120728e-02	2.656288905551860632e-03	9.999706514519660638e-01	2.314761224417868652e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.999850000000000128e-01	2.491112930601138871e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.183760837019422862e-02	7.687534929855265910e-03	1.487956515821713399e-01	0.000000000000000000e+00
1.650000000000000133e+00	-3.087903855872777825e+01	9.018522256171406681e+00	-3.087903855872777825e+01	9.018522256171406681e+00	0.000000000000000000e+00	2.828397156384262687e-02	2.571057490654703789e-03	9.999003683938423315e-01	2.312531558831669790e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	2.000000000000000111e-01	9.999149999999999983e-01	2.554200515858172978e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.641456394608539038e-02	7.853499103405296375e-03	1.571173889928824952e-01	0.000000000000000000e+00
2.200000000000000178e+00	-2.451437067307891127e+01	8.945789638595881499e+00	-2.451437067307891127e+01	8.945789638595881499e+00	0.000000000000000000e+00	2.829687647792209285e-02	2.485093883201187383e-03	9.998140856142423427e-01	2.313304085227790071e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.998289999999999678e-01	2.617288101115207086e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.072903920378209586e-02	6.210038703594854444e-03	1.285982530977856642e-01	0.000000000000000000e+00
2.750000000000000000e+00	-1.673821527507670481e+01	8.898473879895195893e+00	-1.673821527507670481e+01	8.898473879895195893e+00	0.000000000000000000e+00	2.831075691263523417e-02	2.400644652626093313e-03	9.997318028227820674e-01	2.317120500463003708e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.997470000000000523e-01	2.680375686372241627e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.412736970898795019e-02	6.283955760143576479e-03	1.347770358345234398e-01	0.000000000000000000e+00
3.300000000000000266e+00	-9.318553655364425481e+00	8.891532047681787176e+00	-9.318553655364425481e+00	8.891532047681787176e+00	0.000000000000000000e+00	2.832432224887657807e-02	2.326998963487794149e-03	9.996485200934775994e-01	2.323952785053927904e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.996639999999999970e-01	2.743463271629275734e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.415671031418170911e-02	6.090469546673148854e-03	1.348303823894212716e-01	0.000000000000000000e+00
3.850000000000000533e+00	-1.901827675074841295e+00	8.917493432207617587e+00	-1.901827675074841295e+00	8.917493432207617587e+00	0.000000000000000000e+00	2.845771129802933744e-02	2.268421472891764875e-03	9.995542375848731620e-01	2.333749557856104606e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	2.806550856886309842e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.518646341107915687e-02	5.194328015762270621e-03	1.185208425655985276e-01	0.000000000000000000e+00
4.400000000000000355e+00	6.535506875989653963e+00	8.981913528154811033e+00	6.535506875989653963e+00	8.981913528154811033e+00	0.000000000000000000e+00	2.853823280617417621e-02	2.210820270807917817e-03	9.994519552581841992e-01	2.346478387958907119e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.999999999999999833e-01	9.994680000000000231e-01	2.869638442143344383e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.810158823273567363e-02	4.499309159138140980e-03	1.056392513322466920e-01	0.000000000000000000e+00
4.950000000000000178e+00	1.600168528400291734e+01	9.092175829533960751e+00	1.600168528400291734e+01	9.092175829533960751e+00	0.000000000000000000e+00	2.855506010584522164e-02	2.164369021883317395e-03	9.993516729568546753e-01	2.362113074591839969e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.999999999999999833e-01	9.993680000000000341e-01	2.932726027400378490e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.278046637441829503e-02	4.756511791945670226e-03	1.141463024989424341e-01	0.000000000000000000e+00
