#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	6.896523384611157326e+01	9.149073241245268662e+00	nan	nan	nan	6.784588331985644261e-02	7.829991117014132446e-03	9.941142477512080466e-01	2.254161533420418698e-03	nan	nan	nan	nan	6.439430000000000154e-02	2.002707351859528695e-01	9.940799999999999637e-01	2.330560856230146430e-03	8.963249999999999318e+01	2.000000000000000111e-01	1.159836140231864376e-01	1.337855159776993839e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	7.758714141833198141e+01	9.032204865987981890e+00	nan	nan	nan	7.104661356788728732e-02	8.066155618951506567e-03	9.940116224983044368e-01	2.447743984094715060e-03	nan	nan	nan	nan	6.738280000000000658e-02	2.003717524740034894e-01	9.939700000000000202e-01	2.624620776172198380e-03	8.965070000000000050e+01	1.999999999999999833e-01	1.185521492060992166e-01	1.345090413376168019e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	8.602224788157737123e+01	9.018637913133799699e+00	nan	nan	nan	6.020285648401303008e-02	6.785135360346345942e-03	9.938789941880895595e-01	2.668019305129950593e-03	nan	nan	nan	nan	5.705279999999998686e-02	2.004815150904429022e-01	9.938299999999999912e-01	2.918680696114249896e-03	8.966030000000000655e+01	1.999999999999999833e-01	9.917153861256264302e-02	1.116849731624443461e-02	nan	0.000000000000000000e+00
2.100000000000000000e+01	9.610578610222290763e+01	9.128771434919119798e+00	nan	nan	nan	7.388502187325950155e-02	8.281589687969720046e-03	9.937363632868737584e-01	2.908923474644228326e-03	nan	nan	nan	nan	6.996760000000001867e-02	2.006063686572186755e-01	9.936800000000000077e-01	3.212740616056301846e-03	8.966280000000000427e+01	1.999999999999999833e-01	1.205417695849037019e-01	1.349924707609321574e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	1.044016656421001557e+02	9.316774853950629875e+00	nan	nan	nan	8.111075041700890886e-02	8.757138990709982182e-03	9.935837295719306406e-01	3.165708237752852278e-03	nan	nan	nan	nan	7.677929999999999477e-02	2.007819318870954217e-01	9.935199999999999587e-01	3.506800535998353362e-03	8.970000000000000284e+01	1.999999999999999833e-01	1.306655369729132210e-01	1.409223751782195423e-02	nan	0.000000000000000000e+00
2.300000000000000000e+01	1.120547930325864456e+02	9.552630629171918741e+00	nan	nan	nan	7.180454740546367287e-02	7.513160199564126139e-03	9.934310935362176131e-01	3.434805485522644634e-03	nan	nan	nan	nan	6.794200000000000239e-02	2.009620227240601908e-01	9.933600000000000207e-01	3.800860455940405312e-03	8.971769999999999357e+01	1.999999999999999833e-01	1.149419674377221839e-01	1.201164695712714052e-02	nan	0.000000000000000000e+00
2.400000000000000000e+01	1.207548355174327099e+02	9.878992053811288088e+00	nan	nan	nan	6.693468324380635881e-02	6.834493189180407963e-03	9.932684543897853935e-01	3.713475224203806064e-03	nan	nan	nan	nan	6.330510000000000304e-02	2.011617343374522693e-01	9.931900000000000173e-01	4.094920375882457261e-03	8.971939999999999316e+01	1.999999999999999833e-01	1.060800966447468241e-01	1.081583934985405962e-02	nan	0.000000000000000000e+00
2.500000000000000000e+01	1.301816745912027500e+02	1.028826226894289952e+01	nan	nan	nan	7.581834301993302383e-02	7.650592766664610599e-03	9.930558084532605800e-01	3.999514327337284035e-03	nan	nan	nan	nan	7.167479999999998297e-02	2.013578255937173711e-01	9.929700000000000193e-01	4.388980295824508777e-03	8.972740000000000293e+01	2.000000000000000111e-01	1.195651453250939494e-01	1.204556208098056698e-02	nan	0.000000000000000000e+00
2.600000000000000000e+01	1.385453159959033371e+02	1.069065702143949359e+01	nan	nan	nan	6.945216678490681583e-02	7.015495257364160429e-03	9.928431593050452975e-01	4.291555414119764371e-03	nan	nan	nan	nan	6.562740000000000240e-02	2.015514223947420525e-01	9.927500000000000213e-01	4.683040215766560294e-03	8.973749999999999716e+01	2.000000000000000111e-01	1.087887693049201659e-01	1.097000353603753628e-02	nan	0.000000000000000000e+00
2.700000000000000000e+01	1.477374413080036675e+02	1.116930570959573288e+01	nan	nan	nan	6.252038397388712254e-02	6.149922740677630714e-03	9.926305069451032415e-01	4.588422278763968493e-03	nan	nan	nan	nan	5.905320000000002789e-02	2.017539699552063637e-01	9.925300000000000233e-01	4.977100135708611810e-03	8.974370000000000402e+01	2.000000000000000111e-01	9.661358613215259572e-02	9.485022548392780042e-03	nan	0.000000000000000000e+00
