#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-2.470941736316123638e+01	9.337488449615920061e+00	nan	nan	nan	3.046982924574536677e-01	3.349534821001844132e-02	9.985839005543072355e-01	1.134960799902286731e-03	nan	nan	nan	nan	3.661119999999999930e-01	2.000000000000000111e-01	9.986000000000000432e-01	1.168071780084747793e-03	7.036914285714290429e+01	2.000000000000000111e-01	6.131580568132881659e-01	6.739991067302648908e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	-2.307851650670472665e+01	9.306231308195668461e+00	nan	nan	nan	2.764847212703973600e-01	3.025281474556704153e-02	9.983804334534885916e-01	1.203572116302128060e-03	nan	nan	nan	nan	3.322499999999999343e-01	2.000000000000000111e-01	9.983999999999999542e-01	1.289702763673677239e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.302223483117871616e-01	5.801141023388298179e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	-2.119251527875956143e+01	9.274244705890355434e+00	nan	nan	nan	2.825736589267839882e-01	3.077289064460329848e-02	9.981769677550847986e-01	1.283910188946480076e-03	nan	nan	nan	nan	3.396090000000000497e-01	2.000000000000000111e-01	9.981999999999999762e-01	1.411333747262606469e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.274616183634444067e-01	5.743505205676241454e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	-1.929664273526966767e+01	9.246566684826088789e+00	nan	nan	nan	3.116518773606115067e-01	3.379398568754093252e-02	9.978735061140527884e-01	1.373764198361566513e-03	nan	nan	nan	nan	3.746009999999999618e-01	2.000000000000000111e-01	9.979000000000000092e-01	1.532964730851535916e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.727630640556726771e-01	6.209884814886959536e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	-1.755072009682453071e+01	9.225026568735756882e+00	nan	nan	nan	2.667970961855377632e-01	2.880891595794267054e-02	9.976700435680418977e-01	1.471613501127986634e-03	nan	nan	nan	nan	3.207260000000000666e-01	2.000000000000000111e-01	9.977000000000000313e-01	1.654595714440465146e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.872063964549860904e-01	5.260021673360300298e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	-1.549820188836871893e+01	9.204517486438721363e+00	nan	nan	nan	2.356372950718550185e-01	2.532871486938653022e-02	9.974665824244229873e-01	1.575849466081413307e-03	nan	nan	nan	nan	2.833090000000000330e-01	2.000000000000000111e-01	9.975000000000000533e-01	1.776226698029394592e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.152208461756922708e-01	4.462387919532335295e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	-1.308984496407096643e+01	9.187040049866613600e+00	nan	nan	nan	2.983539131446316106e-01	3.194050233440894754e-02	9.972631226831883966e-01	1.685273146912650384e-03	nan	nan	nan	nan	3.587650000000000006e-01	2.000000000000000111e-01	9.972999999999999643e-01	1.897857681618323822e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.095637912392817492e-01	5.454042873313241779e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	-1.112738213371962637e+01	9.178016648877305173e+00	nan	nan	nan	2.658213970851978636e-01	2.835844836874392219e-02	9.970596643443311313e-01	1.798924738503828325e-03	nan	nan	nan	nan	3.196889999999998899e-01	2.000000000000000111e-01	9.970999999999999863e-01	2.019488665207253269e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.487332265903232198e-01	4.786106568311277593e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	-8.898886580585642747e+00	9.173402497930098320e+00	nan	nan	nan	2.634510971332791884e-01	2.801233390756011077e-02	9.967562118007210481e-01	1.915847273635712649e-03	nan	nan	nan	nan	3.168850000000000833e-01	2.000000000000000111e-01	9.968000000000000194e-01	2.141119648796182499e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.386947198452873509e-01	4.663430844127719466e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	-6.619397097893291004e+00	9.174823764920111202e+00	nan	nan	nan	2.533568385202620843e-01	2.685923893715902108e-02	9.965527566141753057e-01	2.035803722418596390e-03	nan	nan	nan	nan	3.047900000000001164e-01	2.000000000000000111e-01	9.966000000000000414e-01	2.262750632385111729e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.157201169598901402e-01	4.406044627631841570e-02	nan	0.000000000000000000e+00
