#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-6.088703385617785813e+01	9.683146481718198473e+00	-6.088703385617785813e+01	9.683146481718198473e+00	0.000000000000000000e+00	1.413722123394595132e-01	1.779514973968591984e-02	9.998192647395937049e-01	2.545613875055874938e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	2.000000000000000389e-01	9.995499999999999385e-01	2.609442654560748497e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.413466613958481166e-01	1.777917569057419975e-02	1.413466613958480889e-01	0.000000000000000000e+00
1.000000000000000000e+00	-5.381222932860962516e+01	9.484195250275885058e+00	-5.381222932860962516e+01	9.484195250275885058e+00	0.000000000000000000e+00	1.422020520319629278e-01	1.722283167436068976e-02	9.995813844952490257e-01	2.927905241992210736e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	2.000000000000000389e-01	9.992449999999999388e-01	3.078327963682237801e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.421425240481749563e-01	1.719920860254422687e-02	1.421425240481749008e-01	5.484128668837836640e-322
2.000000000000000000e+00	-4.677703696308584824e+01	9.358259565674423186e+00	-4.677703696308584824e+01	9.358259565674423186e+00	0.000000000000000000e+00	1.430370246472781603e-01	1.686302743060210524e-02	9.993284616852370350e-01	3.344171184854142793e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999997995e-02	2.000000000000000389e-01	9.989250000000000629e-01	3.547213272803727974e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.429409698047978128e-01	1.683163967288579463e-02	1.429409698047979516e-01	0.000000000000000000e+00
3.000000000000000000e+00	-3.978114207468811969e+01	9.299239077081681515e+00	-3.978114207468811969e+01	9.299239077081681515e+00	0.000000000000000000e+00	1.438771783201943377e-01	1.673816005234404075e-02	9.990554909231571523e-01	3.783059112093261397e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	2.000000000000000111e-01	9.985850000000000559e-01	4.016098581925217278e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.437412850193203750e-01	1.669881490567719229e-02	nan	5.484128668837836640e-322
4.000000000000000000e+00	-3.282419856423049964e+01	9.302742168304790837e+00	nan	nan	nan	1.447225617880479043e-01	1.686232847335985413e-02	9.987674708611153918e-01	4.237422095497538066e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000111e-01	9.982299999999999507e-01	4.484983891046707451e-03	6.320744746828250271e+01	2.000000000000000111e-01	1.445441870135901197e-01	1.681488834859405646e-02	nan	0.000000000000000000e+00
5.000000000000000000e+00	-2.590589890333870215e+01	9.366329604246349305e+00	nan	nan	nan	1.453682063882859310e-01	1.641113096783470421e-02	9.984643984676172535e-01	4.702646281789847962e-03	nan	nan	nan	nan	8.742999999999995220e-02	2.000000000000000111e-01	9.978599999999999692e-01	4.953869200168196756e-03	6.316642422527470302e+01	2.000000000000000111e-01	1.451449787477963604e-01	1.635528681153494701e-02	nan	0.000000000000000000e+00
6.000000000000000000e+00	-1.901623583247492633e+01	9.480629841696798010e+00	nan	nan	nan	1.459602016318468920e-01	1.596512066518374767e-02	9.981412673459113538e-01	5.175650148984125773e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000389e-01	9.974699999999999678e-01	5.422754509289686928e-03	6.318423809042329964e+01	2.000000000000000111e-01	1.456889006388764063e-01	1.590066759613347619e-02	nan	0.000000000000000000e+00
7.000000000000000000e+00	-1.215229495836035767e+01	9.635230501393087010e+00	nan	nan	nan	1.465548466096185387e-01	1.577460268870499449e-02	9.977980734544905639e-01	5.654342806343235807e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000389e-01	9.970600000000000573e-01	5.891639818411176233e-03	6.316129083130520172e+01	2.000000000000000111e-01	1.462321436024957566e-01	1.570138646353257464e-02	nan	0.000000000000000000e+00
8.000000000000000000e+00	-5.313853181029173811e+00	9.823518029324603162e+00	nan	nan	nan	1.471521662602921221e-01	1.585570647712327558e-02	9.974348127513043005e-01	6.137255233104069348e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.966300000000000159e-01	6.360525127532666405e-03	6.315271734726250230e+01	2.000000000000000111e-01	1.467746933997832737e-01	1.577351918404309994e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	1.499310429377501919e+00	1.004186626411083694e+01	nan	nan	nan	1.476468958668192000e-01	1.576959483666601908e-02	9.970614899419895094e-01	6.623393740658309846e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.961900000000000199e-01	6.829410436654155710e-03	6.314760060585710022e+01	2.000000000000000111e-01	1.472130339782805331e-01	1.567840714181618564e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	8.292187207853096709e+00	1.028685866484041611e+01	nan	nan	nan	1.479747873315056805e-01	1.523250523805044603e-02	9.966781030022116017e-01	7.111988823611039255e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.957400000000000695e-01	7.298295745775645882e-03	6.312546922875409905e+01	2.000000000000000111e-01	1.474832303297207714e-01	1.513248898281533382e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	1.507261911027584489e+01	1.055012022356118173e+01	nan	nan	nan	1.483035581621765520e-01	1.496623726025816600e-02	9.962796448602911914e-01	7.602423612086080251e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.952750000000000208e-01	7.767181054897135187e-03	6.310912107356549683e+01	2.000000000000000111e-01	1.477518162573308036e-01	1.485730334477750048e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	2.184072542078208556e+01	1.082622944265860099e+01	nan	nan	nan	1.486332144389247434e-01	1.498950644831221861e-02	9.958761232489812265e-01	8.094328182707822422e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.948049999999999393e-01	8.236066364018624492e-03	6.310532803328980123e+01	2.000000000000000389e-01	1.480202693814708648e-01	1.487164615434337714e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	2.859655693074135030e+01	1.111273521351970928e+01	nan	nan	nan	1.489637606278267634e-01	1.530523037553915139e-02	9.954675371526673366e-01	8.587363432997201229e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.943299999999999361e-01	8.704951673140115531e-03	6.310333342602349660e+01	2.000000000000000389e-01	1.482885879171821908e-01	1.517823763060443046e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	3.534016420386806345e+01	1.140980214531757042e+01	nan	nan	nan	1.490157197553012847e-01	1.472935159941174237e-02	9.950538855555993711e-01	9.081261721179730712e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.938500000000000112e-01	9.173836982261604836e-03	6.306767766566419908e+01	2.000000000000000389e-01	1.482786709513768397e-01	1.459430136779841201e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	4.208422249346467225e+01	1.171428339557997766e+01	nan	nan	nan	1.490546659222225234e-01	1.437722268565914084e-02	9.946445896773278283e-01	9.529960281315913787e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000111e-01	9.933650000000000535e-01	9.694391651431859963e-03	6.304061316414210125e+01	2.000000000000000389e-01	1.482564170257001934e-01	1.423244241626671000e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	4.882929309520901739e+01	1.202182200299077941e+01	nan	nan	nan	1.490254387481103615e-01	1.431816372562862323e-02	9.942444640271603795e-01	9.924123680500326200e-03	nan	nan	nan	nan	8.739000000000007873e-02	2.000000000000000111e-01	9.928699999999999193e-01	1.032056572782509736e-02	6.304158359199300321e+01	2.000000000000000111e-01	1.481677174745273939e-01	1.416010099345959249e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	5.557840158553801047e+01	1.233073587759450085e+01	nan	nan	nan	1.348233960106997309e-01	1.319690681302249612e-02	9.938342375073426771e-01	1.037155330627309927e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999999833e-01	9.923649999999999416e-01	1.094673980421833302e-02	6.303440333982590005e+01	2.000000000000000111e-01	1.339921069724442637e-01	1.304164288027708646e-02	nan	0.000000000000000000e+00
1.800000000000000000e+01	6.304152775464626046e+01	1.267442768136954356e+01	nan	nan	nan	1.346994961510078193e-01	1.300825548723778639e-02	9.934239229861180354e-01	1.086559255936743983e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999999833e-01	9.918599999999999639e-01	1.157291388061157042e-02	6.302444855894999876e+01	2.000000000000000111e-01	1.338137018905876940e-01	1.284114312255245881e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	7.051460402315609599e+01	1.302141955036874243e+01	nan	nan	nan	1.344639686759382113e-01	1.261135938401985665e-02	9.930135204503637292e-01	1.140002859474915572e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999999833e-01	9.913549999999999862e-01	1.219908795700480782e-02	6.302878126748939991e+01	2.000000000000000111e-01	1.335245389086208434e-01	1.243263733779882869e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	7.800386411102925877e+01	1.336811864579762066e+01	nan	nan	nan	1.342287321493184915e-01	1.255011870170709420e-02	9.925930121947726947e-01	1.196918329059779885e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999999833e-01	9.908399999999999430e-01	1.282526203339804348e-02	6.303325013979250002e+01	2.000000000000000111e-01	1.332345015671773658e-01	1.235975915519802425e-02	nan	0.000000000000000000e+00
2.100000000000000000e+01	8.550942752168828065e+01	1.371279611861603698e+01	nan	nan	nan	1.339937845842239239e-01	1.282634575387803753e-02	9.921674046462081176e-01	1.256822837571522876e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999999833e-01	9.903200000000000891e-01	1.345143610979128088e-02	6.298334948865829830e+01	2.000000000000000111e-01	1.329442654896525466e-01	1.262453478586661806e-02	nan	0.000000000000000000e+00
