#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.989033056226074336e+01	9.974792414071318447e+00	nan	nan	nan	2.150644423745748032e-02	3.643981194801327109e-03	9.947300533148650814e-01	1.133061100512311892e-03	nan	nan	nan	nan	2.188800000000000121e-02	2.000924445871034574e-01	9.947300000000000031e-01	1.170954795525162980e-03	9.995369456253919793e+01	2.000000000000000111e-01	5.585667473352284862e-02	9.464046825860097586e-03	nan	0.000000000000000000e+00
1.000000000000000000e+00	-3.198736722313017822e+01	1.031090782949858919e+01	nan	nan	nan	2.150017978304404054e-02	3.583746660345451997e-03	9.942705299925118645e-01	1.184381905679772690e-03	nan	nan	nan	nan	2.188899999999999527e-02	2.001933333628519163e-01	9.942699999999999871e-01	1.277895343895950157e-03	9.993837724881490203e+01	2.000000000000000111e-01	5.509534831912753922e-02	9.183355821114269277e-03	nan	0.000000000000000000e+00
2.000000000000000000e+00	-1.383701459793716992e+01	1.145389290965258766e+01	nan	nan	nan	2.149479276586443305e-02	3.587616548739026075e-03	9.938110062292935254e-01	1.246153083161771584e-03	nan	nan	nan	nan	2.189100000000000767e-02	2.002957018825427815e-01	9.938099999999999712e-01	1.384835892266737334e-03	9.992305993509050666e+01	2.000000000000000111e-01	5.421766910490830038e-02	9.049031114483022803e-03	nan	0.000000000000000000e+00
3.000000000000000000e+00	4.607157136282040710e+00	1.321246825935678437e+01	nan	nan	nan	2.148966414854032447e-02	3.531532228554092306e-03	9.933614820401293066e-01	1.316885107792962334e-03	nan	nan	nan	nan	2.189199999999999480e-02	2.004253855791798544e-01	9.933600000000000207e-01	1.491776440637524294e-03	9.991064966745740605e+01	2.000000000000000111e-01	5.336751156784662331e-02	8.769922605959377601e-03	nan	0.000000000000000000e+00
4.000000000000000000e+00	2.334514904599831198e+01	1.536926777086331342e+01	nan	nan	nan	2.148601353539605560e-02	3.487584931468424264e-03	9.929019573999742221e-01	1.395161163286753490e-03	nan	nan	nan	nan	2.189399999999999680e-02	2.005685923885580924e-01	9.929000000000000048e-01	1.598716989008311471e-03	9.991588896877080117e+01	2.000000000000000111e-01	5.241647394598792503e-02	8.507828690182728942e-03	nan	0.000000000000000000e+00
5.000000000000000000e+00	4.242312062093563441e+01	1.776902429581000220e+01	nan	nan	nan	2.148128264241458071e-02	3.516040827316529744e-03	9.924424323189532382e-01	1.479765779184181876e-03	nan	nan	nan	nan	2.189499999999999780e-02	2.007143411306617498e-01	9.924399999999999888e-01	1.705657537379098648e-03	9.990335845278690385e+01	1.999999999999999833e-01	5.149501544678463522e-02	8.428267638088945968e-03	nan	0.000000000000000000e+00
6.000000000000000000e+00	6.184247589879564089e+01	2.034532262271594760e+01	nan	nan	nan	2.147964969399662402e-02	3.426694183651015930e-03	9.919829067970657999e-01	1.569648332097483721e-03	nan	nan	nan	nan	2.189699999999999980e-02	2.008551703575176262e-01	9.919799999999999729e-01	1.812598085749885608e-03	9.988980535683309370e+01	1.999999999999999833e-01	5.073201271531779799e-02	8.092927642901029048e-03	nan	0.000000000000000000e+00
7.000000000000000000e+00	8.155389570016427569e+01	2.301120369767659923e+01	nan	nan	nan	2.147701149871555568e-02	3.411413356783615531e-03	9.915233808343115740e-01	1.663927690095310481e-03	nan	nan	nan	nan	2.189800000000000080e-02	2.009981423112668364e-01	9.915199999999999569e-01	1.919538634120672785e-03	9.987625233591730023e+01	1.999999999999999833e-01	4.987109848108626370e-02	7.921030288287368715e-03	nan	0.000000000000000000e+00
8.000000000000000000e+00	1.016055895761123509e+02	2.574047199553039889e+01	nan	nan	nan	2.008650707394732393e-02	3.177911765813490157e-03	9.910638544306903386e-01	1.761873595528402371e-03	nan	nan	nan	nan	2.048300000000000121e-02	2.011448804675659285e-01	9.910600000000000520e-01	2.026479182491459745e-03	9.986269923996360376e+01	1.999999999999999833e-01	4.576324396035761494e-02	7.239744438226167374e-03	nan	0.000000000000000000e+00
9.000000000000000000e+00	1.234571873532771349e+02	2.871979018370820924e+01	nan	nan	nan	2.150497777520650119e-02	3.345441628917380193e-03	9.906043275862015385e-01	1.862884586958368392e-03	nan	nan	nan	nan	2.193100000000000604e-02	2.012878964371846158e-01	9.906000000000000361e-01	2.133419730862247139e-03	9.984914618152879484e+01	2.000000000000000111e-01	4.819666074381141752e-02	7.497151863697861136e-03	nan	0.000000000000000000e+00
