#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.210119606407204174e+01	9.508763991772076096e+00	-5.210119606407204174e+01	9.508763991772076096e+00	0.000000000000000000e+00	2.856037817188376848e-02	3.032093921863742922e-03	1.000136775141820200e+00	1.159564700185048477e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000140000000000029e+00	1.177473019257974183e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.855186098642231995e-02	8.338754052202364264e-03	1.428215654298587711e-01	3.476693420213930105e-310
5.500000000000000444e-01	-4.509945233587357905e+01	9.305961744554011261e+00	-4.509945233587357905e+01	9.305961744554011261e+00	0.000000000000000000e+00	2.855889976505324862e-02	2.954759930425339149e-03	1.000056495780821564e+00	1.189714543432070963e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000059999999999949e+00	1.240657062129659318e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.854148990307581457e-02	8.125325470167052075e-03	1.428027089146832462e-01	4.734044687462929574e-315
1.100000000000000089e+00	-3.809678405597809814e+01	9.155956955762736271e+00	-3.809678405597809814e+01	9.155956955762736271e+00	0.000000000000000000e+00	2.855691194509302200e-02	2.862782516402362625e-03	9.999812164457193564e-01	1.223610833856261142e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.999850000000000128e-01	1.303841105001344669e-03	0.000000000000000000e+00	2.000000000000000389e-01	8.266308359927461435e-02	8.285971097022001158e-03	1.502965156350447029e-01	4.737506941407978361e-315
1.650000000000000133e+00	-3.144326986255371281e+01	9.059320783488674422e+00	-3.144326986255371281e+01	9.059320783488674422e+00	0.000000000000000000e+00	2.855502605397238977e-02	2.789366474110521396e-03	9.999109371323195994e-01	1.260950485871119861e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	2.000000000000000111e-01	9.999149999999999983e-01	1.367025147873029804e-03	0.000000000000000000e+00	2.000000000000000389e-01	8.724362492923441736e-02	8.521288799190774449e-03	1.586247725986080770e-01	4.734044687462929574e-315
2.200000000000000178e+00	-2.513908430806627337e+01	9.006405045164521894e+00	-2.513908430806627337e+01	9.006405045164521894e+00	0.000000000000000000e+00	2.855298722457262628e-02	2.726436739813719885e-03	9.998246579276273138e-01	1.301409110354499960e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.998289999999999678e-01	1.430209190744715156e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.136995171155059714e-02	6.813990664315597995e-03	1.297635485664556387e-01	1.121529016059629655e-321
2.750000000000000000e+00	-1.743275991229135968e+01	8.989468427144975848e+00	-1.743275991229135968e+01	8.989468427144975848e+00	0.000000000000000000e+00	2.855079547404924117e-02	2.679161790460193177e-03	9.997423787526151795e-01	1.344726295567058322e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.997470000000000523e-01	1.493393233616400508e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.475666464783060905e-02	7.014016076947730827e-03	1.359212084506010998e-01	2.716154612435548563e-311
3.300000000000000266e+00	-1.007555634267008315e+01	9.019212736839717692e+00	-1.007555634267008315e+01	9.019212736839717692e+00	0.000000000000000000e+00	2.854865467871908410e-02	2.654411642229817254e-03	9.996590996284376862e-01	1.390627029508206608e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.996639999999999970e-01	1.556577276488085642e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.474483243778844155e-02	6.948557355327579163e-03	1.358996953414335351e-01	2.398560085912684741e-306
3.850000000000000533e+00	-2.717188117578729134e+00	9.091262403698642913e+00	-2.717188117578729134e+00	9.091262403698642913e+00	0.000000000000000000e+00	2.866611524212136358e-02	2.663158708730123739e-03	9.995648206077500930e-01	1.438847521501315698e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	1.619761319359770777e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.566453772426719682e-02	6.099379879989271815e-03	1.193900685895767783e-01	1.602165901629270728e-306
4.400000000000000355e+00	5.658717950769940330e+00	9.222523613607684467e+00	5.658717950769940330e+00	9.222523613607684467e+00	0.000000000000000000e+00	2.873767335028971914e-02	2.645401915654207754e-03	9.994625416833956555e-01	1.489161799468511054e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.994680000000000231e-01	1.682945362231456129e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.850825315638488733e-02	5.384903393741299893e-03	1.063786421025179618e-01	1.050216178675617814e-301
4.950000000000000178e+00	1.505910115021228535e+01	9.427052931732417207e+00	1.505910115021228535e+01	9.427052931732417207e+00	0.000000000000000000e+00	2.876671629332224270e-02	2.534895513982020690e-03	9.993622628046764378e-01	1.541375780011754616e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.993680000000000341e-01	1.746129405103141480e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.324647876085903730e-02	5.572043834712931201e-03	1.149935977470165210e-01	6.884189970358134056e-297
