#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-2.534243903707684353e+01	9.491625002049866922e+00	nan	nan	nan	3.042050522684850433e-01	3.344104975889687636e-02	9.985836936085721316e-01	1.134960598739173437e-03	nan	nan	nan	nan	3.661119999999999930e-01	2.000000000000000111e-01	9.986000000000000432e-01	1.168071780084747793e-03	7.036914285714290429e+01	2.000000000000000111e-01	6.121653605666991238e-01	6.729063807829956112e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	-2.370889348808617214e+01	9.459744911713713122e+00	nan	nan	nan	2.760373398592438354e-01	3.020376943952081047e-02	9.983801976972322967e-01	1.203571871697290806e-03	nan	nan	nan	nan	3.322499999999999343e-01	2.000000000000000111e-01	9.983999999999999542e-01	1.289702763673677239e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.293642676812981840e-01	5.791735089637602835e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	-2.181983511929947284e+01	9.426979373954528896e+00	nan	nan	nan	2.821166306304539462e-01	3.072299826137038156e-02	9.981767032000679052e-01	1.283909892304046368e-03	nan	nan	nan	nan	3.396090000000000497e-01	2.000000000000000111e-01	9.981999999999999762e-01	1.411333747262606469e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.266083742042831917e-01	5.734191817898774690e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	-1.992089076333281739e+01	9.398455601325110820e+00	nan	nan	nan	3.111480369990343164e-01	3.373919062514604827e-02	9.978732128014287106e-01	1.373763840948035667e-03	nan	nan	nan	nan	3.746009999999999618e-01	2.000000000000000111e-01	9.979000000000000092e-01	1.532964730851535916e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.718369232103921451e-01	6.199814149164429439e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	-1.817214044762073399e+01	9.376081672493814523e+00	nan	nan	nan	2.663659664848468944e-01	2.876219956154191931e-02	9.976697214830680949e-01	1.471613074125727779e-03	nan	nan	nan	nan	3.207260000000000666e-01	2.000000000000000111e-01	9.977000000000000313e-01	1.654595714440465146e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.864189401927506151e-01	5.251490465348802178e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	-1.611629944849406115e+01	9.354526081219592726e+00	nan	nan	nan	2.352567201358942706e-01	2.528763716649881643e-02	9.974662315788594968e-01	1.575848960756961754e-03	nan	nan	nan	nan	2.833090000000000330e-01	2.000000000000000111e-01	9.975000000000000533e-01	1.776226698029394592e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.145500822129644103e-01	4.455149414148268372e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	-1.370404567529067030e+01	9.335731433376679433e+00	nan	nan	nan	2.978722961858080165e-01	3.188869551480618542e-02	9.972627430887954780e-01	1.685272554614908932e-03	nan	nan	nan	nan	3.587650000000000006e-01	2.000000000000000111e-01	9.972999999999999643e-01	1.897857681618323822e-03	7.036914285714290429e+01	2.000000000000000111e-01	5.087410356879652484e-01	5.445194562515329878e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	-1.173840907464234640e+01	9.325565421015662437e+00	nan	nan	nan	2.653925098949128647e-01	2.831244607147075792e-02	9.970592560128688220e-01	1.798924050668499050e-03	nan	nan	nan	nan	3.196889999999998899e-01	2.000000000000000111e-01	9.970999999999999863e-01	2.019488665207253269e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.480090384450929886e-01	4.778340805407347430e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	-9.506311250297764914e+00	9.319580920034567839e+00	nan	nan	nan	2.630262626488741318e-01	2.796688709830712910e-02	9.967557747877907603e-01	1.915846481858648380e-03	nan	nan	nan	nan	3.168850000000000833e-01	2.000000000000000111e-01	9.968000000000000194e-01	2.141119648796182499e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.379870999590961267e-01	4.655862994855276826e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	-7.223138983138778002e+00	9.319523472278897103e+00	nan	nan	nan	2.529485099811387694e-01	2.681565689004591566e-02	9.965522908905849464e-01	2.035802818218984938e-03	nan	nan	nan	nan	3.047900000000001164e-01	2.000000000000000111e-01	9.966000000000000414e-01	2.262750632385111729e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.150499178369015940e-01	4.398893347193003067e-02	nan	0.000000000000000000e+00
1.800000000000000000e+01	-4.813790234892643127e+00	9.326047952366282701e+00	nan	nan	nan	2.711553931432418851e-01	2.867516270534763850e-02	9.962488135451477156e-01	2.157909131570186993e-03	nan	nan	nan	nan	3.267780000000000129e-01	2.000000000000000111e-01	9.962999999999999634e-01	2.384381615974041392e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.384691925344554875e-01	4.635613309263618420e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	-2.533128293241134088e+00	9.338389213885443851e+00	nan	nan	nan	2.313613528064976110e-01	2.441662946328544345e-02	9.960453328266283268e-01	2.282195079800821216e-03	nan	nan	nan	nan	2.788659999999998362e-01	2.000000000000000111e-01	9.960999999999999854e-01	2.506012599562970622e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.690425332926041135e-01	3.893554143582161203e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	1.765864680303721457e-01	9.360756672706660453e+00	nan	nan	nan	2.395681709877704457e-01	2.524348275658313406e-02	9.958418535222066659e-01	2.408140573050383208e-03	nan	nan	nan	nan	2.888079999999999536e-01	2.000000000000000111e-01	9.959000000000000075e-01	2.627643583151899852e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.775757795201823974e-01	3.977355237606862437e-02	nan	0.000000000000000000e+00
2.100000000000000000e+01	2.825061434488191026e+00	9.390604135331512836e+00	nan	nan	nan	2.383839076544187197e-01	2.509687314520768833e-02	9.955383818209251334e-01	2.535234195722554842e-03	nan	nan	nan	nan	2.874299999999996302e-01	2.000000000000000111e-01	9.956000000000000405e-01	2.749274566740829082e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.717516881350862445e-01	3.912567137555922336e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	5.515029044363906507e+00	9.428891211969705921e+00	nan	nan	nan	2.807911169193567091e-01	2.955565298665300406e-02	9.952349122346512145e-01	2.663494484067000217e-03	nan	nan	nan	nan	3.386170000000001679e-01	2.000000000000000111e-01	9.952999999999999625e-01	2.870905550329758745e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.336344548223052264e-01	4.562933561973977342e-02	nan	0.000000000000000000e+00
2.300000000000000000e+01	7.821118860058511757e+00	9.468026556648100112e+00	nan	nan	nan	2.536326334540030536e-01	2.670730010190483505e-02	9.950314378734009813e-01	2.793028577770626832e-03	nan	nan	nan	nan	3.059139999999995752e-01	2.000000000000000111e-01	9.950999999999999845e-01	2.992536533918687975e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.859661278619575531e-01	4.062890373170172792e-02	nan	0.000000000000000000e+00
2.400000000000000000e+01	1.041201979102739017e+01	9.518854473931105176e+00	nan	nan	nan	2.206819498533099111e-01	2.313294492434440214e-02	9.947279721666498764e-01	2.923144310126004654e-03	nan	nan	nan	nan	2.661780000000000257e-01	2.000000000000000111e-01	9.948000000000000176e-01	3.114167517507617205e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.310668479533880326e-01	3.469270514777023084e-02	nan	0.000000000000000000e+00
2.500000000000000000e+01	1.343255780678423861e+01	9.586733365848765231e+00	nan	nan	nan	2.107945719249929850e-01	2.179191770254489124e-02	9.945245009839820405e-01	3.054296138061173786e-03	nan	nan	nan	nan	2.541929999999998913e-01	2.000000000000000111e-01	9.946000000000000396e-01	3.235798501096546435e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.120493443966010916e-01	3.224877138901616896e-02	nan	0.000000000000000000e+00
2.600000000000000000e+01	1.663717918464249124e+01	9.667700414837728573e+00	nan	nan	nan	2.163342318435629297e-01	2.206256333428114128e-02	9.942210391567138927e-01	3.185782166697918773e-03	nan	nan	nan	nan	2.608110000000003481e-01	2.000000000000000111e-01	9.942999999999999616e-01	3.357429484685476098e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.162530929798318402e-01	3.224152843672528634e-02	nan	0.000000000000000000e+00
2.700000000000000000e+01	1.979920359546389363e+01	9.755952194792044452e+00	nan	nan	nan	2.450231999581435338e-01	2.468586154401654700e-02	9.939175794444007339e-01	3.317810819356014056e-03	nan	nan	nan	nan	2.953320000000001500e-01	2.000000000000000111e-01	9.939999999999999947e-01	3.479060468274405328e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.539480090896688913e-01	3.564741873603054223e-02	nan	0.000000000000000000e+00
2.800000000000000000e+01	2.262447729193681312e+01	9.841304222981513306e+00	nan	nan	nan	2.136230926017176068e-01	2.127127332079545297e-02	9.936141218470313508e-01	3.450309472967603378e-03	nan	nan	nan	nan	2.574259999999997106e-01	2.000000000000000111e-01	9.937000000000000277e-01	3.600691451863334558e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.060982322206622364e-01	3.046856425598414020e-02	nan	0.000000000000000000e+00
2.900000000000000000e+01	2.589140239877347227e+01	9.947057508176113672e+00	nan	nan	nan	2.195200845328604544e-01	2.160465841533420681e-02	9.934106573718791688e-01	3.583576749204854615e-03	nan	nan	nan	nan	2.644679999999999254e-01	2.000000000000000389e-01	9.935000000000000497e-01	3.722322435452263788e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.116984570160218904e-01	3.066569936587288173e-02	nan	0.000000000000000000e+00
3.000000000000000000e+01	2.909963130556141664e+01	1.005770255908838173e+01	nan	nan	nan	2.188559037332706292e-01	2.130843680014743100e-02	9.931072036539112524e-01	3.716851428104863374e-03	nan	nan	nan	nan	2.636039999999999495e-01	2.000000000000000389e-01	9.931999999999999718e-01	3.843953419041193451e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.074059413576630262e-01	2.991927456827173093e-02	nan	0.000000000000000000e+00
3.100000000000000000e+01	3.235265886769467869e+01	1.017619946905302974e+01	nan	nan	nan	2.413596067091553776e-01	2.327722233509616975e-02	9.928037520508552483e-01	3.850434663073796625e-03	nan	nan	nan	nan	2.906409999999999272e-01	2.000000000000000389e-01	9.929000000000000048e-01	3.965584402630122247e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.356347294858079144e-01	3.235792919002058315e-02	nan	0.000000000000000000e+00
3.200000000000000000e+01	3.533208832522429077e+01	1.028985727816400164e+01	nan	nan	nan	2.336258816175836028e-01	2.234331911598720632e-02	9.925003025626999431e-01	3.984286493151492810e-03	nan	nan	nan	nan	2.812640000000001805e-01	2.000000000000000389e-01	9.926000000000000378e-01	4.087215386219052345e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.218059788462931392e-01	3.076601637561221167e-02	nan	0.000000000000000000e+00
