#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-6.091306131717131933e+01	9.683012937602725856e+00	-6.091306131717131933e+01	9.683012937602725856e+00	0.000000000000000000e+00	1.414056348370484328e-01	1.780160188468923876e-02	9.998194991511469842e-01	2.545615346669357487e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	2.000000000000000389e-01	9.995499999999999385e-01	2.609442654560748497e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.413801109999277550e-01	1.778563216963804233e-02	1.413801109999277272e-01	0.000000000000000000e+00
1.000000000000000000e+00	-5.383993064180700827e+01	9.484066033844877452e+00	-5.383993064180700827e+01	9.484066033844877452e+00	0.000000000000000000e+00	1.422369825921133701e-01	1.722944164848063189e-02	9.995817311554732187e-01	2.927907456971614621e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	2.000000000000000389e-01	9.992449999999999388e-01	3.078327963682237801e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.421774892937555934e-01	1.720582333837168340e-02	1.421774892937556489e-01	7.703601800900623857e+02
2.000000000000000000e+00	-4.680646841816427184e+01	9.358121482514931699e+00	-4.680646841816427184e+01	9.358121482514931699e+00	0.000000000000000000e+00	1.430734803143900724e-01	1.686981943517252766e-02	9.993289205337850811e-01	3.344174272763783453e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999997995e-02	2.000000000000000389e-01	9.989250000000000629e-01	3.547213272803727974e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.429774666395911831e-01	1.683843667101001668e-02	1.429774666395911831e-01	0.000000000000000000e+00
3.000000000000000000e+00	-3.981235932179359338e+01	9.299080960579496846e+00	-3.981235932179359338e+01	9.299080960579496846e+00	0.000000000000000000e+00	1.439151763244726490e-01	1.674516109237777009e-02	9.990560618917516678e-01	3.783063194274566624e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	2.000000000000000111e-01	9.985850000000000559e-01	4.016098581925217278e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.437793293051846943e-01	1.670582093460051473e-02	nan	7.712606303151669636e+02
4.000000000000000000e+00	-3.285725663191103507e+01	9.302554079687977762e+00	nan	nan	nan	1.447621195481355039e-01	1.686956956447682385e-02	9.987681538781399970e-01	4.237427289212713014e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000111e-01	9.982299999999999507e-01	4.484983891046707451e-03	6.320744746828250271e+01	2.000000000000000111e-01	1.445837948925778882e-01	1.682213420533748213e-02	nan	7.717108554277092480e+02
5.000000000000000000e+00	-2.594085219846139267e+01	9.366101747980689396e+00	nan	nan	nan	1.454093596595804616e-01	1.641853382472402076e-02	9.984651934563811837e-01	4.702652702234167391e-03	nan	nan	nan	nan	8.742999999999995220e-02	2.000000000000000111e-01	9.978599999999999692e-01	4.953869200168196756e-03	6.316642422527470302e+01	2.000000000000000111e-01	1.451861844228715115e-01	1.636269402829869032e-02	nan	7.721610805402656297e+02
6.000000000000000000e+00	-1.905314450109960234e+01	9.480356113097293758e+00	nan	nan	nan	1.460029689455096535e-01	1.597268312584385064e-02	9.981421742201007641e-01	5.175657910223166978e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000389e-01	9.974699999999999678e-01	5.422754509289686928e-03	6.318423809042329964e+01	2.000000000000000111e-01	1.457317208658608643e-01	1.590823380181522265e-02	nan	7.726113056528218976e+02
7.000000000000000000e+00	-1.219122045286542999e+01	9.634908814192259641e+00	nan	nan	nan	1.465992410984540972e-01	1.578235515898395933e-02	9.977990921210273534e-01	5.654352021802289650e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000389e-01	9.970600000000000573e-01	5.891639818411176233e-03	6.316129083130520172e+01	2.000000000000000111e-01	1.462765896736691051e-01	1.570914177759783273e-02	nan	7.730615307653781656e+02
8.000000000000000000e+00	-5.354856532767776400e+00	9.823148242117364148e+00	nan	nan	nan	1.471982011807502488e-01	1.586368330996932446e-02	9.974359431103432261e-01	6.137266015794129621e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.966300000000000159e-01	6.360525127532666405e-03	6.315271734726250230e+01	2.000000000000000111e-01	1.468207766188676655e-01	1.578149758987192411e-02	nan	7.735117558779345472e+02
9.000000000000000000e+00	1.456168602972390147e+00	1.004144850607809936e+01	nan	nan	nan	1.476945088250353200e-01	1.577776106058188799e-02	9.970627318993838806e-01	6.623406203407886973e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.961900000000000199e-01	6.829410436654155710e-03	6.314760060585710022e+01	2.000000000000000111e-01	1.472606904556273688e-01	1.568657355406668716e-02	nan	7.739619809904908152e+02
