#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.397289369511933899e+01	3.941163262554837843e+00	nan	nan	nan	3.032090194769811176e-02	1.122572402634250009e-03	9.997797638132620568e-01	1.006769916532883249e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000389e-01	9.997854999999999936e-01	1.039832062121508974e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.856782062914041687e-02	2.907619415872358427e-03	nan	1.278413939801005188e-311
1.000000000000000000e+00	-4.124503651399364657e+01	3.966756998457112715e+00	nan	nan	nan	2.992073477173405605e-02	6.933630654866782634e-04	9.996588853962286025e-01	1.090182562199168599e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.996665000000000134e-01	1.176172168941943185e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.588061896038512943e-02	1.756288095718672084e-03	nan	1.278455617653213641e-311
2.000000000000000000e+00	-2.806644079745016285e+01	4.009456323504621444e+00	nan	nan	nan	2.951737912696616312e-02	4.896828461331584033e-04	9.995380074301019047e-01	1.187350353131270747e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000944e-01	9.995475000000000332e-01	1.312512275762377180e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.328582675167022442e-02	1.212583260142315175e-03	nan	0.000000000000000000e+00
3.000000000000000000e+00	-1.442123756615538355e+01	4.033875221149634704e+00	nan	nan	nan	2.905532905370124264e-02	6.417907899604095249e-04	9.994166299205690107e-01	1.295167482748631497e-03	nan	nan	nan	nan	2.677527900000002681e-02	2.000000000000001221e-01	9.994279999999999831e-01	1.448852382582811391e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.064474251458333076e-02	1.557863461779530239e-03	nan	3.359476471316131709e-239
4.000000000000000000e+00	-2.659025135353232372e-01	4.041211100079586060e+00	nan	nan	nan	2.819318025478292217e-02	3.876554081457956311e-04	9.992932528903326617e-01	1.411180797430359535e-03	nan	nan	nan	nan	2.677512720689079195e-02	2.000000000000001776e-01	9.993065000000000975e-01	1.585192489403245385e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.714882523351888011e-02	9.186589343968369625e-04	nan	0.000000000000000000e+00
5.000000000000000000e+00	1.462639078455839581e+01	4.033879023671753217e+00	nan	nan	nan	2.710378594132167168e-02	4.236132439681707367e-04	9.991668763658057006e-01	1.533517297402003064e-03	nan	nan	nan	nan	2.654759231145342735e-02	2.000000000000002331e-01	9.991820000000000146e-01	1.721532596223679596e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.325478733912946738e-02	9.841130812211086164e-04	nan	1.383136775532569700e-319
6.000000000000000000e+00	3.043547088846698045e+01	3.999343155180778098e+00	nan	nan	nan	2.589926033237813924e-02	6.778112676098117578e-04	9.990375003639043738e-01	1.660767677761499760e-03	nan	nan	nan	nan	2.618884883834321498e-02	2.000000000000002887e-01	9.990544999999999565e-01	1.857872703044113590e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.924468240962859483e-02	1.547534196367049940e-03	nan	6.558983239778239054e-312
7.000000000000000000e+00	4.731462289549128286e+01	3.958716537510229116e+00	nan	nan	nan	2.581594348714491560e-02	4.569538628227148196e-04	9.989046249109925224e-01	1.791872372351826581e-03	nan	nan	nan	nan	2.607126267520479268e-02	2.000000000000002609e-01	9.989235000000000753e-01	1.994212809864547801e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.789998827825407895e-02	1.019772016823098206e-03	nan	4.172081388566313482e-308
8.000000000000000000e+00	6.458578355953544303e+01	3.953427059129392074e+00	nan	nan	nan	2.590694448092455485e-02	3.111587516247318734e-04	9.987497504111455537e-01	1.925996707262530574e-03	nan	nan	nan	nan	2.608738613997421685e-02	2.000000000000002054e-01	9.987705000000000055e-01	2.130552916684981795e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.698460117307964368e-02	6.756827927457754231e-04	nan	9.310282856084863929e-315
9.000000000000000000e+00	8.213438404833583206e+01	3.954111437048667632e+00	nan	nan	nan	2.638843257036072726e-02	4.134871443316178179e-04	9.985653771583332672e-01	2.062509748644473367e-03	nan	nan	nan	nan	2.649439814204726518e-02	2.000000000000001776e-01	9.985880000000000312e-01	2.266893023505416223e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.694103308776080064e-02	8.843980796493639256e-04	nan	0.000000000000000000e+00
