#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	6.935135957073966040e+01	9.101410963716897840e+00	nan	nan	nan	7.191624552527450809e-02	6.976942065325781109e-03	9.941361471196099586e-01	2.254083892583616435e-03	nan	nan	nan	nan	6.439430000000000154e-02	2.002707351859528695e-01	9.940799999999999637e-01	2.330560856230146430e-03	8.963249999999999318e+01	2.000000000000000111e-01	1.229446710880906513e-01	1.191741360672673999e-02	nan	1.278468972358291434e-311
1.900000000000000000e+01	7.748509966008028016e+01	8.868442194482017982e+00	nan	nan	nan	7.531101297501908987e-02	7.136842708418950250e-03	9.940306433745580428e-01	2.447683779103979659e-03	nan	nan	nan	nan	6.738280000000000658e-02	2.003717524740034894e-01	9.939700000000000202e-01	2.624620776172198380e-03	8.965070000000000050e+01	2.000000000000000389e-01	1.256703570451889185e-01	1.189699716998952189e-02	nan	1.278467841382740226e-311
2.000000000000000000e+01	8.544242566370114389e+01	8.699087991553044574e+00	nan	nan	nan	6.381823826254037768e-02	5.983185079387811668e-03	9.938951366871132675e-01	2.667953609221772673e-03	nan	nan	nan	nan	5.705279999999998686e-02	2.004815150904429022e-01	9.938299999999999912e-01	2.918680696114249896e-03	8.966030000000000655e+01	2.000000000000000389e-01	1.051288268363189116e-01	9.844557775712130254e-03	nan	0.000000000000000000e+00
2.100000000000000000e+01	9.495456453268099040e+01	8.572762415091876420e+00	nan	nan	nan	7.832281964517327777e-02	7.288771366034451325e-03	9.937496280510033086e-01	2.908833889376836925e-03	nan	nan	nan	nan	6.996760000000001867e-02	2.006063686572186755e-01	9.936800000000000077e-01	3.212740616056301846e-03	8.966280000000000427e+01	2.000000000000000389e-01	1.277836436102602891e-01	1.187572319127289805e-02	nan	8.250000000000000666e-01
2.200000000000000000e+01	1.027802922373158339e+02	8.531194846924520903e+00	nan	nan	nan	8.597628427018796926e-02	7.601337861487437488e-03	9.935941173303237672e-01	3.165580255508763322e-03	nan	nan	nan	nan	7.677929999999999477e-02	2.007819318870954217e-01	9.935199999999999587e-01	3.506800535998353362e-03	8.970000000000000284e+01	2.000000000000000389e-01	1.385051271803634798e-01	1.222556644356349517e-02	nan	1.000059999999999949e+00
2.300000000000000000e+01	1.100002415659625967e+02	8.534057794813454834e+00	nan	nan	nan	7.610614601550058644e-02	6.445658613099689883e-03	9.934386051804761086e-01	3.434627662861267170e-03	nan	nan	nan	nan	6.794200000000000239e-02	2.009620227240601908e-01	9.933600000000000207e-01	3.800860455940405312e-03	8.971769999999999357e+01	2.000000000000000389e-01	1.218287228037759490e-01	1.029808108193210406e-02	nan	8.438818000000000491e-05
2.400000000000000000e+01	1.182084865264770031e+02	8.576891735868670708e+00	nan	nan	nan	7.093866057524624014e-02	5.815835712831998391e-03	9.932730907648454899e-01	3.713238436943888839e-03	nan	nan	nan	nan	6.330510000000000304e-02	2.011617343374522693e-01	9.931900000000000173e-01	4.094920375882457261e-03	8.971939999999999316e+01	2.000000000000000389e-01	1.124262449748188869e-01	9.196535020686518944e-03	nan	1.375000000000000000e+00
2.500000000000000000e+01	1.271032067959654910e+02	8.662900664006647489e+00	nan	nan	nan	8.034719208254161027e-02	6.500938781088908339e-03	9.930575704199089415e-01	3.999211186641471287e-03	nan	nan	nan	nan	7.167479999999998297e-02	2.013578255937173711e-01	9.929700000000000193e-01	4.388980295824508777e-03	8.972740000000000293e+01	2.000000000000000111e-01	1.267073423165921697e-01	1.022663598955554469e-02	nan	9.999850000000000128e-01
2.600000000000000000e+01	1.349954092659801290e+02	8.769228625583503245e+00	nan	nan	nan	7.359483023898129306e-02	5.994646952368220920e-03	9.928420481021835720e-01	4.291179796466460493e-03	nan	nan	nan	nan	6.562740000000000240e-02	2.015514223947420525e-01	9.927500000000000213e-01	4.683040215766560294e-03	8.973749999999999716e+01	2.000000000000000111e-01	1.152776424233765834e-01	9.365436595771112552e-03	nan	1.687763600000000098e-04
2.700000000000000000e+01	1.436701182466455293e+02	8.916836808460613994e+00	nan	nan	nan	6.622837147521513923e-02	5.216587141799752456e-03	9.926265238116558365e-01	4.587969006183995925e-03	nan	nan	nan	nan	5.905320000000002789e-02	2.017539699552063637e-01	9.925300000000000233e-01	4.977100135708612677e-03	8.974370000000000402e+01	2.000000000000000111e-01	1.023431781712897948e-01	8.037240108173370617e-03	nan	1.925000000000000266e+00
