#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
3.599999999999999867e-01	-5.600000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	2.170878894056573194e-01	5.357430983958428455e-03	1.000136620647952279e+00	1.277376557482659027e-02	nan	nan	nan	nan	2.144000000000000072e-01	9.226991009338704475e-02	9.999014777056945968e-01	1.311503413246416921e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.505040591757427659e-01	1.005415271935129751e-02	nan	1.278413939801005188e-311
1.359999999999999876e+00	-5.378026417380204549e+01	4.953909412945719376e-02	nan	nan	nan	2.170878894056573472e-01	5.357430983958429323e-03	9.999555422586466902e-01	1.262899288654950949e-02	nan	nan	nan	nan	2.144000000000000350e-01	9.226991009338704475e-02	9.997869168983627430e-01	1.316728205552916871e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.361722901931952556e-01	9.688587427545384753e-03	nan	1.278471704723129094e-311
2.359999999999999876e+00	-5.148759216669891714e+01	1.004617925372458809e-01	nan	nan	nan	2.170878894056572639e-01	5.357430983958426721e-03	9.997744835274322561e-01	1.249571996491477544e-02	nan	nan	nan	nan	2.143999999999999517e-01	9.226991009338704475e-02	9.996723560910307782e-01	1.321952997859416820e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.227465660644122436e-01	9.348970119107411283e-03	nan	4.816606548299279211e+01
3.359999999999999432e+00	-4.912210872987395049e+01	1.527621359217604669e-01	nan	nan	nan	2.171543212889405772e-01	5.171368385595803523e-03	9.995934444524957607e-01	1.237430399682964283e-02	nan	nan	nan	nan	2.143999999999999240e-01	9.227258121964644622e-02	9.995577952836989244e-01	1.327177790165916596e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.102970932488971822e-01	8.643340942099172336e-03	nan	4.811564895159887101e+01
4.359999999999999432e+00	-4.668485042009261576e+01	2.040790404819533832e-01	nan	nan	nan	2.179365821476841325e-01	4.983556659864934492e-03	9.994124250320236547e-01	1.226508261422246636e-02	nan	nan	nan	nan	2.150974999999998305e-01	9.227561816055210309e-02	9.994432344763670706e-01	1.332402582472416545e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.999801084116816896e-01	7.964490315396997866e-03	nan	4.814679580564319394e+01
5.359999999999999432e+00	-4.418472609148289365e+01	2.537817702998367841e-01	nan	nan	nan	2.204491051969653115e-01	4.837398333971061441e-03	9.992314252642023886e-01	1.216836958440284562e-02	nan	nan	nan	nan	2.175000000000000266e-01	9.227871999694439720e-02	9.993286736690351058e-01	1.337627374778916321e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.934948453031025251e-01	7.385461378100447935e-03	nan	4.824298803511948108e+01
6.359999999999999432e+00	-4.164339674006606629e+01	3.013034748501248195e-01	nan	nan	nan	2.205291459995568915e-01	4.642473629528829498e-03	9.990504451472191905e-01	1.208445052769085808e-02	nan	nan	nan	nan	2.175000000000000266e-01	9.228188915686312555e-02	9.992141128617032519e-01	1.342852167085416271e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.834304350680425855e-01	6.765257418900602789e-03	nan	4.831045328114743143e+01
7.359999999999999432e+00	-3.903536172630263934e+01	3.469895346480609266e-01	nan	nan	nan	2.206112536145324321e-01	4.456029683088538230e-03	9.988661637705704699e-01	1.201353883886065003e-02	nan	nan	nan	nan	2.175000000000000266e-01	9.228513895582642068e-02	9.990962303807834344e-01	1.348076959391916047e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.744245292404508874e-01	6.194825608476900100e-03	nan	4.830537646325973355e+01
8.359999999999999432e+00	-3.636459653357186994e+01	3.906137923059968542e-01	nan	nan	nan	2.206816644410986572e-01	4.281048078582649907e-03	9.986488121192474976e-01	1.195549587018902675e-02	nan	nan	nan	nan	2.174865999999999189e-01	9.228846270746436653e-02	9.989452477139347808e-01	1.353301751698415996e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.667722720193051789e-01	5.680888836236267989e-03	nan	4.825049536843857823e+01
9.359999999999997655e+00	-3.363810907448890930e+01	4.319391609818189481e-01	nan	nan	nan	2.205778707533326832e-01	4.118282630389390013e-03	9.984314849551909621e-01	1.191089803242651249e-02	nan	nan	nan	nan	2.173000000000002707e-01	9.229184920016049454e-02	9.987942650470861272e-01	1.358526544004915945e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.608934228004815892e-01	5.232267383540668490e-03	nan	4.817471330799600082e+01
