#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.988597895580951302e+01	9.974601509400143229e+00	nan	nan	nan	2.150590501610209759e-02	3.637587758967202305e-03	9.947300889389237843e-01	2.279867785251443821e-03	nan	nan	nan	nan	2.188800000000000121e-02	2.001851711143585455e-01	9.947300000000000031e-01	2.358183414633052526e-03	9.995369456253919793e+01	2.000000000000000389e-01	5.585527626469787010e-02	9.447744529903054703e-03	nan	1.326265080879433975e-311
1.000000000000000000e+00	-3.198256737368779667e+01	1.030834065301959335e+01	nan	nan	nan	2.150096952954709539e-02	3.547572344018578520e-03	9.942715397780668152e-01	2.260048536698120152e-03	nan	nan	nan	nan	2.188899999999999527e-02	2.002876835411847856e-01	9.942699999999999871e-01	2.464976436845125844e-03	9.993837724881490203e+01	2.000000000000000389e-01	5.509742804346413891e-02	9.090904730249840110e-03	nan	1.326306863426129044e-311
2.000000000000000000e+00	-1.383289985724510274e+01	1.143718645969326886e+01	nan	nan	nan	2.149693036115800371e-02	3.487486586410070821e-03	9.938129892768237106e-01	2.249183577184708967e-03	nan	nan	nan	nan	2.189100000000000767e-02	2.003916995261768585e-01	9.938099999999999712e-01	2.571769459057199163e-03	9.992305993509050666e+01	2.000000000000000389e-01	5.422316909263488055e-02	8.796651413190708160e-03	nan	2.384315207366023515e+01
3.000000000000000000e+00	4.609401039841891645e+00	1.314652518826982863e+01	nan	nan	nan	2.149181558031115769e-02	3.459973175803548670e-03	9.933644374798626941e-01	2.247400238133815710e-03	nan	nan	nan	nan	2.189199999999999480e-02	2.004973528005332128e-01	9.933600000000000207e-01	2.678562481269272481e-03	9.991064966745740605e+01	2.000000000000000111e-01	5.337301323589185853e-02	8.592336825410423068e-03	nan	2.384585560261177761e+01
4.000000000000000000e+00	2.334546144513165444e+01	1.524692029754791456e+01	nan	nan	nan	2.148758121166004578e-02	3.467730996371839666e-03	9.929058843124308753e-01	2.254650063415414817e-03	nan	nan	nan	nan	2.189399999999999680e-02	2.006047777587562364e-01	9.929000000000000048e-01	2.785355503481345800e-03	9.991588896877080117e+01	2.000000000000000111e-01	5.242050571178991092e-02	8.459460570571083679e-03	nan	2.384988529889244546e+01
5.000000000000000000e+00	4.242196569516772087e+01	1.762353798378660841e+01	nan	nan	nan	2.148229708987499376e-02	3.510316205937103612e-03	9.924473298046041503e-01	2.270844095454693356e-03	nan	nan	nan	nan	2.189499999999999780e-02	2.007143327820301859e-01	9.924399999999999888e-01	2.892148525693419119e-03	9.990335845278690385e+01	2.000000000000000111e-01	5.149770141283974839e-02	8.414553461466859480e-03	nan	2.384653911620989675e+01
6.000000000000000000e+00	6.184030811754762880e+01	2.021298569971895631e+01	nan	nan	nan	2.148240635545427615e-02	3.403121475288678043e-03	9.919887739563792994e-01	2.295768504592662906e-03	nan	nan	nan	nan	2.189699999999999980e-02	2.008504161925358522e-01	9.919799999999999729e-01	2.998941547905492437e-03	9.988980535683309370e+01	2.000000000000000111e-01	5.073882367185671149e-02	8.037198854706568280e-03	nan	2.384951840669350531e+01
7.000000000000000000e+00	8.154908194461350490e+01	2.288710822567989922e+01	nan	nan	nan	2.148150483439691810e-02	3.331535558791559517e-03	9.915302167677537692e-01	2.329118841679273834e-03	nan	nan	nan	nan	2.189800000000000080e-02	2.009886754929940955e-01	9.915199999999999569e-01	3.105734570117566189e-03	9.987625233591730023e+01	2.000000000000000111e-01	4.988187621767476571e-02	7.735425164861115845e-03	nan	2.384698295073712870e+01
8.000000000000000000e+00	1.015964433477049909e+02	2.560887933946848705e+01	nan	nan	nan	2.009156255806893859e-02	3.086284527464713302e-03	9.910716582387244511e-01	2.370515761013816322e-03	nan	nan	nan	nan	2.048300000000000121e-02	2.011343540120119067e-01	9.910600000000000520e-01	3.212527592329639508e-03	9.986269923996360376e+01	2.000000000000000111e-01	4.577512234720104017e-02	7.030813031096413111e-03	nan	2.384459664585631344e+01
9.000000000000000000e+00	1.234423707581239285e+02	2.855810324753890228e+01	nan	nan	nan	2.150987170289088077e-02	3.318963693330890825e-03	9.906130983692884584e-01	2.419523036751314044e-03	nan	nan	nan	nan	2.193100000000000604e-02	2.012824398837529949e-01	9.906000000000000361e-01	3.319320614541712827e-03	9.984914618152879484e+01	2.000000000000000111e-01	4.820805577630456890e-02	7.437574557164788012e-03	nan	2.384170122399564207e+01
1.000000000000000000e+01	1.441857918294944056e+02	3.134413433353915934e+01	nan	nan	nan	2.213164789629505635e-02	3.475622800555160184e-03	9.901545371594429046e-01	2.475666062662973833e-03	nan	nan	nan	nan	2.256700000000000372e-02	2.014257959192779224e-01	9.901400000000000201e-01	3.426113636753786145e-03	9.983714254466849525e+01	2.000000000000000111e-01	4.880568280474786164e-02	7.663572468758693759e-03	nan	2.383400210207537384e+01
