#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.989319381058099623e+01	9.974784679584637104e+00	nan	nan	nan	2.151556451686063853e-02	3.645911649981546827e-03	9.947300848451856581e-01	1.133061156974894549e-03	nan	nan	nan	nan	2.188800000000000121e-02	2.000924445871034574e-01	9.947300000000000031e-01	1.170954795525162980e-03	9.995369456253919793e+01	2.000000000000000111e-01	5.588036375286905416e-02	9.469061017355008894e-03	nan	3.476693420212349095e-310
1.000000000000000000e+00	-3.199781996472522039e+01	1.031067623361864882e+01	nan	nan	nan	2.150953144704152026e-02	3.585715982336785002e-03	9.942705583367225097e-01	1.184381962197782363e-03	nan	nan	nan	nan	2.188899999999999527e-02	2.001933333628519163e-01	9.942699999999999871e-01	1.277895343895950157e-03	9.993837724881490203e+01	2.000000000000000111e-01	5.511931402425583604e-02	9.188402675208000650e-03	nan	3.476693420212349095e-310
2.000000000000000000e+00	-1.385535905601471995e+01	1.145297963152020770e+01	nan	nan	nan	2.150437950371471979e-02	3.589646457740646758e-03	9.938110313903258941e-01	1.246153138099993091e-03	nan	nan	nan	nan	2.189100000000000767e-02	2.002957018825427815e-01	9.938099999999999712e-01	1.384835892266737334e-03	9.992305993509050666e+01	2.000000000000000111e-01	5.424185171064900557e-02	9.054151609070547335e-03	nan	4.728309810597514388e-315
3.000000000000000000e+00	4.580589726384161509e+00	1.321061101385186554e+01	nan	nan	nan	2.149946376081215277e-02	3.533597814558950972e-03	9.933615040211364322e-01	1.316885159618324044e-03	nan	nan	nan	nan	2.189199999999999480e-02	2.004253855791798544e-01	9.933600000000000207e-01	1.491776440637524511e-03	9.991064966745740605e+01	2.000000000000000111e-01	5.339184914272069454e-02	8.775052583689978494e-03	nan	4.728309810597514388e-315
4.000000000000000000e+00	2.331004030838066399e+01	1.536636985098821562e+01	nan	nan	nan	2.149601876801785633e-02	3.489688378072729278e-03	9.929019762036344066e-01	1.395161210593545654e-03	nan	nan	nan	nan	2.189399999999999680e-02	2.005685923885580924e-01	9.929000000000000048e-01	1.598716989008311471e-03	9.991588896877080117e+01	2.000000000000000111e-01	5.244088332991485996e-02	8.512960442782026294e-03	nan	1.121529016059629655e-321
5.000000000000000000e+00	4.237913175958341583e+01	1.776507048501258978e+01	nan	nan	nan	2.149149659204958873e-02	3.518207280467080741e-03	9.924424479481980255e-01	1.479765820694951741e-03	nan	nan	nan	nan	2.189499999999999780e-02	2.007143411306617498e-01	9.924399999999999888e-01	1.705657537379098648e-03	9.990335845278690385e+01	1.999999999999999833e-01	5.151950117846389177e-02	8.433461301799670060e-03	nan	2.716154612435548563e-311
6.000000000000000000e+00	6.178925757846495515e+01	2.034030782547848304e+01	nan	nan	nan	2.149003402868876478e-02	3.428874478417197509e-03	9.919829192548267338e-01	1.569648366647739173e-03	nan	nan	nan	nan	2.189699999999999980e-02	2.008551703575176262e-01	9.919799999999999729e-01	1.812598085749885825e-03	9.988980535683309370e+01	1.999999999999999833e-01	5.075653973967678145e-02	8.098077413713652278e-03	nan	2.398560085912684741e-306
7.000000000000000000e+00	8.149115225309920163e+01	2.300515421307665775e+01	nan	nan	nan	2.148756779024245736e-02	3.413632891952639130e-03	9.915233901235203096e-01	1.663927716613986625e-03	nan	nan	nan	nan	2.189800000000000080e-02	2.009981423112668364e-01	9.915199999999999569e-01	1.919538634120672785e-03	9.987625233591730023e+01	1.999999999999999833e-01	4.989561138381770622e-02	7.926184389797367308e-03	nan	1.602165901629270728e-306
8.000000000000000000e+00	1.015329950578217648e+02	2.573341250658435797e+01	nan	nan	nan	2.009653424375501193e-02	3.180023180351544600e-03	9.910638605542788637e-01	1.761873613018591356e-03	nan	nan	nan	nan	2.048300000000000121e-02	2.011448804675659285e-01	9.910600000000000520e-01	2.026479182491459745e-03	9.986269923996360376e+01	1.999999999999999833e-01	4.578608922155657374e-02	7.244555046611406320e-03	nan	1.050216178675617814e-301
9.000000000000000000e+00	1.233736898409261045e+02	2.871167003752670155e+01	nan	nan	nan	2.151585341114155628e-02	3.347719529443905252e-03	9.906043305471011751e-01	1.862884594480541164e-03	nan	nan	nan	nan	2.193100000000000604e-02	2.012878964371846158e-01	9.906000000000000361e-01	2.133419730862247139e-03	9.984914618152879484e+01	2.000000000000000111e-01	4.822103521378607455e-02	7.502257216439732479e-03	nan	6.884189970358134056e-297
