#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.504352454666037175e+01	9.999975498195940560e+00	-5.504352454666037175e+01	9.999975498195940560e+00	0.000000000000000000e+00	3.126036422315407737e-02	6.250547273778920068e-03	1.000141628993332032e+00	1.159679529733597747e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000140000000000029e+00	1.177473019257974183e-03	0.000000000000000000e+00	2.000000000000000389e-01	8.597826287020589320e-02	1.719174413945239593e-02	1.563241143094652175e-01	1.470823518570222215e-311
5.500000000000000444e-01	-4.864655882951988275e+01	1.008138687413337919e+01	-4.864655882951988275e+01	1.008138687413337919e+01	0.000000000000000000e+00	3.126279799457531983e-02	6.224423132783457602e-03	1.000061940684753070e+00	1.189857930026487791e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000059999999999949e+00	1.240657062129659318e-03	0.000000000000000000e+00	2.000000000000000389e-01	8.597810567075425681e-02	1.711854472869311222e-02	1.563238284922803534e-01	1.470864951397490532e-311
1.100000000000000089e+00	-4.224958141638428799e+01	1.032047437344749419e+01	-4.224958141638428799e+01	1.032047437344749419e+01	0.000000000000000000e+00	3.126607086541400432e-02	6.197825237735355396e-03	9.999872523376447386e-01	1.223785930947172453e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.999850000000000128e-01	1.303841105001344669e-03	0.000000000000000000e+00	2.000000000000000389e-01	9.050577440216363290e-02	1.794116028346749020e-02	1.645559534584794537e-01	0.000000000000000000e+00
1.650000000000000133e+00	-3.617262109387417723e+01	1.068188749697194595e+01	-3.617262109387417723e+01	1.068188749697194595e+01	0.000000000000000000e+00	3.126917644161665566e-02	6.181742563649823483e-03	9.999175639566839635e-01	1.261159974531406505e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	2.000000000000000111e-01	9.999149999999999983e-01	1.367025147873029804e-03	0.000000000000000000e+00	2.000000000000000389e-01	9.553674985236501604e-02	1.888746648683732599e-02	1.737031815497545317e-01	0.000000000000000000e+00
2.200000000000000178e+00	-3.041567415094460358e+01	1.113204111307099531e+01	-3.041567415094460358e+01	1.113204111307099531e+01	0.000000000000000000e+00	3.127253444549518008e-02	6.174469409858841448e-03	9.998318754861523772e-01	1.301655232992262289e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.998289999999999678e-01	1.430209190744715156e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.816819191461185645e-02	1.543391115567052836e-02	1.421239852992943475e-01	0.000000000000000000e+00
2.750000000000000000e+00	-2.337956411016484282e+01	1.180574675706619203e+01	-2.337956411016484282e+01	1.180574675706619203e+01	0.000000000000000000e+00	3.127614498404336640e-02	6.178419618706859281e-03	9.997501869748391945e-01	1.345010911830255181e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.997470000000000523e-01	1.493393233616400508e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.189328893779113105e-02	1.617791254630593020e-02	1.488968889778019278e-01	0.000000000000000000e+00
3.300000000000000266e+00	-1.666350706649428304e+01	1.255642675094942895e+01	-1.666350706649428304e+01	1.255642675094942895e+01	0.000000000000000000e+00	3.127967225258335149e-02	6.194038217794562567e-03	9.996674984089876093e-01	1.390951661687558341e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.996639999999999970e-01	1.556577276488085642e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.189575062410106576e-02	1.621749162343064099e-02	1.489013647710927535e-01	0.000000000000000000e+00
3.850000000000000533e+00	-9.947651899301504841e+00	1.339486538248806902e+01	-9.947651899301504841e+00	1.339486538248806902e+01	0.000000000000000000e+00	3.141467480497613096e-02	6.249607133320317365e-03	9.995738097495484586e-01	1.439213401469622037e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	1.619761319359770777e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.196122085427107684e-02	1.431627209387600561e-02	1.308385833714020563e-01	0.000000000000000000e+00
4.400000000000000355e+00	-2.304646493462065848e+00	1.443792136813150684e+01	-2.304646493462065848e+00	1.443792136813150684e+01	0.000000000000000000e+00	3.148955523744798729e-02	6.280784580062780120e-03	9.994721209986021648e-01	1.489569918401629318e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.994680000000000231e-01	1.682945362231456129e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.411154116643774659e-02	1.278779308896006196e-02	1.165664384844322943e-01	0.000000000000000000e+00
4.950000000000000178e+00	6.274152112738399012e+00	1.569853040992603788e+01	6.274152112738399012e+00	1.569853040992603788e+01	0.000000000000000000e+00	3.149368991414536190e-02	6.242790633690448003e-03	9.993724321930148591e-01	1.541826933306522825e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.993680000000000341e-01	1.746129405103141480e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.924270531681588070e-02	1.372594585078990362e-02	1.258958278487561366e-01	0.000000000000000000e+00
